id,first_name,last_name,email,phone,company,title,source,created_at
800011,Teresa,Garza,teresa.garza@sonoranmech.example,970-555-1121,Sonoran Diesel Repair,Master Diesel Tech,referral-alumni,2026-09-20T10:00:00-06:00
800012,Ernesto,Cabral,ernesto.cabral@cabralmotorworks.example,970-555-1082,Cabral Motorworks,Owner-Operator Mech,referral-alumni,2026-09-22T11:30:00-06:00
800013,Daniel,Ruiz,daniel.ruiz@mesaverdepaving.com,970-555-1444,Mesa Verde Paving,Lead Mechanic,internal-move,2026-09-25T09:45:00-06:00
800014,Wanda,Kroeger,wanda.kroeger@fourcornersfleet.example,970-555-1103,Four Corners Fleet,Shop Foreman,referral-alumni,2026-09-26T14:15:00-06:00
800015,Harold,Kominsky,harold.kominsky@kominskyauto.example,970-555-1199,Kominsky Auto & Diesel,Retired Mechanic,referral-alumni,2026-09-27T10:00:00-06:00
800016,Patricia,Lindborg,patricia.lindborg@lindborgshop.example,970-555-1155,Lindborg Shop LLC,Shop Owner,referral-alumni,2026-09-28T15:00:00-06:00
810000,Miguel,Vega,miguel.vega0@examplemail.com,970-555-2000,Cortez Fleet Co.,Fleet Dispatcher,referral,2019-01-01T08:00:00-06:00
810001,Roberto,Solis,roberto.solis1@examplemail.com,970-555-2001,Cortez Fleet Co.,Diesel Mechanic - Second Shift,referral-alumni,2020-02-02T08:00:00-06:00
810002,Carlos,Cortez,carlos.cortez2@examplemail.com,970-555-2002,Cortez Fleet Co.,Yard Foreman,careers-site,2021-03-03T08:00:00-06:00
810003,Diego,Herrera,diego.herrera3@examplemail.com,970-555-2003,Cortez Fleet Co.,Records Clerk - Migration Project,LinkedIn,2022-04-04T08:00:00-06:00
810004,Rafael,Chavez,rafael.chavez4@examplemail.com,970-555-2004,Cortez Fleet Co.,Safety Coordinator,Indeed,2023-05-05T08:00:00-06:00
810005,Luis,Ruiz,luis.ruiz5@examplemail.com,970-555-2005,Cortez Fleet Co.,Journeyman Mechanic,walk-in,2024-06-06T08:00:00-06:00
810006,Jorge,Ortega,jorge.ortega6@examplemail.com,970-555-2006,Cortez Fleet Co.,Payroll Clerk,internal-move,2019-07-07T08:00:00-06:00
810007,Manuel,Molina,manuel.molina7@examplemail.com,970-555-2007,Cortez Fleet Co.,HR Coordinator,referral,2020-08-08T08:00:00-06:00
810008,Anthony,Anderson,anthony.anderson8@examplemail.com,970-555-2008,Cortez Fleet Co.,Accounts Payable Specialist,referral-alumni,2021-09-09T08:00:00-06:00
810009,Bruce,Baker,bruce.baker9@examplemail.com,970-555-2009,Cortez Fleet Co.,Talent Sourcer,careers-site,2022-10-10T08:00:00-06:00
810010,Wayne,Hayes,wayne.hayes10@examplemail.com,970-555-2010,Cortez Fleet Co.,Compliance Analyst,LinkedIn,2023-11-11T08:00:00-06:00
810011,Curtis,Ford,curtis.ford11@examplemail.com,970-555-2011,Cortez Fleet Co.,Fleet Coordinator,Indeed,2024-12-12T08:00:00-06:00
810012,Duane,Rice,duane.rice12@examplemail.com,970-555-2012,Cortez Fleet Co.,Apprentice Mechanic,walk-in,2019-01-13T08:00:00-06:00
810013,Randy,Cole,randy.cole13@examplemail.com,970-555-2013,Cortez Fleet Co.,Shop Support Lead,internal-move,2020-02-14T08:00:00-06:00
810014,Kenneth,Reed,kenneth.reed14@examplemail.com,970-555-2014,Cortez Fleet Co.,Fleet Dispatcher,referral,2021-03-15T08:00:00-06:00
810015,Larry,Wells,larry.wells15@examplemail.com,970-555-2015,Cortez Fleet Co.,Diesel Mechanic - Second Shift,referral-alumni,2022-04-16T08:00:00-06:00
810016,Terry,Stone,terry.stone16@examplemail.com,970-555-2016,Cortez Fleet Co.,Yard Foreman,careers-site,2023-05-17T08:00:00-06:00
810017,Gary,Owens,gary.owens17@examplemail.com,970-555-2017,Cortez Fleet Co.,Records Clerk - Migration Project,LinkedIn,2024-06-18T08:00:00-06:00
