gid,name,project_gid,section_gid,assignee_gid,completed,due_on,notes,created_at,modified_at
task-v00,Genet Woldu,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v01,Kidan Gurung,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v02,Nardos Magar,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v03,Selam Basnet,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v04,Zena Johnson,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v05,Aarav Taylor,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v06,Deepak Gebre,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v07,Manish Girma,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v08,Rita Woldu,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v09,Sushma Gurung,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v10,Dipesh Magar,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v11,Sarita Basnet,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v12,Mary Johnson,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v13,Michael Taylor,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v14,Karen Gebre,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v15,Abebe Girma,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v16,Dawit Woldu,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v17,Hanna Gurung,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v18,Liya Magar,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v19,Rahel Basnet,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v20,Tesfay Johnson,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v21,Meron Taylor,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v22,Anjali Gebre,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v23,Gita Girma,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v24,Nabin Woldu,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v25,Sabina Gurung,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v26,Ujjwal Magar,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v27,Laxmi Basnet,proj-vol,sec-vol,u-barb,false,2026-11-21,Confirmed - station duty,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v28,Binod Johnson,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v29,Robert Taylor,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v30,Patricia Gebre,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v31,David Girma,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v32,Almaz Woldu,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v33,Feven Gurung,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
task-v34,Isaias Magar,proj-vol,sec-vol,u-barb,false,2026-11-21,Tentative - awaiting reply,2026-10-02T00:00:00Z,2026-11-04T00:00:00Z
