sid,phone_number,friendly_name,iso_country,sms_enabled,voice_enabled,mms_enabled,capabilities_fax,date_created
PN0000000000000000,+14065550100,Bridger Root — Main,US,True,True,True,False,2019-05-04T00:00:00Z
PN0000000000000001,+14065550101,On-Call After Hours,US,True,True,False,False,2019-06-03T00:00:00Z
PN0000000000000002,+14065550102,Postpartum Line,US,True,True,True,False,2019-07-03T00:00:00Z
PN0000000000000003,+14065550103,Billing,US,True,True,False,False,2019-08-02T00:00:00Z
PN0000000000000004,+14065550104,Referrals,US,True,True,True,False,2019-09-01T00:00:00Z
PN0000000000000005,+14065550105,Front Desk,US,True,True,False,False,2019-10-01T00:00:00Z
PN0000000000000006,+14065550106,Voicemail,US,True,True,True,False,2019-10-31T00:00:00Z
PN0000000000000007,+14065550107,Fax,US,True,True,False,True,2019-11-30T00:00:00Z
PN0000000000000008,+14065550108,Fax 2,US,True,True,True,True,2019-12-30T00:00:00Z
PN0000000000000009,+14065550109,Reception,US,True,True,False,False,2020-01-29T00:00:00Z
PN0000000000000010,+14065550110,Prenatal,US,True,True,True,False,2020-02-28T00:00:00Z
PN0000000000000011,+14065550111,Records,US,True,True,False,False,2020-03-29T00:00:00Z
PN0000000000000012,+14065550112,Transfer Line,US,True,True,True,False,2020-04-28T00:00:00Z
PN0000000000000013,+14065550113,Marketing,US,True,True,False,False,2020-05-28T00:00:00Z
PN0000000000000014,+14065550114,Reminders,US,True,True,True,False,2020-06-27T00:00:00Z
