path,content
Voices of the Past/voices_of_past_oral_history_field_notes_ruthie.md,"# Voices of the Past: Oral history field notes on Ruthie Mae Mitchell

Field notes from two interview sessions with my mother Gwendolyn Mitchell and my great-aunt Rosalind Mitchell-Whitcomb. These are working notes for the Voices of the Past exhibition. Quotes are paraphrased unless I marked them with the verbatim brackets. None of this is for outside circulation until Pamela signs off.

## Session context

Two sessions. First with Gwendolyn at her kitchen table in Bessemer on Sunday August 23, three hours, audio recorded and stored in the staff archive. Second with Rosalind at the Tutwiler senior living community in Hoover on Saturday September 12, two hours, audio recorded and stored in the same place. Both interviews used the standard Cornerstone Heritage Museum consent form. Tea was offered. Photographs of Ruthie were available on the table for both.

## Anchor years and what we know

The years that keep coming up are 1968, 1969, 1971, and 1974. Those are the years where Ruthie's organizing footprint is the deepest. The Voices and Places frame is helping me see that her work was not one big arc but a series of stacked corridors, each tied to a different fight.

### 1968

Rosalind anchored 1968 to the Mitchell Circle, an informal group of women that met in the basement of First Bethel AME Church on Wednesday evenings. The group did not call themselves an organization. They called themselves a circle. They were tied to the church board only loosely. Ruthie chaired the Wednesday meetings. The Wednesday group's archive sits in CHM-OHA-1968-014A-RESTORED, the restored version of the oral history reel from that year. The earlier accession CHM-OHA-1968-014 is superseded by the restored copy now in the source library; the field freshness export logs the swap.

### 1969 through 1974

The longest organizing arc is the First Bethel AME Church board chapter. Ruthie joined the board in late 1969. Rosalind brought up that she served until 1974, which lines up with the church meeting minutes. The minutes for 1974 are catalogued as PBR-1974-MIN-008A, the revised version in the public records library. The previous accession PBR-1974-MIN-008 was withdrawn after the city archivist's office posted the corrected scan. The freshness export has the swap in row 2.

### 1971

The 1971 entry is the voter registration drive in Bessemer. The primary source for this drive is Walter Pickens, who wrote a long account in the Birmingham Civic Review in 1972. Pickens listed Ruthie as a co-organizer. The current canonical citation for that account is volume 19, number 2, pages 14 through 39. Many of my older notes carry the prior volume 18 number 3 reference; that's the Aug 12 scratch pad pass. The library refresh moved it to volume 19 number 2.

## Verbatim quotes (Gwendolyn, August 23)

- [verbatim] ""Mama said the Wednesday circle was not about meetings. It was about not being alone with the work.""
- [verbatim] ""She kept a list of names on the back of the church program every Sunday. The list was who needed a ride to the registrar's office.""
- [verbatim] ""Mama did not preach. She organized. That was her gift.""
- [verbatim] ""When the church board put her name forward in '69, she said she would do four years. She did five.""

## Verbatim quotes (Rosalind, September 12)

- [verbatim] ""Ruthie and I argued about whether to push the school board fight in the same year as voter registration. She said push everything. I said push one thing well. She was right.""
- [verbatim] ""The Mitchell Circle was eleven women. I will not name them all without their families' permission. They are in the audio.""

## Cross-references

- Audrey Pickens is listed as the spouse of Walter Pickens in the salesforce legacy ledger. Audrey is alive and lives in Bessemer at audrey.pickens.bessemer@gmail.com. Marie Hollingsworth Estate is the third Ruthie-corridor legacy entry; her name appears in the Wednesday circle in both Gwendolyn's and Rosalind's accounts. The First Bethel AME Church board accession links to the 1974 minutes packet.
- The legacy ledger entry for the Mitchell Circle does not exist as a single record; it is reconstructed across the three names above plus the Wednesday-circle audio and the Pickens article.

## Photographs

There are three group photographs that came up in both interviews. One from 1969, one from 1972, one from 1974. The 1972 photograph shows Ruthie, Marie Hollingsworth, and two unnamed women in front of First Bethel. Rosalind named the unnamed women off the record; I will get written permission before publishing.

## Open questions

- Pastor Collins has mentioned in passing that the church has a paper binder for the Wednesday circle that never made it to the public records library. AGENTS guidance treats Grace Community as offline and paper, so this is not pursuable through the connected tools.
- The Pickens article's revised pagination needs to be cross-referenced against the printed copy at the Linn Park library before I cite it in the curator letter.

## Next steps

- Confirm the restored accession reel for 1968 before quoting from it in the press kit.
- Confirm the revised 1974 minutes accession before linking to it in the donor packet.
- Pull the refreshed Pickens citation directly from the source library export.
- Hold all of this inside the trio until Pamela's go-ahead.
"
Voices of the Past/voices_of_past_interview_index.md,"# Voices of the Past interview index

Working index of the 40-plus oral history interviews. Each entry has a session date, an interviewer, a duration, a consent form path, and a notes path. Full canonical index lives in airtable. This is my scratch."
Voices of the Past/voices_of_past_session_log.md,"# Session log

Who I have interviewed and when. Anchors:

- August 23: Gwendolyn Mitchell, my mother. Three hours.
- September 12: Rosalind Mitchell-Whitcomb, great-aunt. Two hours.
- August 30: Pastor Robert Collins. Reflection only.
- September 5: Walter Pickens (recorded, archived, withhold until Audrey reviews)."
Voices of the Past/voices_of_past_consent_form_notes.md,"# Consent form notes

Standard form, signed by interviewee. For minors I require both parents. Re-consent on first anniversary. Forms are tracked in airtable."
Daily/2026-09-25.md,"# 2026-09-25

- Press kit draft read.
- Asana drift list reviewed.
- Choir rehearsal tonight, holding the alto section practice on the bridge."
Daily/2026-09-26.md,"# 2026-09-26

- Family-side morning: Naomi violin, Marcus to basketball at four thirty.
- Donor stewardship plan in confluence reviewed.
- Lunch with Lorraine pushed to next week."
Daily/2026-09-27.md,"# 2026-09-27

- Sunday service.
- Afternoon catch up on the budget tracker.
- Angela found the $800 under on the framing line."
Daily/2026-09-28.md,"# 2026-09-28

- Sentry alerts cluster overnight on the kiosk fleet, web team triaging.
- Curator letter draft is stale on attendance, fresh pull needed.
- Read Hammer and Hoe chapter 4."
Daily/2026-09-29.md,"# 2026-09-29

- Late evening Pamela note, hold the figure inside the trio.
- Drafted thank-you note set for opening night major donors."
Daily/2026-09-30.md,"# 2026-09-30

- Diane's lesson swap proposal arrived in the inbox.
- Walkthrough prep with Angela and Cyrus before the press preview tomorrow."
Daily/2026-10-01.md,"# 2026-10-01

- Press preview ran tight, three reporters in for the morning of the 18th.
- FedEx final pieces arrived. One piece still pending insurance.
- Late evening: kiosk fleet alerts on the donation portal, vendor opened a hotfix branch."
Choir/alto_section_practice_notes.md,"# Alto section practice notes

Director Turner's instructions. Hold a fuller chest tone through the bridge of the Jubilee piece. Pull back at the third refrain. Watch the tempo on the Atlanta arrangement."
Choir/atlanta_block_notes.md,"# Atlanta block notes

Rooming and transport tracked in trello and the spreadsheet. Carpool fund balance lives in the choir transport account. Director Turner confirms the solo holder is set per the trello board."
Choir/competition_repertoire.md,"# Competition repertoire

Three pieces locked. Two are jubilee tradition. One is a contemporary commission. Sheet music pulled from the music library entries."
Curatorial/voices_of_past_curatorial_thesis.md,"# Voices of the Past curatorial thesis

Working thesis: this exhibit treats community archives as evidence, not anecdote. The Birmingham corridor is one chapter in a longer American story about who keeps the record."
Curatorial/station_program_brief.md,"# Station program brief

Eight stations planned. Each anchors a single corridor with one interview, one document, and one object. Station numbering aligns to the canonical content entries on the headless side. Internal shorthand uses Station 1 through Station 8."
Curatorial/object_loan_notes.md,"# Object loan notes

Three loaned pieces arrived October 1 by truck. One piece does not yet have its insurance certificate on file. The thirty-day clock starts the day the pieces came off the truck."
Curatorial/labels_and_wayfinding.md,"# Labels and wayfinding

Label copy locked. Wayfinding signage print run came in over the budget line because of a paper surcharge. Reconciliation is in the budget tracker."
Personal/morning_walk_route.md,"# Morning walk route

Crestwood South loop, about three miles. Average 5:30 to 6:15 if I do not stop. The hill on Vestavia turn is the only place I slow down."
Personal/reading_notes_hammer_and_hoe.md,"# Reading notes

Robin D. G. Kelley, Hammer and Hoe. Chapters 3 and 4 on the Birmingham Communist Party and the Sharecroppers Union. Anchors why the Ruthie corridor has the texture it does."
Personal/journal_index.md,"# Journal index

Gratitude journal lives offline in a paper notebook by the bed. This index lists the recent entries with a date and a one-line tag."
Personal/health_log_notes.md,"# Health log notes

Ultrasound on the calendar. Iron supplement holding steady. Note to Dr. Brooks about cramping last week."
Family/derrick_schedule_notes.md,"# Derrick schedule notes

Derrick has the away football game on October 10 against Hoover Christian. He coaches and teaches American history. He prefers a text for anything time sensitive."
Family/naomi_school_decision.md,"# Naomi school decision

Pembroke versus Ironwood upper. Pembroke runs about fourteen thousand a year. Music program is stronger. Visit is on the calendar in October."
Family/marcus_reading_plan.md,"# Marcus reading plan

Twenty minutes a day. We are slowly closing the gap. The fall tutoring assessment with Bea is on the calendar."
Family/gwendolyn_logistics.md,"# Gwendolyn logistics

Mom picks up Monday, Wednesday, Friday. A1C check this quarter. Metformin refill request next week."
Field/voices_of_past_open_threads.md,"# Open threads

A running list of things that are not closed: insurance on the FedEx piece, the missing content entry behind Station 8, the curator letter attendance refresh, the alto solo holder confirmation."
Field/voices_of_past_terminology.md,"# Terminology

A glossary I am building so my notes read consistently. Corridor versus chapter. Anchor versus reference. Verbatim versus paraphrased."
