id,meeting_id,email,first_name,last_name,status,join_time,create_time
reg-0001,85012345670,dr.cheng@gmail.com,Lisa,Cheng,approved,,2025-12-13T00:00:00Z
reg-0002,85012345671,j.cooper@gmail.com,James,Cooper,approved,,2025-12-13T00:00:00Z
reg-0003,85012345672,student1@amberfield.edu,Student,One,approved,,2025-12-13T00:00:00Z
reg-0004,85012345672,student2@amberfield.edu,Student,Two,approved,,2025-12-13T00:00:00Z
reg-0005,85012345673,j.cooper@gmail.com,James,Cooper,approved,,2025-12-13T00:00:00Z
reg-0006,85012345674,dr.cheng@gmail.com,Lisa,Cheng,approved,,2025-12-13T00:00:00Z
reg-0007,85012345752,dr.cheng@gmail.com,Lisa,Cheng,approved,,2026-05-25T00:00:00Z
reg-0008,85012345685,mark.stevens@gmail.com,Mark,Stevens,approved,,2026-08-17T00:00:00Z
reg-0009,85012345768,j.cooper@gmail.com,James,Cooper,approved,,2026-05-02T00:00:00Z
reg-0010,85012345744,k.miller@gmail.com,Karen,Miller,approved,,2026-09-25T00:00:00Z
reg-0011,85012345732,j.torres@student.amberfieldinstitute.edu,Jesse,Torres,approved,,2026-06-04T00:00:00Z
reg-0012,85012345725,j.torres@student.amberfieldinstitute.edu,Jesse,Torres,approved,,2026-07-20T00:00:00Z
reg-0013,85012345725,alicia.nyugen@student.amberfieldinstitute.edu,Alicia,Nyugen,approved,,2026-09-25T00:00:00Z
reg-0014,85012345672,mark.stevens@gmail.com,Mark,Stevens,approved,,2026-09-11T00:00:00Z
reg-0015,85012345749,mark.stevens@gmail.com,Mark,Stevens,approved,,2026-09-11T00:00:00Z
reg-0016,85012345733,j.cooper@gmail.com,James,Cooper,approved,,2026-09-11T00:00:00Z
reg-0017,85012345687,j.torres@student.amberfieldinstitute.edu,Jesse,Torres,approved,,2026-06-12T00:00:00Z
reg-0018,85012345765,k.miller@gmail.com,Karen,Miller,approved,,2026-06-11T00:00:00Z
reg-0019,85012345715,mark.stevens@gmail.com,Mark,Stevens,approved,,2026-08-27T00:00:00Z
reg-0020,85012345716,mark.stevens@gmail.com,Mark,Stevens,approved,,2026-07-27T00:00:00Z
reg-0021,85012345729,rebecca.foster@gmail.com,Rebecca,Foster,approved,,2026-06-15T00:00:00Z
reg-0022,85012345740,j.torres@student.amberfieldinstitute.edu,Jesse,Torres,approved,,2026-07-11T00:00:00Z
reg-0023,85012345690,alicia.nyugen@student.amberfieldinstitute.edu,Alicia,Nyugen,approved,,2026-06-05T00:00:00Z
reg-0024,85012345719,rebecca.foster@gmail.com,Rebecca,Foster,approved,,2026-06-16T00:00:00Z
reg-0025,85012345762,sarah.henderson.design@gmail.com,Sarah,Henderson,approved,,2026-09-20T00:00:00Z
reg-0026,85012345724,dr.cheng@gmail.com,Lisa,Cheng,approved,,2026-09-06T00:00:00Z
reg-0027,85012345694,mark.stevens@gmail.com,Mark,Stevens,approved,,2026-07-13T00:00:00Z
