id,name,real_name,email,is_admin,is_bot,tz,status_text,presence
U_FRITZ,fritz,Fritz Rush,fritz.rush@Finthesiss.ai,false,false,America/New_York,IDWeek prep,active
U_KEVIN,kevin.osborne,Kevin Osborne,kosborne@gmail.com,true,false,America/New_York,Division Chief,active
U_SARAH,sarah.kelley,Sarah Kelley,sarah.kelley@gmail.com,true,false,America/Denver,co-PI RTS-S,active
U_JANET,janet.atkins,Janet Atkins,janet.atkins@gmail.com,false,false,America/New_York,PID Fellow,active
U_KINTAMPO_PI,ghana.kintampo.pi,Kwame Osei-Adu,ghana-kintampo-pi@rtss-multisite.org,false,false,Africa/Accra,Kintampo Site PI,active
U_KILIFI_COORD,kilifi.fieldcoord,Amina Wanjiku,kilifi-fieldcoord@rtss-multisite.org,false,false,Africa/Nairobi,Kilifi Field Coordinator,active
U_MANHICA_PI,manhica.site.pi,Domingos Rodrigues,manhica-site-pi@rtss-multisite.org,false,false,Africa/Maputo,Manhica Site PI,away
U_NANORO_PI,nanoro.site.pi,Ibrahim Ouedraogo,nanoro-site-pi@rtss-multisite.org,false,false,Africa/Ouagadougou,Nanoro Site PI,away
U_BAGAMOYO_PI,bagamoyo.site.pi,Fatuma Mwakumbi,bagamoyo-site-pi@rtss-multisite.org,false,false,Africa/Dar_es_Salaam,Bagamoyo Site PI,active
U_AKPAN,akpan.idongesit,Akpan Idongesit,akpan.idongesit@glenwood.edu,false,false,America/New_York,Manuscript coauthor,active
