order_id,store_id,customer_name,status,subtotal,delivery_fee,service_fee,tip,total,placed_at,dasher_name
dd_001,store_mings,Hari Jefferson,delivered,41.50,2.99,1.51,2.50,48.50,2026-09-22T12:00:00-04:00,Carlos R.
dd_002,store_jmikes,Hari Jefferson,delivered,54.31,1.99,1.50,4.50,62.30,2026-09-15T11:30:00-04:00,Nina T.
dd_003,store_pho,Hari Jefferson,delivered,48.31,3.49,1.50,2.50,55.80,2026-09-08T12:15:00-04:00,Sam K.
ddo_bg_000,store_bg_000,Hari Jefferson,delivered,38.25,4.77,3.83,7.2,45.9,2026-09-27T12:00:00-04:00,Dasher Lee
ddo_bg_001,store_bg_001,Hari Jefferson,delivered,45.84,5.3,4.58,9.85,55.01,2026-06-16T12:00:00-04:00,Dasher Jay
ddo_bg_002,store_bg_002,Hari Jefferson,delivered,38.1,2.87,3.81,3.32,45.72,2026-08-01T12:00:00-04:00,Dasher Lee
ddo_bg_003,store_bg_003,Hari Jefferson,delivered,36.6,4.57,3.66,4.41,43.92,2026-09-06T12:00:00-04:00,Dasher Jay
ddo_bg_004,store_bg_004,Hari Jefferson,delivered,43.89,4.59,4.39,8.27,52.67,2026-07-07T12:00:00-04:00,Dasher Sam
ddo_bg_005,store_bg_005,Hari Jefferson,delivered,59.17,5.02,5.92,4.32,71.0,2026-06-15T12:00:00-04:00,Dasher Sam
ddo_bg_006,store_bg_006,Hari Jefferson,delivered,41.26,4.06,4.13,9.76,49.51,2026-07-08T12:00:00-04:00,Dasher Lee
ddo_bg_007,store_bg_007,Hari Jefferson,delivered,70.45,3.08,7.05,6.54,84.54,2026-08-20T12:00:00-04:00,Dasher Jay
ddo_bg_008,store_bg_008,Hari Jefferson,delivered,43.65,3.74,4.37,6.76,52.38,2026-06-20T12:00:00-04:00,Dasher Kim
ddo_bg_009,store_bg_009,Hari Jefferson,delivered,33.73,4.29,3.37,9.97,40.48,2026-07-11T12:00:00-04:00,Dasher Kim
ddo_bg_010,store_bg_010,Hari Jefferson,delivered,47.17,5.1,4.72,5.99,56.6,2026-07-27T12:00:00-04:00,Dasher Kim
ddo_bg_011,store_bg_011,Hari Jefferson,delivered,43.01,5.37,4.3,6.57,51.61,2026-06-11T12:00:00-04:00,Dasher Lee
ddo_bg_012,store_bg_012,Hari Jefferson,delivered,32.6,4.87,3.26,4.39,39.12,2026-09-24T12:00:00-04:00,Dasher Lee
ddo_bg_013,store_bg_013,Hari Jefferson,delivered,61.0,5.88,6.1,4.81,73.2,2026-06-28T12:00:00-04:00,Dasher Jay
ddo_bg_014,store_bg_014,Hari Jefferson,delivered,51.77,5.86,5.18,5.19,62.12,2026-09-12T12:00:00-04:00,Dasher Sam
ddo_bg_015,store_bg_015,Hari Jefferson,delivered,44.61,3.35,4.46,7.45,53.53,2026-06-16T12:00:00-04:00,Dasher Sam
ddo_bg_016,store_bg_016,Hari Jefferson,delivered,43.63,4.7,4.36,5.03,52.36,2026-06-18T12:00:00-04:00,Dasher Sam
ddo_bg_017,store_bg_017,Hari Jefferson,delivered,38.89,2.93,3.89,8.61,46.67,2026-08-04T12:00:00-04:00,Dasher Lee
ddo_bg_018,store_bg_018,Hari Jefferson,delivered,78.1,3.82,7.81,7.92,93.72,2026-07-20T12:00:00-04:00,Dasher Jay
ddo_bg_019,store_bg_019,Hari Jefferson,delivered,79.87,2.18,7.99,6.45,95.84,2026-08-09T12:00:00-04:00,Dasher Kim
ddo_bg_020,store_bg_020,Hari Jefferson,delivered,53.88,4.34,5.39,6.36,64.66,2026-06-11T12:00:00-04:00,Dasher Kim
ddo_bg_021,store_bg_021,Hari Jefferson,delivered,50.42,2.72,5.04,5.82,60.5,2026-06-15T12:00:00-04:00,Dasher Lee
ddo_bg_022,store_bg_022,Hari Jefferson,delivered,64.59,4.96,6.46,8.8,77.51,2026-09-25T12:00:00-04:00,Dasher Kim
ddo_bg_023,store_bg_023,Hari Jefferson,delivered,84.8,2.12,8.48,4.06,101.76,2026-06-04T12:00:00-04:00,Dasher Kim
ddo_bg_024,store_bg_024,Hari Jefferson,delivered,36.56,4.82,3.66,8.58,43.87,2026-06-08T12:00:00-04:00,Dasher Kim
ddo_bg_025,store_bg_025,Hari Jefferson,delivered,59.2,3.71,5.92,9.34,71.04,2026-09-26T12:00:00-04:00,Dasher Lee
ddo_bg_026,store_bg_026,Hari Jefferson,delivered,45.35,2.72,4.54,5.72,54.42,2026-06-09T12:00:00-04:00,Dasher Jay
ddo_bg_027,store_bg_027,Hari Jefferson,delivered,68.3,2.72,6.83,4.71,81.96,2026-09-26T12:00:00-04:00,Dasher Kim
ddo_bg_028,store_bg_028,Hari Jefferson,delivered,73.85,4.67,7.38,9.44,88.62,2026-07-18T12:00:00-04:00,Dasher Jay
ddo_bg_029,store_bg_029,Hari Jefferson,delivered,44.14,5.98,4.41,7.78,52.97,2026-06-18T12:00:00-04:00,Dasher Kim
ddo_bg_030,store_bg_030,Hari Jefferson,delivered,76.32,4.89,7.63,8.55,91.58,2026-07-21T12:00:00-04:00,Dasher Sam
ddo_bg_031,store_bg_031,Hari Jefferson,delivered,39.92,4.09,3.99,5.35,47.9,2026-08-05T12:00:00-04:00,Dasher Jay
ddo_bg_032,store_bg_032,Hari Jefferson,delivered,27.87,3.84,2.79,9.27,33.44,2026-07-03T12:00:00-04:00,Dasher Jay
ddo_bg_033,store_bg_033,Hari Jefferson,delivered,66.26,5.75,6.63,6.28,79.51,2026-06-08T12:00:00-04:00,Dasher Lee
ddo_bg_034,store_bg_034,Hari Jefferson,delivered,78.96,2.33,7.9,4.64,94.75,2026-07-17T12:00:00-04:00,Dasher Sam
ddo_bg_035,store_bg_035,Hari Jefferson,delivered,80.46,2.0,8.05,9.2,96.55,2026-08-10T12:00:00-04:00,Dasher Sam
