uid	summary	category	start	end	recurring	location	attendees	description
cal-evt-20261101-0700-yqcoffee@voissync.ai	Coffee with Papa Luc	Personal	2026-11-01T06:00:00-07:00	2026-11-01T06:30:00-07:00	RRULE:FREQ=DAILY;COUNT=29	Cedar Ridge Apartments, Apt 104, Beaverton		Morning ritual. Check daily calendar and catering inbox before either of them moves.
cal-evt-20261101-1500-hg@hawthornegrand.com	Hawthorne Grand, afternoon shift	Hawthorne Grand	2026-11-01T15:00:00-07:00	2026-11-01T23:00:00-07:00		The Hawthorne Grand, 525 SW Hawthorne Ave, Portland OR 97204	andrea.marsh@gmail.com	Concierge desk, Yves on afternoon, Priya on morning. See shift schedule 1.xlsx.
cal-evt-20261104-0930-culcross@voissync.ai	Culinary Crossroads facility tour	Cuisine du Nord	2026-11-04T09:30:00-08:00	2026-11-04T11:00:00-08:00		Culinary Crossroads, 14820 SW Murray Scholls Dr, Beaverton OR 97007	diane.reeves@culinarycrossroads.com	Decision point on $800/month, 20 hrs/week shared kitchen membership. Draft agreement waiting (doc2.pdf). Bring questions on Thursday hood availability.
cal-evt-20261105-0930-mccfinsp@multco.us	Multnomah County kitchen inspection (pre-renewal)	Cuisine du Nord	2026-11-05T09:30:00-08:00	2026-11-05T11:30:00-08:00		Cedar Ridge Apartments, Apt 104, Beaverton	kara.boudreau@multco.us	Pre-renewal walkthrough. Recalibrate fridge thermometer, replace soap dispenser, move catering boxes to bedroom closet. Papa Luc to parish basement during window.
cal-evt-20261107-0630-mkt@voissync.ai	Cuisine du Nord market pop-up, Booth B47	Cuisine du Nord	2026-11-07T06:30:00-08:00	2026-11-07T13:00:00-08:00		Portland Saturday Market, Tom McCall Waterfront Park, Booth B47		First Saturday market. Load 06:30, set 08:00, service 09:00 to 13:00. Crew: Yves, Papa Luc, Emile.
cal-evt-20261110-2100-paypatrick@voissync.ai	Pay back Patrick (text he is calling about SEP-IRA)	Personal	2026-11-10T21:00:00-08:00	2026-11-10T21:15:00-08:00				Reply to Patrick. Tell him SBA path verdict by tonight. See doc27.docx, audio1.mp3.
cal-evt-20261111-0700-veterans@voissync.ai	Veterans Day, hotel open, no banking	Reference	2026-11-11T00:00:00-08:00	2026-11-11T23:59:59-08:00				Federal holiday. Hawthorne Grand operating. Banking closed. Catering Q4 review with Marcus Lin still on track for January.
cal-evt-20261113-1045-ambervale@voissync.ai	Catering, Ambervale corporate lunch 40 guests	Cuisine du Nord	2026-11-13T10:45:00-08:00	2026-11-13T14:00:00-08:00		Ambervale Properties, 1825 SW Salmon St, Suite 600, Portland	brianna.holcomb@ambervaleprop.com	$880 invoice (doc7.pdf). 18 kimchi tourtiere upgrade. GF crust for Christine Q. Load via Yamhill alley freight elevator. Emile assisting 4.5 hours.
cal-evt-20261114-0600-gym@voissync.ai	Gym with Jess Okafor	Personal	2026-11-14T06:00:00-08:00	2026-11-14T07:00:00-08:00	RRULE:FREQ=WEEKLY;BYDAY=TU,TH	Cedar Hills Fitness, 12350 SW Walker Rd, Beaverton	jess.okafor@gmail.com	Tuesday and Thursday on afternoon-shift weeks.
cal-evt-20261115-0900-wise@voissync.ai	Wise remittance to Nathalie ($304 USD, auto)	Family	2026-11-15T09:00:00-08:00	2026-11-15T09:05:00-08:00	RRULE:FREQ=MONTHLY;BYMONTHDAY=15			Monthly to Nathalie via Wise, see doc14.pdf for receipt format. Auto pull from Silverpeak ****4218.
