Date,Donor_Or_Source,Amount,Method,Event_Or_Purpose,Deposited,Deposit_Date,Receipt_Issued,Notes
2026-01-15,Annual Membership Dues (34 members),$680.00,Check/Cash,"Annual dues - $20 per member, 34 members",Yes,2026-01-18,Yes,Collected at January meeting - 20 checks and 14 cash
2026-02-10,Late Membership Dues (3 members),$60.00,Check,"Late dues - $20 per member, 3 members",Yes,2026-02-12,Yes,"Henderson, Morales, and Park - joined after January meeting"
2026-04-18,Spring Plant Sale (Square),$425.00,Square card reader,Spring plant sale fundraiser,Yes,2026-04-22,N/A,Card reader sales - 42 transactions
2026-04-18,Spring Plant Sale (Cash),$110.00,Cash,Spring plant sale fundraiser,Yes,2026-04-22,N/A,Cash sales counted by Carlos and Maggie
2026-06-14,Garden Tour Tickets (Square),$380.00,Square card reader,"Summer garden tour admission - $10 per visitor, 38 card",Yes,2026-06-17,N/A,Best turnout in 3 years - 5 neighborhood gardens open
2026-06-14,Garden Tour Tickets (Cash),$45.00,Cash,"Summer garden tour admission - $10 per visitor, 4 cash + 1 child $5",Yes,2026-06-17,N/A,Cash-paying visitors at registration table
2026-07-20,R. Patel,$100.00,Check,Individual donation - general fund,Yes,2026-07-22,Yes,Long-standing member - donates annually
2026-08-10,M. Ochoa,$50.00,Check,Individual donation - general fund,Yes,2026-08-12,Yes,New member - appreciated the garden tour
2026-09-12,Harvest Festival (Square),$265.00,Square card reader,Harvest festival produce and craft sales,Yes,2026-09-15,N/A,Card reader sales - 29 transactions
2026-09-12,Harvest Festival (Cash),$80.00,Cash,Harvest festival produce and craft sales,Yes,2026-09-15,N/A,Cash sales counted by Carlos and Maggie
2026-09-20,D. Tanaka,$25.00,Check,Individual donation - seed library fund,Yes,2026-09-22,Yes,For the community seed swap
2026-09-28,F. Callahan,$25.00,Cash,Individual donation - general fund,Yes,2026-09-30,Yes,Dropped off at Carlos's porch
2026-09-30,Square Processing Refund,$25.00,Bank credit,Q3 overcharge adjustment from Square,Yes,2026-09-30,N/A,Automatic credit to club account
TOTAL,,$2270.00,,,,,,
