Date,Day,Time,Event,Category,Location,Transport,Prep_Required,Notes
2026-10-01,Thursday,12:00 PM,Monthly Lunch with Doug Tanaka,Social,Hayden's Diner Tualatin,Self-drive,None,First Thursday tradition
2026-10-01,Thursday,6:15 AM,Prescription Check - Monthly,Medical,Home,N/A,Review refill status,"1st of month - check if anything due for refill in next 14 days. All current through December."
2026-10-03,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,Prep Saturday class materials,Teaching woodworking to teenagers
2026-10-04,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Sunday standing call from Denver
2026-10-05,Monday,7:00 AM,Blood Glucose Check,Medical,Home,N/A,Before breakfast,Mon/Wed/Fri schedule
2026-10-06,Tuesday,10:30 AM,Endocrinology - Dr. Laura Chen,Medical,Westside Diabetes Clinic Beaverton,Self-drive,HbA1c draw must be done by Oct 2; bring glucose log and medication list,Quarterly diabetes review
2026-10-06,Tuesday,6:30 PM,Cedar Hills Garden Club,Social,Cedar Hills Community Center,Self-drive,Treasurer update for October meeting,First Tuesday of month
2026-10-07,Wednesday,7:00 AM,Blood Glucose Check,Medical,Home,N/A,Before breakfast,Mon/Wed/Fri
2026-10-09,Friday,7:00 AM,Blood Glucose Check,Medical,Home,N/A,Before breakfast,Mon/Wed/Fri
2026-10-10,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-10-11,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-10-15,Thursday,All Day,Visa Statement Review,Financial,Home,N/A,Review September statement and savings balance,15th of month - monthly financial check
2026-10-17,Saturday,10:00 AM,Beaverton Community Workshop,Routine,Community Workshop,Self-drive 9:40 AM,None,Weekly Saturday class
2026-10-18,Sunday,2:00 PM,Kevin's Weekly Call,Family,Home (phone),N/A,None,Standing call
2026-10-21,Wednesday,6:00 PM,Karen's Wednesday Dinner,Family,Karen's house Tigard or home,Self-drive or Karen brings dinner,Confirm by Tuesday evening,Every-other-week dinner
2026-10-24,Saturday,Before 11:00 AM MT,Kevin's Birthday - Phone Call,Family,Home (phone),N/A,Call before noon Mountain Time,"Kevin turns 40. Call early, before workshop if possible."
