conversation_id,wa_id,started_at,last_message_at,origin,within_24h_window
conv_803su2s4l58bojkhj4,12065550114,2026-06-23T23:13:54Z,2026-06-24T16:18:54Z,utility,False
conv_1yhwufgv3xx43rczsx,14155550197,2026-07-05T15:42:22Z,2026-10-08T10:08:28Z,utility,False
conv_wgbasr31dt15chpd75,12065550171,2026-07-12T07:44:32Z,2026-09-26T14:34:14Z,utility,False
conv_kpdiyjk6w6aa5zo6xi,12065550136,2026-08-06T17:11:51Z,2026-10-07T18:19:05Z,user_initiated,False
conv_tt91i5oj6pli8a82xb,12065550188,2026-06-03T14:54:51Z,2026-08-09T16:01:41Z,service,False
conv_ece0jxlvyaqj29cqum,12065550142,2026-09-30T12:10:33Z,2026-10-08T18:18:01Z,service,False
conv_v20uo0xpvsjp32mtyd,14255550152,2026-07-09T12:09:06Z,2026-07-20T15:11:39Z,user_initiated,False
conv_vlb71jiw6wxn85osym,14255550163,2026-06-22T08:44:25Z,2026-10-09T19:57:06Z,service,False
conv_0ilisbby688xheq27a,14255550158,2026-06-25T22:33:08Z,2026-06-28T08:03:15Z,user_initiated,False
conv_iuy1s3mrxhhe8l6fi2,15035550147,2026-08-28T23:08:11Z,2026-09-14T18:20:22Z,utility,False
conv_xc9kkc9fq6drn72al5,14085550129,2026-09-12T11:49:11Z,2026-10-11T11:42:20Z,user_initiated,False
conv_zsj6rvku94n6zb33pl,12065550301,2026-10-06T11:13:04Z,2026-10-12T14:15:05Z,utility,True
conv_spwfc4n8ogjjwkxn3a,12065550302,2026-06-28T19:01:01Z,2026-08-21T22:47:32Z,service,False
conv_0y1skmg76ter4y1l1k,12065550303,2026-10-09T22:25:25Z,2026-10-10T15:05:16Z,utility,False
conv_mcntj2ap0wjovz6m21,12065550304,2026-06-25T06:42:55Z,2026-10-02T07:24:08Z,utility,False
conv_97t6byk7lh0rezb9e7,12065550202,2026-09-14T23:38:42Z,2026-09-27T07:18:51Z,utility,False
conv_phmcbkgnr7awcoyox5,12065550203,2026-07-01T01:58:38Z,2026-08-28T07:42:59Z,user_initiated,False
conv_v84gqpki0x7q4fgu4n,12065550204,2026-09-18T01:11:08Z,2026-10-01T06:20:04Z,service,False
conv_vdo4pammkj9l1ksrhz,12065550217,2026-08-14T20:42:20Z,2026-09-19T15:15:17Z,user_initiated,False
conv_qykocte6wiqigy16ky,12065550218,2026-07-15T12:25:36Z,2026-09-07T18:08:10Z,service,False
conv_2dd7nw6g0nl8ai6d89,12065550189,2026-07-12T03:53:59Z,2026-08-04T03:27:08Z,service,False
conv_lbf2wst2igki2h4ivd,12065550220,2026-07-30T08:51:26Z,2026-08-14T09:28:51Z,utility,False
conv_rugqsou856lpuf59y6,12065550221,2026-09-26T15:26:27Z,2026-09-28T12:24:17Z,user_initiated,False
conv_6hm1m987snpa7p5f01,12065550222,2026-08-13T09:47:46Z,2026-08-18T08:14:45Z,utility,False
conv_95o2pc059j60x1r7s1,12065550223,2026-09-05T16:40:11Z,2026-09-15T03:23:23Z,utility,False
conv_wgz4bfke5ldpgoi566,12065550224,2026-06-22T23:17:20Z,2026-08-16T18:16:42Z,service,False
conv_emdqq8aswy62hcab6h,12065550225,2026-07-21T20:19:56Z,2026-09-10T22:58:19Z,utility,False
conv_gs2xvpso3dyp5tsuw9,12065550226,2026-06-28T21:33:47Z,2026-08-31T13:40:51Z,service,False
conv_pdn666zd4shv1tsiyw,12065550227,2026-07-05T13:41:35Z,2026-09-12T19:01:42Z,authentication,False
conv_rdo0z51c2u1ur9an3p,12065550228,2026-06-09T19:37:27Z,2026-10-04T09:33:13Z,user_initiated,False
conv_8sabniyh43a2z0x6l5,12065550229,2026-10-05T11:02:05Z,2026-10-07T19:22:07Z,user_initiated,False
conv_u2xbswbqo5sp0tibwh,12065550420,2026-07-03T23:09:38Z,2026-08-28T09:14:44Z,utility,False
conv_bjo54958du2d5sdyyx,12065550421,2026-09-06T07:19:19Z,2026-09-29T19:19:51Z,utility,False
conv_wo8b37yb0jbj2y6p3l,12065550422,2026-07-15T08:37:31Z,2026-09-23T07:55:18Z,utility,False
conv_y8jpf25tdlnbstvo5l,12065550423,2026-07-29T16:10:34Z,2026-08-24T15:33:34Z,service,False
conv_evw27k5os9xpokl7q9,14155550311,2026-06-05T04:34:12Z,2026-08-09T07:05:33Z,service,False
conv_hcifcn5vljlry47x1l,14155550312,2026-08-22T14:30:27Z,2026-09-15T19:52:53Z,marketing,False
conv_yp3sto0ujkql6d0sjt,14155550313,2026-07-16T05:11:16Z,2026-09-14T00:56:07Z,user_initiated,False
conv_3grobft8cpju0jbci6,14155550314,2026-06-18T05:17:44Z,2026-06-22T23:00:10Z,utility,False
conv_9kqay3zda2ksh1akw1,14155550315,2026-06-10T00:37:55Z,2026-08-29T07:04:14Z,utility,False
conv_1i7yndkfusxu71xy16,12065550600,2026-08-11T20:14:02Z,2026-08-22T17:45:10Z,service,False
conv_hdzrlgzvijp8ct1tb9,12065550601,2026-06-20T03:35:11Z,2026-06-25T01:15:54Z,user_initiated,False
conv_1945g6bholf58461c8,12065550602,2026-07-19T14:05:19Z,2026-09-06T22:57:00Z,authentication,False
conv_n5khkpx3e5dtoir151,12065550603,2026-06-14T22:34:15Z,2026-09-15T21:16:51Z,utility,False
conv_ctmet0ium4en8iz12u,12065550604,2026-06-05T09:14:28Z,2026-09-28T20:07:08Z,authentication,False
conv_bl3i9i1x28qe3tdfwt,12065550605,2026-07-03T18:54:26Z,2026-09-09T10:45:23Z,utility,False
conv_52dtrshian63qj7ydx,12065550606,2026-09-01T09:34:35Z,2026-09-09T18:56:07Z,user_initiated,False
conv_eol73k316ltz9xu9um,12065550607,2026-06-09T17:00:50Z,2026-07-03T11:20:39Z,service,False
conv_abqblnak2yxh4dvssy,12065550608,2026-08-17T20:55:13Z,2026-09-13T19:57:25Z,marketing,False
conv_2g2uldzyvppr09l46v,12065550609,2026-09-02T01:22:27Z,2026-09-30T01:46:25Z,service,False
conv_5qwi7wslqcwenv4sw6,12065550610,2026-08-16T04:05:17Z,2026-09-27T08:07:30Z,marketing,False
conv_67xgklyh7mi90y7kg8,12065550611,2026-10-06T00:26:29Z,2026-10-12T00:51:48Z,marketing,True
conv_f1d23110oaa4s1nppl,12065550612,2026-08-20T15:44:57Z,2026-10-05T04:06:24Z,authentication,False
