owner,weekday,start_time,end_time,timezone
owner 0,weekday 0,09:00,10:00,2026-06-01T09:00:00Z
owner_noise_500,weekday 500,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_501,weekday 501,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_502,weekday 502,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_503,weekday 503,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_504,weekday 504,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_505,weekday 505,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_506,weekday 506,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_507,weekday 507,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_508,weekday 508,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_509,weekday 509,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
owner_noise_510,weekday 510,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z,2026-06-01T09:00:00Z
