driver_id,name,cdl_class,cdl_number,cdl_expiry_verified,medical_transport_cert,background_check,scan_date
DRV-01,Luis Ferrer,B,F260-4419-88,2028-01-19,current,cleared,2027-01-02
DRV-02,Ronald Pierce,B,P118-9920-04,2027-11-04,current,cleared,2027-01-02
DRV-03,Teresa Ellison,B,E772-1150-22,2028-07-22,current,cleared,2027-01-02
DRV-04,Andre Boseman,B,B330-6641-30,2027-09-30,current,cleared,2027-01-02
DRV-05,Delroy Simmons,B,S905-2211-11,2029-02-11,current,cleared,2027-01-02
DRV-06,Carla Nunez,B,N441-8817-18,2028-04-18,current,cleared,2027-01-02
DRV-07,Marcus Reddick,B,R220-3308-12,2027-02-12,current,cleared,2027-01-02
DRV-08,Henry Okafor,B,O884-1009-09,2028-10-09,current,cleared,2027-01-02
DRV-09,Sylvia Trent,B,T660-4415-15,2027-12-15,current,cleared,2027-01-02
DRV-10,Bernard Louis,B,L318-8027-27,2028-06-27,pending,cleared,2027-01-02
DRV-11,Patrice Colon,B,C112-3305-05,2029-01-05,current,cleared,2027-01-02
DRV-12,Wendell Grant,B,G808-1113-13,2028-08-13,current,cleared,2027-01-02
DRV-13,Ivan Castellano,B,C660-2221-21,2027-10-21,current,cleared,2027-01-02
DRV-14,Gloria Mensah,B,M905-5002-02,2029-05-02,current,cleared,2027-01-02
