driver_id,name,role,status,cdl_class,cdl_expiry,medical_transport_eligible,hire_date
EMP-WT-FRANK,Frank Morrison,Fleet Manager,active,B,2028-05-30,yes,2011-02-14
EMP-WT-JP,Jean-Pierre Ward,Mechanic/Driver,active,B,2029-03-08,yes,2020-06-01
DRV-01,Luis Ferrer,Driver,active,B,2028-01-19,yes,2016-09-12
DRV-02,Ronald Pierce,Driver,active,B,2027-11-04,yes,2017-03-20
DRV-03,Teresa Ellison,Driver,active,B,2028-07-22,yes,2018-01-15
DRV-04,Andre Boseman,Driver,active,B,2027-09-30,yes,2018-08-06
DRV-05,Delroy Simmons,Driver,active,B,2029-02-11,yes,2019-05-13
DRV-06,Carla Nunez,Driver,active,B,2028-04-18,yes,2019-11-25
DRV-07,Marcus Reddick,Driver,active,B,2027-08-31,yes,2020-02-17
DRV-08,Henry Okafor,Driver,active,B,2028-10-09,yes,2020-10-05
DRV-09,Sylvia Trent,Driver,active,B,2027-12-15,yes,2021-04-19
DRV-10,Bernard Louis,Driver,active,B,2028-06-27,yes,2021-09-30
DRV-11,Patrice Colon,Driver,active,B,2029-01-05,yes,2022-03-14
DRV-12,Wendell Grant,Driver,active,B,2028-08-13,yes,2022-11-07
DRV-13,Ivan Castellano,Driver,active,B,2027-10-21,yes,2023-06-12
DRV-14,Gloria Mensah,Driver,active,B,2029-05-02,yes,2024-01-22
