id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt_ce_family,cal_fbp_services,Family Christmas Eve Service,6:30 PM Family Service,First Baptist Paducah Sanctuary,2026-12-24T18:30:00-06:00,2026-12-24T19:30:00-06:00,False,confirmed,pastor.whitlow@firstbaptistpaducah.org,pastor.whitlow@firstbaptistpaducah.org,,public
evt_ce_traditional,cal_fbp_services,Traditional Christmas Eve Service,8:00 PM,First Baptist Paducah Sanctuary,2026-12-24T20:00:00-06:00,2026-12-24T21:15:00-06:00,False,confirmed,pastor.whitlow@firstbaptistpaducah.org,pastor.whitlow@firstbaptistpaducah.org,,public
evt_ce_candlelight,cal_fbp_services,Candlelight Christmas Eve Service,10:30 PM,First Baptist Paducah Sanctuary,2026-12-24T22:30:00-06:00,2026-12-24T23:45:00-06:00,False,confirmed,pastor.whitlow@firstbaptistpaducah.org,pastor.whitlow@firstbaptistpaducah.org,,public
evt_ny_watchnight,cal_fbp_services,Watchnight Service,7:00 PM New Year's Eve,First Baptist Paducah Sanctuary,2026-12-31T19:00:00-06:00,2026-12-31T20:30:00-06:00,False,confirmed,pastor.whitlow@firstbaptistpaducah.org,pastor.whitlow@firstbaptistpaducah.org,,public
evt_ny_candlelight_prayer,cal_fbp_services,Candlelight Prayer,10:30 PM New Year's Eve,First Baptist Paducah Sanctuary,2026-12-31T22:30:00-06:00,2026-12-31T23:45:00-06:00,False,confirmed,pastor.whitlow@firstbaptistpaducah.org,pastor.whitlow@firstbaptistpaducah.org,,public
evt_committee_nov3,cal_outreach_committee,Outreach Committee Sit-Down,Chad brings reconciled roster + visitation plan + budget + Christmas Eve rota,First Baptist Fellowship Hall,2026-11-03T18:30:00-06:00,2026-11-03T20:00:00-06:00,False,confirmed,deb.prine@firstbaptistpaducah.org,deb.prine@firstbaptistpaducah.org,,default
evt_rehearsal,cal_outreach_committee,Christmas Eve Rehearsal,Ushers + music + candles walkthrough,First Baptist Fellowship Hall,2026-12-20T15:00:00-06:00,2026-12-20T17:00:00-06:00,False,confirmed,corine.latham@firstbaptistpaducah.org,corine.latham@firstbaptistpaducah.org,,default
evt_sunday_service,cal_fbp_services,Sunday Morning Service,9:30 AM,First Baptist Paducah,2026-01-04T09:30:00-06:00,2026-01-04T10:45:00-06:00,False,confirmed,pastor.whitlow@firstbaptistpaducah.org,pastor.whitlow@firstbaptistpaducah.org,RRULE:FREQ=WEEKLY;BYDAY=SU,public
evt_cardio_oct8,cal_med,Cardiology Screening — Western Kentucky Heart Clinic,Annual,"Western Kentucky Heart Clinic, Paducah",2026-10-08T09:00:00-05:00,2026-10-08T10:00:00-05:00,False,confirmed,chad.lewis@Finthesiss.ai,chad.lewis@Finthesiss.ai,,private
evt_neuro_oct21,cal_med,Neurology — Dr. Ravi Mehta,River Valley Neurology,"River Valley Neurology, Paducah",2026-10-21T10:00:00-05:00,2026-10-21T11:00:00-05:00,False,confirmed,chad.lewis@Finthesiss.ai,chad.lewis@Finthesiss.ai,,private
