Collector and contact list - private - do not share or export
Kept for open studio invites and new work notes. Tier: A buys regularly, B has bought once, W is a watcher.

Name	City	Tier	Channel	Email	Note
Hiroshi Ono	Kyoto	A	Email	h.ono.collector@gmail.com	Buys tea bowls every year. Loves the tenmoku.
Sarah Whitfield	Tokyo	A	Email	s.whitfield@gmail.com	Bought the big celadon platter 2024. Wants first look at platters.
Kenji and Aya Mori	Osaka	A	Email	morikenji.aya@gmail.com	Wedding gift set 2023, now regulars. Prefer sets.
Galerie Terre (trade)	Paris	Trade	Email	jl.moreau@galerie-terre.fr	Jean-Luc. Trade, not retail. Group show 2024 onward.
Lewis Tan	Singapore	B	Email	lewistan.ceramics@gmail.com	Met at Mashiko fair. Shipping abroad, mind the insurance.
Margaret Hill	Portland	W	Email	m.hill.pdx@gmail.com	Mom's friend. Watches the website. Be kind, send the newsletter.
Dr. Naoko Sato	Kyoto	B	Email	naoko.sato.tea@gmail.com	Tea practitioner. Wants chawan, particular about the foot.
The Craftsman (cafe)	Kyoto	Trade	LINE	-	Wholesale tumblers and side plates. Repeat order each spring.
Ito Bunpodo (shop)	Kyoto	Trade	Email	orders@itobunpodo.example	Small retail stockist near Gion. Cups and dishes.
Emma Caldwell	Portland	W	Email	emma.caldwell.pdx@gmail.com	Ethan's sister. Newsletter only.

Reminder: Akiko at Shibui handles gallery buyers, do not double contact the gallery's clients direct.
