team_id	jersey_number	first_name	last_name	position	handedness	phone	email	emergency_contact	notes
LCIR-WED-D2-014	2	Marc	Bélanger	Defense	Right	(503) 555-0234	marc.belanger@gmail.com	wife, (503) 555-0235	captain, Hawthorne concierge teammate, Yves's ride to rink
LCIR-WED-D2-014	8	Yves	Quinn	Center	Left	(503) 555-0192	yves.quinn@voissync.ai	Papa Luc, (503) 555-0134	assistant captain, prefers Thursday nights, may miss for catering, owner Cuisine du Nord
LCIR-WED-D2-014	11	Brendan	Hutchings	Right Wing	Right	(503) 555-0411	bhutchings.pdx@gmail.com	wife Erin, (503) 555-0412	plays through anything, do not pass to him on the breakout
LCIR-WED-D2-014	14	Theo	Ngata	Left Wing	Left	(503) 555-0423	theo.ngata@gmail.com	sister, (503) 555-0424	rookie season, learns fast, designated rotisserie chicken pickup post game
LCIR-WED-D2-014	17	Jess	Okafor	Defense	Left	(503) 555-0196	jess.okafor@gmail.com	Yves Quinn, (503) 555-0192	Yves's gym partner and Hawthorne coworker, finally joined this season, hates the Tuesday gym text reminders
LCIR-WED-D2-014	19	Dan	Holm	Right Wing	Right	(503) 555-0509	dan.holm.pdx@gmail.com	wife Anne, (503) 555-0510	used to play juniors in Spokane, only one who can win a face off
LCIR-WED-D2-014	22	Aaron	Liu	Center	Right	(503) 555-0518	aaron.liu.pdx@gmail.com	wife Mei, (503) 555-0519	coordinates the post-game beers, runs the team venmo
LCIR-WED-D2-014	26	Patrick	Doyle Jr	Left Wing	Right	(503) 555-0527	pdoylejr@gmail.com	father Patrick Sr (503) 555-0208	Patrick Doyle's kid, the Cuisine du Nord mentor route, do not bench him in front of his dad
LCIR-WED-D2-014	33	Hank	Sorensen	Goalie	Catch Right	(503) 555-0536	hank.s.goalie@gmail.com	wife Linda, (503) 555-0537	starter, plays every Thursday, do NOT bring the kimchi tourtière to the bench, he is allergic to garlic
LCIR-WED-D2-014	44	Wei	Chen	Defense	Right	(503) 555-0548	wei.chen.pdx@gmail.com	wife Yu, (503) 555-0549	new this season, traded over from the Tuesday B league, played college club
LCIR-WED-D2-014	58	Calvin	Knight	Center	Left	(503) 555-0559	calvin.knight@gmail.com	mother, (503) 555-0560	youngest on the roster, drives Theo to the rink, do not let him take penalty shots
LCIR-WED-D2-014	71	Ron	McAllister	Right Wing	Right	(503) 555-0571	ron.mcallister@gmail.com	wife Pat, (503) 555-0572	team grandpa at 57, manages the ice time payment to Lloyd Center, $90 per skater per season
LCIR-WED-D2-014	88	Mike	O'Donnell	Backup Goalie	Catch Left	(503) 555-0581	mike.o.goalie@gmail.com	brother, (503) 555-0582	rotates in when Hank works late
LCIR-WED-D2-014	C	N/A	Lloyd Center Ice Rink	Facility	N/A	(503) 555-0700	frontdesk@lloydcenterice.com	N/A	953 Lloyd Center, Portland OR 97232, league fee $1,080 per team for 12 week season, Thursdays 21:00 to 22:00 ice
