name	relationship	phone	email
Luc Quinn	Father	(503) 555-0134
Emile Quinn	Brother	(503) 555-0148	emile.quinn@gmail.com
Nathalie Quinn	Sister, Montreal	+1 514 555 0162	nathalie.quinn@gmail.com
Henri Quinn	Grandfather, Montreal	+1 514 555 0175
Sienna Park	Girlfriend	(503) 555-0183	sienna.park@gmail.com
Jess Okafor	Friend, Hawthorne Grand	(503) 555-0196	jess.okafor@gmail.com
Patrick Doyle	Catering mentor	(503) 555-0208	patrick.doyle@gmail.com
Lisa Chen	Event planner	(503) 555-0217	lisa.chen.m@gmail.com
Andrea Marsh	Front office manager	(503) 555-0225	andrea.marsh@gmail.com
Marc Belanger	Concierge teammate	(503) 555-0234	marc.belanger@gmail.com
Priya Nair	Concierge teammate	(503) 555-0241	priya.nair@gmail.com
Dr. James Hartley	PCP, Cascade Family Medicine	(503) 555-0256
Dr. Claire Tremblay	PCP for Luc, Beaverton Community	(503) 555-0268
