<<<<<<< HEAD
Date	Mileage	Service	Provider	Cost	Notes
04/15/2023	1200	First service, oil change, multi-point inspection	Edison Toyota Service	0.00	Included with purchase
10/22/2023	7840	Oil change, tire rotation	Edison Toyota Service	89.00	Synthetic 0W-20
02/10/2024	14620	Oil change, cabin air filter	Edison Toyota Service	125.00	
05/18/2024	20180	Oil change, tire rotation, brake inspection	Edison Toyota Service	95.00	Brakes at 70%
08/24/2024	26450	Oil change, engine air filter, wiper blades	Edison Toyota Service	148.00	
09/15/2024	27800	Tire replacement, 4 Michelin Defender LTX M/S	Costco Tire Center Edison	892.00	265/70R16, road hazard included
11/30/2024	31200	Oil change, transmission fluid check	Edison Toyota Service	92.00	Trans fluid okay
01/18/2025	34100	Oil change, tire rotation, battery test	Edison Toyota Service	105.00	Battery at 94%
02/22/2025	35800	Windshield chip repair	Safelite AutoGlass	0.00	Covered by insurance
10/10/2025	42300	30K mile service, spark plugs, coolant flush	Edison Toyota Service	485.00	Full inspection
01/12/2026	47200	Oil change, tire rotation	Edison Toyota Service	95.00	Next service at 52K
=======
Date	Mileage	Service	Provider	Cost	Notes
04/15/2023	1200	First service, oil change, multi-point inspection	Edison Toyota Service	0.00	Included with purchase
10/22/2023	7840	Oil change, tire rotation	Edison Toyota Service	89.00	Synthetic 0W-20
02/10/2024	14620	Oil change, cabin air filter	Edison Toyota Service	125.00	
05/18/2024	20180	Oil change, tire rotation, brake inspection	Edison Toyota Service	95.00	Brakes at 70%
08/24/2024	26450	Oil change, engine air filter, wiper blades	Edison Toyota Service	148.00	
09/15/2024	27800	Tire replacement, 4 Michelin Defender LTX M/S	Costco Tire Center Edison	892.00	265/70R16, road hazard included
11/30/2024	31200	Oil change, transmission fluid check	Edison Toyota Service	92.00	Trans fluid okay
01/18/2025	34100	Oil change, tire rotation, battery test	Edison Toyota Service	105.00	Battery at 94%
02/22/2025	35800	Windshield chip repair	Safelite AutoGlass	0.00	Covered by insurance
10/10/2025	42300	30K mile service, spark plugs, coolant flush	Edison Toyota Service	485.00	Full inspection
01/12/2026	47200	Oil change, tire rotation	Edison Toyota Service	95.00	Next service at 52K
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
