<<<<<<< HEAD
Date	Merchant	Category	Amount
01/02/2026	ShopRite Edison	Groceries	87.42
01/03/2026	Shell Gas Station Oak Tree Rd	Fuel	52.18
01/04/2026	Patel Brothers Edison	Groceries	63.90
01/05/2026	AutoZone Edison	Auto Parts	34.79
01/06/2026	Netflix	Subscription	15.49
01/07/2026	Dunkin Donuts Rt 27	Dining	8.45
01/08/2026	PSE&G Online Payment	Utilities	218.30
01/09/2026	Amazon.com	Shopping	42.99
01/10/2026	Costco Edison	Groceries	156.22
01/11/2026	Spotify Family	Subscription	16.99
01/12/2026	Bright Horizons Tuition	Education	1100.00
01/13/2026	Lowe's Edison	Home Improvement	89.34
01/14/2026	Chili's Woodbridge	Dining	47.85
01/15/2026	LKQ Auto Parts	Business Supplies	312.40
01/16/2026	Verizon Wireless	Phone	131.20
01/17/2026	Wawa Rt 1	Fuel	48.75
01/18/2026	Target Edison	Shopping	67.12
01/19/2026	YouTube Premium	Subscription	13.99
01/20/2026	Rajan's Curry House	Dining	0.00
01/21/2026	Edison Wellness Chiropractic	Medical	45.00
01/22/2026	Optimum Internet	Internet	69.99
01/23/2026	PPG Paint Supply Newark	Business Supplies	487.60
01/24/2026	ShopRite Edison	Groceries	92.14
01/25/2026	Dick's Sporting Goods	Recreation	38.50
01/26/2026	Shell Gas Station Rt 27	Fuel	55.30
01/27/2026	Walgreens Edison	Pharmacy	22.47
01/28/2026	Home Depot Woodbridge	Home Improvement	124.80
01/29/2026	Patel Brothers Edison	Groceries	71.55
=======
Date	Merchant	Category	Amount
01/02/2026	ShopRite Edison	Groceries	87.42
01/03/2026	Shell Gas Station Oak Tree Rd	Fuel	52.18
01/04/2026	Patel Brothers Edison	Groceries	63.90
01/05/2026	AutoZone Edison	Auto Parts	34.79
01/06/2026	Netflix	Subscription	15.49
01/07/2026	Dunkin Donuts Rt 27	Dining	8.45
01/08/2026	PSE&G Online Payment	Utilities	218.30
01/09/2026	Amazon.com	Shopping	42.99
01/10/2026	Costco Edison	Groceries	156.22
01/11/2026	Spotify Family	Subscription	16.99
01/12/2026	Bright Horizons Tuition	Education	1100.00
01/13/2026	Lowe's Edison	Home Improvement	89.34
01/14/2026	Chili's Woodbridge	Dining	47.85
01/15/2026	LKQ Auto Parts	Business Supplies	312.40
01/16/2026	Verizon Wireless	Phone	131.20
01/17/2026	Wawa Rt 1	Fuel	48.75
01/18/2026	Target Edison	Shopping	67.12
01/19/2026	YouTube Premium	Subscription	13.99
01/20/2026	Rajan's Curry House	Dining	0.00
01/21/2026	Edison Wellness Chiropractic	Medical	45.00
01/22/2026	Optimum Internet	Internet	69.99
01/23/2026	PPG Paint Supply Newark	Business Supplies	487.60
01/24/2026	ShopRite Edison	Groceries	92.14
01/25/2026	Dick's Sporting Goods	Recreation	38.50
01/26/2026	Shell Gas Station Rt 27	Fuel	55.30
01/27/2026	Walgreens Edison	Pharmacy	22.47
01/28/2026	Home Depot Woodbridge	Home Improvement	124.80
01/29/2026	Patel Brothers Edison	Groceries	71.55
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
