<<<<<<< HEAD
Year	Quarter	Amount	DatePaid	ConfirmationNumber
2020	Q3	960.00	08/01/2020	EDTWP-2020-Q3-48291
2020	Q4	960.00	11/01/2020	EDTWP-2020-Q4-48292
2021	Q1	1020.00	02/01/2021	EDTWP-2021-Q1-51003
2021	Q2	1020.00	05/01/2021	EDTWP-2021-Q2-51004
2021	Q3	1020.00	08/01/2021	EDTWP-2021-Q3-51005
2021	Q4	1020.00	11/01/2021	EDTWP-2021-Q4-51006
2022	Q1	1080.00	02/01/2022	EDTWP-2022-Q1-53210
2022	Q2	1080.00	05/01/2022	EDTWP-2022-Q2-53211
2022	Q3	1080.00	08/01/2022	EDTWP-2022-Q3-53212
2022	Q4	1080.00	11/01/2022	EDTWP-2022-Q4-53213
2023	Q1	1140.00	02/01/2023	EDTWP-2023-Q1-55401
2023	Q2	1140.00	05/01/2023	EDTWP-2023-Q2-55402
2023	Q3	1140.00	08/01/2023	EDTWP-2023-Q3-55403
2023	Q4	1140.00	11/01/2023	EDTWP-2023-Q4-55404
2024	Q1	1200.00	02/01/2024	EDTWP-2024-Q1-57822
2024	Q2	1200.00	05/01/2024	EDTWP-2024-Q2-57823
2024	Q3	1200.00	08/01/2024	EDTWP-2024-Q3-57824
2024	Q4	1200.00	11/01/2024	EDTWP-2024-Q4-57825
2025	Q1	1260.00	02/01/2025	EDTWP-2025-Q1-60110
2025	Q2	1260.00	05/01/2025	EDTWP-2025-Q2-60111
2025	Q3	1260.00	08/01/2025	EDTWP-2025-Q3-60112
2025	Q4	1260.00	11/01/2025	EDTWP-2025-Q4-60113
=======
Year	Quarter	Amount	DatePaid	ConfirmationNumber
2020	Q3	960.00	08/01/2020	EDTWP-2020-Q3-48291
2020	Q4	960.00	11/01/2020	EDTWP-2020-Q4-48292
2021	Q1	1020.00	02/01/2021	EDTWP-2021-Q1-51003
2021	Q2	1020.00	05/01/2021	EDTWP-2021-Q2-51004
2021	Q3	1020.00	08/01/2021	EDTWP-2021-Q3-51005
2021	Q4	1020.00	11/01/2021	EDTWP-2021-Q4-51006
2022	Q1	1080.00	02/01/2022	EDTWP-2022-Q1-53210
2022	Q2	1080.00	05/01/2022	EDTWP-2022-Q2-53211
2022	Q3	1080.00	08/01/2022	EDTWP-2022-Q3-53212
2022	Q4	1080.00	11/01/2022	EDTWP-2022-Q4-53213
2023	Q1	1140.00	02/01/2023	EDTWP-2023-Q1-55401
2023	Q2	1140.00	05/01/2023	EDTWP-2023-Q2-55402
2023	Q3	1140.00	08/01/2023	EDTWP-2023-Q3-55403
2023	Q4	1140.00	11/01/2023	EDTWP-2023-Q4-55404
2024	Q1	1200.00	02/01/2024	EDTWP-2024-Q1-57822
2024	Q2	1200.00	05/01/2024	EDTWP-2024-Q2-57823
2024	Q3	1200.00	08/01/2024	EDTWP-2024-Q3-57824
2024	Q4	1200.00	11/01/2024	EDTWP-2024-Q4-57825
2025	Q1	1260.00	02/01/2025	EDTWP-2025-Q1-60110
2025	Q2	1260.00	05/01/2025	EDTWP-2025-Q2-60111
2025	Q3	1260.00	08/01/2025	EDTWP-2025-Q3-60112
2025	Q4	1260.00	11/01/2025	EDTWP-2025-Q4-60113
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
