<<<<<<< HEAD
Date	GuestName	Topic	Confirmed	Notes
01/11/2025	Neela Patel	Edison zoning changes affecting Oak Tree Road	Yes	Councilwoman, recurring guest
01/25/2025	Dr. Anil Mehta	Diabetes awareness in the South Asian community	Yes	Endocrinologist at JFK Medical Center
02/08/2025	Priya Shah	Small business tax tips for 2024 filing	Yes	CPA, local practice in Iselin
02/15/2025	Neela Patel	Parking regulation updates, public comment period	Yes	Follow-up from January show
02/22/2025	Chef Ramesh Bhatia	Oak Tree Road food scene and restaurant challenges	Yes	Owner of Moghul Restaurant
03/08/2025	Sunita Rao	WDVI community programming plans for spring	Yes	Station manager segment
04/12/2025	Sgt. Ranjit Singh	Edison Police community outreach and safety tips	Yes	Edison PD community liaison
05/10/2025	Dr. Meera Kapoor	Mental health in immigrant families	Yes	Psychologist, Woodbridge
06/14/2025	Ajay Patel	Oak Tree Road Business Association summer events	Yes	Association vice president
07/19/2025	Rekha Varma	Indian classical dance academy open house	Yes	Nritya Academy director
08/09/2025	No guest	Dev anniversary week, music-focused show	N/A	Sensitive week, no interviews
09/13/2025	Neela Patel	Edison township budget hearing preview	Yes	Third appearance this year
10/11/2025	Diwali Committee	Edison Diwali festival planning and volunteer call	Yes	Panel with three committee members
10/25/2025	Vinod Agarwal	Real estate trends in Middlesex County	Yes	Realtor, RE/MAX Edison
11/08/2025	Fire Chief Tom Bradley	Holiday fire safety and home heating tips	Yes	Edison Fire Department
11/22/2025	Gauri Shankar	Classical music in modern Bollywood films	Yes	Music producer, local studio
12/13/2025	Neela Patel	Year-end township review and 2026 outlook	Yes	Fourth appearance
12/27/2025	No guest	Year-end music special, listener favorites countdown	N/A	All-music show, no interview
=======
Date	GuestName	Topic	Confirmed	Notes
01/11/2025	Neela Patel	Edison zoning changes affecting Oak Tree Road	Yes	Councilwoman, recurring guest
01/25/2025	Dr. Anil Mehta	Diabetes awareness in the South Asian community	Yes	Endocrinologist at JFK Medical Center
02/08/2025	Priya Shah	Small business tax tips for 2024 filing	Yes	CPA, local practice in Iselin
02/15/2025	Neela Patel	Parking regulation updates, public comment period	Yes	Follow-up from January show
02/22/2025	Chef Ramesh Bhatia	Oak Tree Road food scene and restaurant challenges	Yes	Owner of Moghul Restaurant
03/08/2025	Sunita Rao	WDVI community programming plans for spring	Yes	Station manager segment
04/12/2025	Sgt. Ranjit Singh	Edison Police community outreach and safety tips	Yes	Edison PD community liaison
05/10/2025	Dr. Meera Kapoor	Mental health in immigrant families	Yes	Psychologist, Woodbridge
06/14/2025	Ajay Patel	Oak Tree Road Business Association summer events	Yes	Association vice president
07/19/2025	Rekha Varma	Indian classical dance academy open house	Yes	Nritya Academy director
08/09/2025	No guest	Dev anniversary week, music-focused show	N/A	Sensitive week, no interviews
09/13/2025	Neela Patel	Edison township budget hearing preview	Yes	Third appearance this year
10/11/2025	Diwali Committee	Edison Diwali festival planning and volunteer call	Yes	Panel with three committee members
10/25/2025	Vinod Agarwal	Real estate trends in Middlesex County	Yes	Realtor, RE/MAX Edison
11/08/2025	Fire Chief Tom Bradley	Holiday fire safety and home heating tips	Yes	Edison Fire Department
11/22/2025	Gauri Shankar	Classical music in modern Bollywood films	Yes	Music producer, local studio
12/13/2025	Neela Patel	Year-end township review and 2026 outlook	Yes	Fourth appearance
12/27/2025	No guest	Year-end music special, listener favorites countdown	N/A	All-music show, no interview
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
