<<<<<<< HEAD
CustomerID	Name	Phone	Email	Vehicle	LastServiceDate	Notes
C-1001	Michael Torres	(732) 555-1102	mtorres88@gmail.com	2021 Honda Accord	01/09/2025	Repeat customer, referred by wife
C-1002	Sandra Williams	(732) 555-1214	s.williams@outlook.com	2019 Toyota Camry	01/14/2025	Insurance through Geico
C-1003	David Chen	(908) 555-3301	dchen.nj@gmail.com	2022 Ford F-150	01/20/2025	Fleet manager, may bring more trucks
C-1004	Priya Nair	(732) 555-2209	priya.n@yahoo.com	2020 Hyundai Elantra	01/08/2025	PDR only, quick turnaround
C-1005	Robert Flanagan	(908) 555-4410	rflanagan@comcast.net	2018 BMW 330i	01/17/2025	Particular about color match
C-1006	Angela Martinez	(732) 555-5523	amartinez77@gmail.com	2023 Nissan Rogue	01/22/2025	Progressive insurance
C-1007	James Okafor	(732) 555-6634	j.okafor@hotmail.com	2017 Chevrolet Malibu	01/21/2025	Cash pay, no insurance
C-1008	Karen Liu	(908) 555-7745	karenliu.nj@gmail.com	2021 Subaru Outback	01/17/2025	Hail damage, State Farm
C-1009	Nathan Brooks	(732) 555-8856	nbrooks@icloud.com	2022 Tesla Model 3	01/27/2025	Tesla certified parts only
C-1010	Lisa Patel	(732) 555-9967	lpatel.edison@gmail.com	2019 Honda CR-V	01/30/2025	Full respray, Allstate claim
C-1011	Mark Donovan	(908) 555-1078	mdonovan22@gmail.com	2020 Kia Sportage	01/21/2025	Minor work, walk-in
C-1012	Alicia Romero	(732) 555-1189	a.romero@outlook.com	2016 Mercedes C300	02/03/2025	Structural, Liberty Mutual
C-1013	Brian Walsh	(908) 555-1290	bwalsh.nj@gmail.com	2023 Toyota RAV4	01/23/2025	Scratch only, same-day
C-1014	Deepa Krishnan	(732) 555-1301	deepa.k@gmail.com	2021 Ford Escape	02/04/2025	Referred by Amit
C-1015	Thomas Kim	(732) 555-1412	tkim.customs@gmail.com	2018 Jeep Wrangler	02/07/2025	Custom work, repeat
C-1016	Patricia Morgan	(908) 555-1523	p.morgan@comcast.net	2022 Chevrolet Equinox	02/10/2025	Rear end, Travelers
C-1017	Vikram Reddy	(732) 555-1634	v.reddy@outlook.com	2020 Mazda CX-5	02/07/2025	Community referral
C-1018	Jennifer Cole	(732) 555-1745	jcole.nj@gmail.com	2019 Audi A4	02/11/2025	Sensor recalibration needed
C-1019	Raj Subramanian	(908) 555-1856	raj.s@gmail.com	2023 Hyundai Tucson	12/15/2024	Insurance estimate pending
C-1020	Maria Gonzalez	(732) 555-1967	mgonzalez@yahoo.com	2021 Nissan Altima	11/28/2024	Returning for touch-up
=======
CustomerID	Name	Phone	Email	Vehicle	LastServiceDate	Notes
C-1001	Michael Torres	(732) 555-1102	mtorres88@gmail.com	2021 Honda Accord	01/09/2025	Repeat customer, referred by wife
C-1002	Sandra Williams	(732) 555-1214	s.williams@outlook.com	2019 Toyota Camry	01/14/2025	Insurance through Geico
C-1003	David Chen	(908) 555-3301	dchen.nj@gmail.com	2022 Ford F-150	01/20/2025	Fleet manager, may bring more trucks
C-1004	Priya Nair	(732) 555-2209	priya.n@yahoo.com	2020 Hyundai Elantra	01/08/2025	PDR only, quick turnaround
C-1005	Robert Flanagan	(908) 555-4410	rflanagan@comcast.net	2018 BMW 330i	01/17/2025	Particular about color match
C-1006	Angela Martinez	(732) 555-5523	amartinez77@gmail.com	2023 Nissan Rogue	01/22/2025	Progressive insurance
C-1007	James Okafor	(732) 555-6634	j.okafor@hotmail.com	2017 Chevrolet Malibu	01/21/2025	Cash pay, no insurance
C-1008	Karen Liu	(908) 555-7745	karenliu.nj@gmail.com	2021 Subaru Outback	01/17/2025	Hail damage, State Farm
C-1009	Nathan Brooks	(732) 555-8856	nbrooks@icloud.com	2022 Tesla Model 3	01/27/2025	Tesla certified parts only
C-1010	Lisa Patel	(732) 555-9967	lpatel.edison@gmail.com	2019 Honda CR-V	01/30/2025	Full respray, Allstate claim
C-1011	Mark Donovan	(908) 555-1078	mdonovan22@gmail.com	2020 Kia Sportage	01/21/2025	Minor work, walk-in
C-1012	Alicia Romero	(732) 555-1189	a.romero@outlook.com	2016 Mercedes C300	02/03/2025	Structural, Liberty Mutual
C-1013	Brian Walsh	(908) 555-1290	bwalsh.nj@gmail.com	2023 Toyota RAV4	01/23/2025	Scratch only, same-day
C-1014	Deepa Krishnan	(732) 555-1301	deepa.k@gmail.com	2021 Ford Escape	02/04/2025	Referred by Amit
C-1015	Thomas Kim	(732) 555-1412	tkim.customs@gmail.com	2018 Jeep Wrangler	02/07/2025	Custom work, repeat
C-1016	Patricia Morgan	(908) 555-1523	p.morgan@comcast.net	2022 Chevrolet Equinox	02/10/2025	Rear end, Travelers
C-1017	Vikram Reddy	(732) 555-1634	v.reddy@outlook.com	2020 Mazda CX-5	02/07/2025	Community referral
C-1018	Jennifer Cole	(732) 555-1745	jcole.nj@gmail.com	2019 Audi A4	02/11/2025	Sensor recalibration needed
C-1019	Raj Subramanian	(908) 555-1856	raj.s@gmail.com	2023 Hyundai Tucson	12/15/2024	Insurance estimate pending
C-1020	Maria Gonzalez	(732) 555-1967	mgonzalez@yahoo.com	2021 Nissan Altima	11/28/2024	Returning for touch-up
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
