<<<<<<< HEAD
Service	MonthlyCost	BillingDate	AccountEmail	Status
Netflix (Standard)	15.49	6th of each month	hari.jefferson@voissync.ai	Active
YouTube Premium	13.99	20th of each month	hari.jefferson@voissync.ai	Active
Spotify Family	16.99	11th of each month	hari.jefferson@voissync.ai	Active
Google Workspace (Business Starter)	7.20	1st of each month	hari.jefferson@voissync.ai	Active
iCloud+ (200GB)	2.99	15th of each month	hari.jefferson@voissync.ai	Active
WDVI Online Stream Archive	0.00	N/A	hari.jefferson@voissync.ai	Complimentary
AAA Membership (Plus)	12.75	Annual, renewed January	hari.jefferson@voissync.ai	Active
=======
Service	MonthlyCost	BillingDate	AccountEmail	Status
Netflix (Standard)	15.49	6th of each month	hari.jefferson@voissync.ai	Active
YouTube Premium	13.99	20th of each month	hari.jefferson@voissync.ai	Active
Spotify Family	16.99	11th of each month	hari.jefferson@voissync.ai	Active
Google Workspace (Business Starter)	7.20	1st of each month	hari.jefferson@voissync.ai	Active
iCloud+ (200GB)	2.99	15th of each month	hari.jefferson@voissync.ai	Active
WDVI Online Stream Archive	0.00	N/A	hari.jefferson@voissync.ai	Complimentary
AAA Membership (Plus)	12.75	Annual, renewed January	hari.jefferson@voissync.ai	Active
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
