<<<<<<< HEAD
Month	BillAmount	kWhUsed	ThermsUsed	DueDate	PaidDate
Jan 2024	248.30	620	85	01/28/2024	01/25/2024
Feb 2024	262.10	580	92	02/28/2024	02/26/2024
Mar 2024	228.40	540	68	03/28/2024	03/25/2024
Apr 2024	198.60	480	42	04/28/2024	04/24/2024
May 2024	185.20	520	18	05/28/2024	05/26/2024
Jun 2024	210.80	680	8	06/28/2024	06/25/2024
Jul 2024	238.50	780	5	07/28/2024	07/24/2024
Aug 2024	242.90	800	5	08/28/2024	08/26/2024
Sep 2024	218.40	640	10	09/28/2024	09/25/2024
Oct 2024	195.60	520	35	10/28/2024	10/24/2024
Nov 2024	215.80	560	62	11/28/2024	11/25/2024
Dec 2024	245.20	600	82	12/28/2024	12/24/2024
Jan 2025	252.80	640	88	01/28/2025	01/24/2025
Feb 2025	258.40	600	90	02/28/2025	02/25/2025
Mar 2025	222.60	520	64	03/28/2025	03/24/2025
Apr 2025	192.30	460	38	04/28/2025	04/25/2025
May 2025	178.90	500	15	05/28/2025	05/26/2025
Jun 2025	215.40	700	6	06/28/2025	06/24/2025
Jul 2025	245.60	810	4	07/28/2025	07/25/2025
Aug 2025	248.20	820	4	08/28/2025	08/25/2025
Sep 2025	225.10	660	12	09/28/2025	09/24/2025
Oct 2025	198.40	530	38	10/28/2025	10/25/2025
Nov 2025	220.50	580	65	11/28/2025	11/24/2025
Dec 2025	248.80	620	84	12/28/2025	12/23/2025
=======
Month	BillAmount	kWhUsed	ThermsUsed	DueDate	PaidDate
Jan 2024	248.30	620	85	01/28/2024	01/25/2024
Feb 2024	262.10	580	92	02/28/2024	02/26/2024
Mar 2024	228.40	540	68	03/28/2024	03/25/2024
Apr 2024	198.60	480	42	04/28/2024	04/24/2024
May 2024	185.20	520	18	05/28/2024	05/26/2024
Jun 2024	210.80	680	8	06/28/2024	06/25/2024
Jul 2024	238.50	780	5	07/28/2024	07/24/2024
Aug 2024	242.90	800	5	08/28/2024	08/26/2024
Sep 2024	218.40	640	10	09/28/2024	09/25/2024
Oct 2024	195.60	520	35	10/28/2024	10/24/2024
Nov 2024	215.80	560	62	11/28/2024	11/25/2024
Dec 2024	245.20	600	82	12/28/2024	12/24/2024
Jan 2025	252.80	640	88	01/28/2025	01/24/2025
Feb 2025	258.40	600	90	02/28/2025	02/25/2025
Mar 2025	222.60	520	64	03/28/2025	03/24/2025
Apr 2025	192.30	460	38	04/28/2025	04/25/2025
May 2025	178.90	500	15	05/28/2025	05/26/2025
Jun 2025	215.40	700	6	06/28/2025	06/24/2025
Jul 2025	245.60	810	4	07/28/2025	07/25/2025
Aug 2025	248.20	820	4	08/28/2025	08/25/2025
Sep 2025	225.10	660	12	09/28/2025	09/24/2025
Oct 2025	198.40	530	38	10/28/2025	10/25/2025
Nov 2025	220.50	580	65	11/28/2025	11/24/2025
Dec 2025	248.80	620	84	12/28/2025	12/23/2025
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
