company,city,industry,employees,est_monthly_hours,source,owner,contact_email,current_analytics,primary_pain,notes
Bexley Bikes Co,Bexley,Retail - Cycling,9,8,referral,,,GA Universal (deprecated),no view of online-to-store,"owner name unclear, need to confirm contact"
Grove & Gable,Worthington,Retail - Home Goods,14,12,intake form,Renata Vance,renata@groveandgable.com,Shopify + GA4 partial,cannot tie ad spend to sales,"filled intake, wants dashboard, warm"
Harvest Table Catering,Westerville,Food Service,11,6,networking event,Mark Feld,mark@harvesttablecatering.com,spreadsheet only,seasonal demand blind spots,met at chamber mixer
Dublin Dental Partners,Dublin,Healthcare - Dental,18,10,referral,Dr. Amy Sohn,frontdesk@dublindentalpartners.com,practice mgmt software,cost per new patient unknown,front desk gatekeeps email
Clintonville Coffee Roasters,Columbus,Food & Beverage,7,5,walk-in,Theo Marsh,,Square POS,loyalty program not measured,check if same as CCR LLC below
Clintonville Coffee Roasters LLC,Columbus,Food & Beverage,7,5,walk-in,Theo Marsh,theo@clintonvilleroasters.com,Square POS,loyalty program not measured,likely duplicate of row above
Grandview Auto Care,Grandview Heights,Automotive,12,7,referral,Luis Ortega,luis@grandviewauto.com,none,reviews and local search flat,strong word of mouth
Grandview Auto,Grandview Heights,Automotive,12,7,referral,,,none,reviews and local search flat,maybe same as Grandview Auto Care
Powell Pediatrics,Powell,Healthcare - Pediatric,16,9,network,Dr. Nina Rao,,EHR portal,new-patient sources untracked,Rachel referral
Worthington Wellness Studio,Worthington,Fitness,8,6,event,Kara Vint,kara@worthingtonwellness.com,Mindbody,class fill and churn unclear,former classmate
Short North Framing,Columbus,Retail - Art,5,4,walk-in,Gil Baum,gil@shortnorthframing.com,Squarespace,ecommerce conversion low,niche custom work
Olentangy Landscaping,Lewis Center,Home Services,13,8,referral,Sam Poole,sam@olentangyland.com,QuickBooks only,lead source attribution missing,"seasonal, ramps in spring"
Uptown Yoga Collective,Westerville,Fitness,6,5,event,Bea Cross,bea@uptownyoga.com,Mindbody,membership churn,small but engaged list
Delaware Family Law,Delaware,Legal,9,6,referral,Janet Hu,jhu@delawarefamilylaw.com,website form,intake form drop-off,careful with client privacy
Hilliard Home Bakery,Hilliard,Food & Beverage,5,4,walk-in,,,Instagram only,no web tracking at all,cash heavy
Gahanna Garden Center,Gahanna,Retail - Garden,15,7,network,Ed Pruitt,ed@gahannagarden.com,GA4 basic,seasonal demand forecasting,event contact
New Albany Pet Clinic,New Albany,Healthcare - Vet,14,8,referral,Dr. Owen Lang,office@newalbanypet.com,EHR,appointment funnel leaks,office manager screens mail
Polaris Boutique Fitness,Columbus,Fitness,10,6,event,Mia Trent,mia@polarisfit.com,Meta Ads + GA4,ad spend ROI unclear,spends on paid social
Riverside Coworking,Columbus,Real Estate,11,9,network,Cole Danner,cole@riversidecowork.com,HubSpot,tour-to-signup tracking,growing fast
Upper Arlington Optometry,Upper Arlington,Healthcare - Vision,13,7,referral,Dr. Pat Kline,frontdesk@uaoptometry.com,EHR,recall campaign untracked,
Dublin Tech Collective,Dublin,SaaS,22,12,network,Owen Pratt,owen@dublintech.co,Mixpanel + GA4,activation funnel murky,most analytically mature lead
Meridian Home Staging,Columbus,Real Estate Services,8,7,network,Beth Alvarez,beth@meridianstaging.com,none,no attribution at all,alumni network
Grandview Barbell,Grandview Heights,Fitness,7,5,walk-in,Nate Cole,nate@grandviewbarbell.com,none,membership retention unclear,small gym
Bexley Booksellers,Bexley,Retail - Books,6,4,referral,Ruth Cain,ruth@bexleybooks.com,Shopify,online vs in-store split unknown,indie bookstore
Powell Family Eyecare,Powell,Healthcare - Vision,12,7,network,Dr. Neil Ash,neil@powelleyecare.com,EHR,recall campaign untracked,
Worthington Tax Advisors,Worthington,Finance,9,6,network,Dean Voss,dean@worthingtontax.com,none,seasonal lead flow blind,busy Jan to Apr
Short North Coffee,Columbus,Food & Beverage,8,5,walk-in,Ivy Lane,ivy@shortnorthcoffee.com,Square POS,loyalty not measured,
Dublin Landscaping Pros,Dublin,Home Services,14,8,referral,Carl Reed,carl@dublinlandscaping.com,QuickBooks,lead attribution missing,seasonal
Delaware Pediatric Dental,Delaware,Healthcare - Dental,16,9,referral,Dr. Ana Beck,front@delawarepeddental.com,practice mgmt,new patient sources unknown,
Upper Arlington Yoga,Upper Arlington,Fitness,6,5,event,Robin Tate,robin@uayoga.com,Mindbody,class fill rates,
Grove City Family Vet,Grove City,Healthcare - Vet,13,8,referral,Dr. Ken Ide,office@grovecityvet.com,EHR,appointment funnel leaks,
Clintonville Pet Supply,Columbus,Retail - Pet,7,5,walk-in,Marta Lim,marta@clintonvillepet.com,Shopify,repeat purchase rate unknown,
Hilliard Auto Body,Hilliard,Automotive,11,6,referral,Joe Park,joe@hilliardautobody.com,none,review and local search flat,
Gahanna Family Chiropractic,Gahanna,Healthcare - Chiro,8,5,network,Dr. Lena Fox,lena@gahannachiro.com,EHR,new patient tracking,
Westerville Kitchen Co,Westerville,Retail - Home Goods,9,6,walk-in,Paul Rens,paul@westervillekitchen.com,GA4 partial,ecommerce conversion low,
New Albany Pilates,New Albany,Fitness,6,5,event,Dana Cole,dana@newalbanypilates.com,Mindbody,membership churn,"different Dana, not Bexley"
Dublin Wine Cellar,Dublin,Retail - Beverage,7,5,walk-in,Sam Ott,sam@dublinwinecellar.com,Square POS,club retention unknown,overlaps local listing
Powell Family Eyecare,Powell,Healthcare - Vision,12,7,network,Dr. Neil Ash,,EHR,recall untracked,"possible dup of earlier row, missing email"
