wa_id,profile_name,phone_number,opted_in,last_seen
15035550134,Papa Luc,+15035550134,True,2027-02-11T06:15:00-08:00
15145550162,Nathalie,+15145550162,True,2027-02-11T15:30:00-05:00
15145550175,Grand-pere Henri,+15145550175,True,2027-02-08T20:47:00-05:00
GROUP_FAMILLE_MTL,Famille Quinn Montreal,,True,2027-02-11T18:22:00-05:00
15145550188,Marc-Andre Quinn,+15145550188,True,2027-01-19T21:00:00-05:00
15145550191,Isabelle Quinn,+15145550191,True,2027-01-20T14:20:00-05:00
15145550204,Aunt Denise,+15145550204,True,2027-01-15T16:00:00-05:00
15145550278,Julien Quinn,+15145550278,True,2027-02-05T21:20:00-05:00
15145550303,Sylvie Bellemare,+15145550303,True,2027-01-30T18:00:00-05:00
15035550183,Sienna,+15035550183,True,2027-02-11T22:14:00-08:00
15035550208,Patrick Doyle,+15035550208,True,2027-02-05T18:00:00-08:00
14038886677,Ambervale ops,+14038886677,True,2027-02-04T09:00:00-08:00
15035550148,Emile Quinn,+15035550148,True,2027-02-11T20:00:00-08:00
