message_id,conversation_id,direction,from_wa_id,to_wa_id,type,text,template_name,status,sent_at
wamid.101,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Bonsoir tout le monde. J ai une idee pour la fete de Grand-pere. Reception a la salle paroissiale apres midi gateau et discours. Molson pour trinquer.,,read,2026-02-04T20:03:00-05:00
wamid.102,conv_family_mtl,in,15145550188,yves.quinn@voissync.ai:group,text,Oui c est doux comme idee. Il aime la salle.,,read,2026-02-04T20:07:00-05:00
wamid.103,conv_family_mtl,in,15035550134,yves.quinn@voissync.ai:group,text,Bonne idee ma fille. Grand-pere adore ses vieux amis a la paroisse. On pourra faire un Molson pour trinquer c est son favori depuis toujours.,,read,2026-02-04T20:12:00-05:00
wamid.104,conv_family_mtl,in,15145550191,yves.quinn@voissync.ai:group,text,Ok pour moi. Julien et la petite viennent.,,read,2026-02-04T20:24:00-05:00
wamid.105,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,OK Papa mais Nathalie tu confirmes avec Father Paul avant qu on annonce.,,read,2026-02-04T17:24:00-08:00
wamid.106,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Je m occupe.,,read,2026-02-04T20:31:00-05:00
wamid.115,conv_family_mtl,in,15145550204,yves.quinn@voissync.ai:group,text,On arrive le matin du 1er. Salle paroissiale c est parfait.,,read,2026-04-05T14:00:00-05:00
wamid.140,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Update pas top. Father Paul a mis sa messe d anniversaire de 25 ans de sacerdoce sur le meme weekend. La salle paroissiale est prise le 1er aout.,,read,2026-06-15T08:47:00-04:00
wamid.141,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Merde. Chez toi ca marcherait?,,read,2026-06-15T09:12:00-07:00
wamid.142,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Oui je pense. Souper en famille plus intime.,,read,2026-06-15T09:15:00-04:00
wamid.180,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Grand-pere est alle chez Dr Boivin au CHUM aujourd hui pour son suivi cardio. Nouvelles pas graves mais plus d alcool du tout.,,read,2026-08-03T20:44:00-04:00
wamid.181,conv_family_mtl,in,15035550134,yves.quinn@voissync.ai:group,text,OK ma fille. On va s adapter. Il aime le the aussi.,,read,2026-08-03T20:49:00-07:00
wamid.182,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Tell me if you need me to talk to him about it Papa. Or you Nathalie.,,read,2026-08-03T20:52:00-07:00
wamid.183,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,I have it Yves. Merci.,,read,2026-08-03T21:03:00-04:00
wamid.210,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Just posted my updated notes doc for the 80th. Party is at my place evening dinner 6 pm on 1 August. NOT the parish hall that fell through in June. Please note.,,read,2026-09-22T11:07:00-04:00
wamid.211,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Got it. Reading now. Papa did you see?,,read,2026-09-22T11:09:00-07:00
wamid.212,conv_family_mtl,in,15035550134,yves.quinn@voissync.ai:group,text,Oui je regarde ce soir.,,read,2026-09-22T14:47:00-07:00
wamid.213,conv_family_mtl,in,15145550188,yves.quinn@voissync.ai:group,text,Read. Sylvie et moi on vient sans les jeunes.,,read,2026-09-22T14:22:00-04:00
wamid.214,conv_family_mtl,in,15145550191,yves.quinn@voissync.ai:group,text,Read. Julien et moi avec la petite.,,read,2026-09-22T15:08:00-04:00
wamid.215,conv_family_mtl,in,15145550204,yves.quinn@voissync.ai:group,text,On arrive le matin de Trois-Rivieres avec Rene. Prevoyez juste un lit pour la nuit.,,read,2026-09-22T17:33:00-04:00
wamid.240,conv_family_mtl,in,15145550175,yves.quinn@voissync.ai:group,text,Bonjour mes amours. Vous n avez pas besoin de faire une grande affaire. Je serai content avec un souper et vos voix.,,read,2026-10-04T09:14:00-04:00
wamid.241,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Papy on va faire les deux.,,read,2026-10-04T09:16:00-04:00
wamid.242,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Grand-pere on t aime.,,read,2026-10-04T06:17:00-07:00
wamid.260,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Reminder pour Portland side. Le the fort decafeine c est ce qu il veut maintenant. Vraiment plus d alcool meme un Molson pour trinquer.,,read,2026-10-11T21:02:00-04:00
wamid.261,conv_family_mtl,in,15035550134,yves.quinn@voissync.ai:group,text,Compris. Ca me fait de la peine mais compris.,,read,2026-10-11T21:03:00-07:00
wamid.262,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Noted. I will make sure nothing gets pushed in front of him.,,read,2026-10-11T21:05:00-07:00
wamid.280,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Papa and I are looking at flights. Return no earlier than the 3 because Papa needs a day of nothing after the party.,,read,2026-10-28T07:34:00-07:00
wamid.281,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Oui c est mieux.,,read,2026-10-28T07:36:00-04:00
wamid.282,conv_family_mtl,in,15035550134,yves.quinn@voissync.ai:group,text,Merci mon fils. Ma canne ne fait pas les turnarounds meme quand j etais jeune.,,read,2026-10-28T07:41:00-07:00
wamid.283,conv_family_mtl,in,15145550188,yves.quinn@voissync.ai:group,text,"Yves if you and Sienna want the little place three blocks over ma soeur y a des amis, elle peut vous obtenir un tarif.",,read,2026-11-14T18:22:00-05:00
wamid.284,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Merci Marc. Je te dis dans un mois quand on aura les billets.,,read,2026-11-14T18:24:00-08:00
wamid.310,conv_family_mtl,in,15035550134,yves.quinn@voissync.ai:group,text,Yves on va prendre une petite Molson quand meme pour le portrait de famille non? Il aimerait ca c est son geste avec son fils.,,read,2027-01-14T18:14:00-08:00
wamid.311,conv_family_mtl,in,15145550162,yves.quinn@voissync.ai:group,text,Papa non. On en a parle. Le the fort decafeine c est ce qu il veut maintenant. On va faire le portrait sans biere.,,read,2027-01-14T18:32:00-05:00
wamid.330,conv_family_mtl,in,15145550204,yves.quinn@voissync.ai:group,text,On a confirme pour Rene. Ils vont dormir chez moi la nuit du 1er.,,read,2027-01-08T09:15:00-05:00
wamid.360,conv_family_mtl,in,15145550175,yves.quinn@voissync.ai:group,text,Yves mon grand j ai bien recu tes photos de tourtiere. Ca m a fait un grand bien. Tu ecris bien pour un cuisinier.,,read,2027-01-19T20:45:00-05:00
wamid.400,conv_family_mtl,in,15145550188,yves.quinn@voissync.ai:group,text,Sylvie et moi confirmes pour le 1er aout. Pas d enfants ce jour la.,,read,2027-02-05T21:00:00-05:00
wamid.401,conv_family_mtl,in,15145550191,yves.quinn@voissync.ai:group,text,Julien et moi confirmes avec la petite. Elle a hate.,,read,2027-02-05T21:15:00-05:00
wamid.410,conv_family_mtl,out,yves.quinn@voissync.ai,GROUP_FAMILLE_MTL,text,Nous on regarde les billets ce weekend. Papa en priorite.,,read,2027-02-11T18:22:00-08:00
