id,firstName,lastName,workEmail,department,jobTitle,location,hireDate,status,supervisorId
4712,Carlos,Reed,creed@torchwoodlabs.com,Threat Intelligence,Senior Cybersecurity Analyst,McLean VA HQ,2020-06-01,Active,3811
3811,Jason,Wu,jwu@torchwoodlabs.com,Threat Intelligence,Threat Intelligence Manager,McLean VA HQ,2017-03-15,Active,3010
3010,Sara,Nguyen,snguyen@torchwoodlabs.com,Security Operations,Director of Security Operations,McLean VA HQ,2015-08-01,Active,
5000,Priya,Kumar,pkumar@torchwoodlabs.com,Threat Intelligence,Senior Threat Intel Analyst,McLean VA HQ,2019-09-07,Active,3811
5001,Aisha,Patel,apatel@torchwoodlabs.com,Detection Engineering,Detection Engineer,McLean VA HQ,2023-06-14,Active,3010
5002,Marcus,Bailey,mbailey@torchwoodlabs.com,Detection Engineering,Detection Engineer II,McLean VA HQ,2021-04-28,Active,3010
5003,Yuki,Tanaka,ytanaka@torchwoodlabs.com,Threat Intelligence,Threat Intel Analyst II,McLean VA HQ,2020-09-22,Active,3811
5004,Diego,Ramirez,dramirez@torchwoodlabs.com,Incident Response,Incident Response Lead,McLean VA HQ,2023-11-28,Active,3010
5005,Sara,Nguyen,snguyen@torchwoodlabs.com,Threat Intelligence,Threat Intel Manager,McLean VA HQ,2021-12-24,Active,3811
5006,Leo,Chen,lchen@torchwoodlabs.com,Threat Intelligence,Junior Analyst,McLean VA HQ,2020-02-20,Active,3811
5007,Sandra,Franklin,sandra.franklin@torchwoodlabs.com,Threat Intelligence,Analyst,Herndon VA,2019-06-03,Active,3010
5008,Chelsey,Knight,chelsey.knight@torchwoodlabs.com,Platform,Director,McLean VA HQ,2019-01-02,Terminated,3811
5009,David,Fuentes,david.fuentes@torchwoodlabs.com,Managed Services,Senior Analyst,Herndon VA,2016-05-20,Active,3010
5010,Thomas,Rodriguez,thomas.rodriguez@torchwoodlabs.com,Sales,Director,Herndon VA,2018-02-08,Active,3010
5011,Amanda,Ward,amanda.ward@torchwoodlabs.com,Incident Response,Senior Analyst,Reston VA,2024-01-03,Active,3010
5012,Jo,Noble,jo.noble@torchwoodlabs.com,Incident Response,Specialist,Remote US,2020-09-02,Active,3010
5013,Amy,Morgan,amy.morgan@torchwoodlabs.com,Marketing,Senior Analyst,Herndon VA,2025-08-21,Terminated,3811
5014,Victoria,Austin,victoria.austin@torchwoodlabs.com,Detection Engineering,Senior Engineer,Reston VA,2021-10-17,Terminated,3811
5015,Oscar,Stewart,oscar.stewart@torchwoodlabs.com,People Ops,Senior Analyst,McLean VA HQ,2020-08-08,Active,3010
