response_id,household_name,household_email,answered_2027,notes,submitted_at
resp_001,Barnes Family,barnes.j@example.com,yes,continuing,2026-09-28
resp_002,Kwon Household,kwon.h@example.com,yes,upgrading to large share,2026-09-28
resp_003,Miller-Torres Family,miller.torres@example.com,no,moving to Bellingham,2026-09-28
resp_004,Whittaker Household,d.whittaker@example.com,yes,continuing,2026-09-29
resp_005,Cho Family,cho.p@example.com,undecided,waiting on winter budget,2026-09-29
resp_006,Grant Household,l.grant@example.com,yes,continuing,2026-09-29
resp_007,Anderson-Frey,af.house@example.com,yes,switching to biweekly,2026-09-30
resp_008,Reyes Family,reyes.m@example.com,yes,continuing,2026-09-30
resp_009,Nakamura Household,nakamura.k@example.com,no,dietary changes vegetarian only,2026-09-30
resp_010,Sanchez Family,sanchez.a@example.com,yes,continuing,2026-10-01
resp_011,Prescott-Kim,pk.house@example.com,yes,continuing,2026-10-01
resp_012,Reid Household,reid.t@example.com,yes,continuing,2026-10-01
resp_013,Vargas Family,vargas.e@example.com,yes,continuing,2026-10-01
resp_014,Ostrowski Household,ostrowski.j@example.com,yes,continuing,2026-10-01
resp_015,Bell Family,bell.d@example.com,yes,continuing,2026-10-02
resp_016,Fujita Household,fujita.h@example.com,undecided,considering half share,2026-10-02
resp_017,Marcum Family,marcum.b@example.com,yes,continuing,2026-10-02
resp_018,Larrabee Household,larrabee.g@example.com,yes,continuing,2026-10-02
resp_019,Choi Family,choi.j@example.com,no,household moving out of state,2026-10-02
resp_020,Turner-Ross,tr.house@example.com,yes,continuing,2026-10-02
resp_021,Ellis Household,ellis.k@example.com,yes,continuing,2026-10-03
resp_022,Pino Family,pino.m@example.com,undecided,switching to Wenatchee CSA maybe,2026-10-03
resp_023,Walker-Yamada,wy.house@example.com,yes,continuing,2026-10-03
resp_024,Marchetti Family,marchetti.f@example.com,yes,continuing,2026-10-03
resp_025,Cortez Household,cortez.m@example.com,yes,continuing,2026-10-03
resp_026,Blaine Family,blaine.h@example.com,yes,continuing,2026-10-03
resp_027,Yang Household,yang.j@example.com,yes,continuing,2026-10-03
resp_028,Ndegwa Family,ndegwa.p@example.com,yes,continuing,2026-10-03
resp_029,Gray-Torres,gt.house@example.com,yes,continuing,2026-10-03
resp_030,Harmon Household,harmon.k@example.com,yes,continuing,2026-10-03
resp_031,Ivanov Family,ivanov.a@example.com,yes,continuing,2026-10-03
resp_032,Padilla Household,padilla.f@example.com,yes,continuing,2026-10-03
SURVEY_TOTAL,All respondents 32 of 35 with 26 yes 3 no 3 undecided,,32,see Stripe autopay for actual renewal count,2026-10-03
