member_id,household_name,household_email,share_size,paid_2026,pickup_status
M01,Barnes Family,barnes.j@example.com,full,paid,current
M02,Kwon Household,kwon.h@example.com,full,paid,current
M03,Miller-Torres Family,miller.torres@example.com,full,paid,current
M04,Whittaker Household,d.whittaker@example.com,full,paid,current
M05,Cho Family,cho.p@example.com,full,paid,current
M06,Grant Household,l.grant@example.com,full,paid,current
M07,Anderson-Frey,af.house@example.com,biweekly,paid,current
M08,Reyes Family,reyes.m@example.com,full,paid,current
M09,Nakamura Household,nakamura.k@example.com,full,paid,current
M10,Sanchez Family,sanchez.a@example.com,full,paid,current
M11,Prescott-Kim,pk.house@example.com,full,paid,current
M12,Reid Household,reid.t@example.com,full,paid,current
M13,Vargas Family,vargas.e@example.com,full,paid,current
M14,Ostrowski Household,ostrowski.j@example.com,full,paid,current
M15,Bell Family,bell.d@example.com,full,paid,current
M16,Fujita Household,fujita.h@example.com,full,paid,current
M17,Marcum Family,marcum.b@example.com,full,paid,current
M18,Larrabee Household,larrabee.g@example.com,full,paid,current
M19,Choi Family,choi.j@example.com,full,paid,current
M20,Turner-Ross,tr.house@example.com,full,paid,current
M21,Ellis Household,ellis.k@example.com,full,paid,current
M22,Pino Family,pino.m@example.com,full,paid,current
M23,Walker-Yamada,wy.house@example.com,full,paid,current
M24,Marchetti Family,marchetti.f@example.com,full,paid,current
M25,Cortez Household,cortez.m@example.com,full,paid,current
M26,Blaine Family,blaine.h@example.com,full,paid,current
M27,Yang Household,yang.j@example.com,full,paid,current
M28,Ndegwa Family,ndegwa.p@example.com,full,paid,current
M29,Gray-Torres,gt.house@example.com,full,paid,current
M30,Harmon Household,harmon.k@example.com,full,paid,current
M31,Ivanov Family,ivanov.a@example.com,full,paid,current
M32,Padilla Household,padilla.f@example.com,full,paid,current
M33,Ostuni Household,ostuni.h@example.com,full,paid,current
M34,Kessler Family,kessler.n@example.com,full,paid,current
M35,Delgado Household,delgado.r@example.com,full,paid,current
