subscription_id,household_name,household_email,share_size,amount_usd,status,renewal_confirmed_at
sub_2027_001,Barnes Family,barnes.j@example.com,full,500.00,active,2026-09-25
sub_2027_002,Kwon Household,kwon.h@example.com,large,750.00,active,2026-09-25
sub_2027_003,Whittaker Household,d.whittaker@example.com,full,500.00,active,2026-09-29
sub_2027_004,Grant Household,l.grant@example.com,full,500.00,active,2026-09-29
sub_2027_005,Anderson-Frey,af.house@example.com,biweekly,300.00,active,2026-09-30
sub_2027_006,Reyes Family,reyes.m@example.com,full,500.00,active,2026-09-30
sub_2027_007,Sanchez Family,sanchez.a@example.com,full,500.00,active,2026-10-01
sub_2027_008,Prescott-Kim,pk.house@example.com,full,500.00,active,2026-10-01
sub_2027_009,Reid Household,reid.t@example.com,full,500.00,active,2026-10-01
sub_2027_010,Vargas Family,vargas.e@example.com,full,500.00,active,2026-10-01
sub_2027_011,Ostrowski Household,ostrowski.j@example.com,full,500.00,active,2026-10-01
sub_2027_012,Bell Family,bell.d@example.com,full,500.00,active,2026-10-02
sub_2027_013,Marcum Family,marcum.b@example.com,full,500.00,active,2026-10-02
sub_2027_014,Larrabee Household,larrabee.g@example.com,full,500.00,active,2026-10-02
sub_2027_015,Turner-Ross,tr.house@example.com,full,500.00,active,2026-10-02
sub_2027_016,Ellis Household,ellis.k@example.com,full,500.00,active,2026-10-03
sub_2027_017,Walker-Yamada,wy.house@example.com,full,500.00,active,2026-10-03
sub_2027_018,Marchetti Family,marchetti.f@example.com,full,500.00,active,2026-10-03
sub_2027_019,Cortez Household,cortez.m@example.com,full,500.00,active,2026-10-03
sub_2027_020,Blaine Family,blaine.h@example.com,full,500.00,active,2026-10-03
sub_2027_021,Yang Household,yang.j@example.com,full,500.00,active,2026-10-03
sub_2027_022,Ndegwa Family,ndegwa.p@example.com,full,500.00,active,2026-10-03
sub_2027_023,Gray-Torres,gt.house@example.com,full,500.00,active,2026-10-03
sub_2027_024,Harmon Household,harmon.k@example.com,full,500.00,active,2026-10-03
sub_2027_025,Ivanov Family,ivanov.a@example.com,full,500.00,active,2026-10-03
sub_2027_026,Padilla Household,padilla.f@example.com,full,500.00,active,2026-10-03
sub_2027_027,Ostuni Household,ostuni.h@example.com,full,500.00,active,2026-10-03
sub_2027_028,Kessler Family,kessler.n@example.com,full,500.00,active,2026-10-03
STRIPE_TOTAL,28 confirmed 2027 renewals as of Oct 3,,,14050.00,active,2026-10-03
