user_id,name,email,role,time_zone,job_title
PDU_jae,Jae Chandler,jae.chandler@Finthesiss.ai,owner,America/Chicago,Owner / Master Electrician
usr_n9upowrs,g7n5 sv39oz,jane.hq4a@gmail.com,user,+14145554696,America/New_York
usr_0qqwp885,4dqb lrhxjm,bob.01hb@chandlerelectric.com,user,+14145557352,America/New_York
usr_f0eh1not,6e8c oqmkne,john.aour@gmail.com,observer,+14145556447,America/New_York
usr_hjyuxwbz,k3a2 awxex5,mike.g8oe@yahoo.com,limited_user,+14145551181,America/New_York
usr_x3950rhq,ssb3 qhqv0w,tom.cnje@gmail.com,observer,+14145555211,America/New_York
usr_nuyibd5u,lgk5 q73r6l,sarah.ffwr@gmail.com,admin,+14145551548,America/New_York
usr_1tct6xsa,gpwi zfpb0o,john.idmv@yahoo.com,limited_user,+14145556695,America/New_York
usr_ddyhcqn6,1w3p 2fwddg,bob.tf8d@gmail.com,user,+14145559638,America/New_York
usr_a115tgp5,tcrq zr9is7,sarah.2oto@yahoo.com,admin,+14145552596,America/New_York
usr_yi2hz6pt,5x98 d1cyfr,lisa.x9so@chandlerelectric.com,observer,+14145552189,America/New_York
usr_4s36qai7,dtcu dnxet9,tom.dypr@yahoo.com,user,+14145558529,America/New_York
usr_be09tb4i,0w7a 345b5e,lisa.9m85@yahoo.com,user,+14145553409,America/New_York
usr_bcfu2u4v,4vfy qy7m9m,sarah.m74x@gmail.com,observer,+14145558709,America/New_York
usr_yrigpvg0,9gzy 89s7su,tom.adl4@yahoo.com,admin,+14145553456,America/New_York
usr_b21oh2st,yulr msdepd,mike.boj5@gmail.com,observer,+14145559260,America/New_York
usr_87965tdv,0xww 7701hu,sarah.54ew@chandlerelectric.com,user,+14145552400,America/New_York
usr_dg2nlmri,g9vq eslryu,mike.31yr@chandlerelectric.com,limited_user,+14145551898,America/New_York
usr_55v0r8uq,r05s 4kt8vz,mike.s0rb@yahoo.com,limited_user,+14145553617,America/New_York
usr_mcdsyrwa,8y64 xfw249,tom.sucg@gmail.com,admin,+14145551354,America/New_York
usr_s2soazu7,1o8y zjq0p5,bob.3xe4@yahoo.com,observer,+14145558796,America/New_York
usr_lcb6az70,0lv2 6cnvha,tom.ijrb@gmail.com,user,+14145559118,America/New_York
usr_j1amn2fw,sn05 vz1vrc,mike.j1ws@gmail.com,observer,+14145555224,America/New_York
usr_dsaxqlg2,lrf3 9vfc5x,mike.qavr@gmail.com,limited_user,+14145555743,America/New_York
usr_3390ta0f,jbgo l4mnb7,tom.2i7n@yahoo.com,limited_user,+14145553140,America/New_York
usr_w9gsqy3n,088k zkkcvm,lisa.0iz4@chandlerelectric.com,observer,+14145553772,America/New_York
usr_2m7f25xa,0x1a abntju,john.86ni@gmail.com,observer,+14145551347,America/New_York
usr_m5mjzsqf,jtei yq5djd,jane.g16v@gmail.com,admin,+14145555362,America/New_York
usr_4uco61u0,tvh1 lhmy4s,sarah.uzz5@chandlerelectric.com,user,+14145559277,America/New_York
usr_6xrlgk1q,81vi yzwovn,lisa.hjln@yahoo.com,limited_user,+14145558779,America/New_York
usr_hz9bb9u4,hbmp 6bco5q,jane.ayeh@gmail.com,limited_user,+14145553540,America/New_York
usr_038zoldi,8au8 u2qkpj,bob.757q@chandlerelectric.com,admin,+14145558223,America/New_York
usr_r9cjw7u2,l7pg 5lo630,sarah.xk0p@yahoo.com,admin,+14145553691,America/New_York
usr_v1fx3tu6,c4dg 02hwvy,sarah.tlvp@gmail.com,observer,+14145552958,America/New_York
usr_oarw3k5i,rggs eyoj5z,tom.60oe@yahoo.com,limited_user,+14145554497,America/New_York
usr_cvtzdmxq,7n2j cu52oh,jane.uams@gmail.com,admin,+14145558342,America/New_York
usr_om2o11jo,e01g m1i9wk,sarah.jvol@gmail.com,admin,+14145558179,America/New_York
usr_39md4vtx,xv7b eb7aou,mike.appp@yahoo.com,limited_user,+14145554761,America/New_York
usr_4vy9bd1v,dzjc pmn287,tom.wsn9@yahoo.com,user,+14145553850,America/New_York
usr_nzslynpa,yr8q kqvwnt,bob.7c1b@chandlerelectric.com,user,+14145558310,America/New_York
usr_4iht9wu0,x60q zgqkxn,sarah.9sef@gmail.com,observer,+14145552647,America/New_York
usr_8ky3mmto,3koa vebj4d,lisa.lmt9@gmail.com,limited_user,+14145553726,America/New_York
usr_bw89xp07,3iff brutjo,lisa.amww@yahoo.com,limited_user,+14145552853,America/New_York
usr_0rhxkspk,ypeu 5daex2,bob.rf0o@gmail.com,user,+14145553920,America/New_York
usr_o4bogf23,69dm 1c4h5v,mike.nuxm@yahoo.com,user,+14145556068,America/New_York
usr_i6svn3r2,ctfe q5ragb,jane.nqr7@yahoo.com,limited_user,+14145552359,America/New_York
usr_pvhh1rlw,wwq3 ww4euu,john.vhsj@yahoo.com,observer,+14145551664,America/New_York
usr_lb0grgfb,q5mp rfjs13,lisa.1are@yahoo.com,observer,+14145555600,America/New_York
usr_4k98fpln,rhqw 7f2u4u,jane.56cx@gmail.com,observer,+14145554078,America/New_York
usr_ft1cz32g,ukaz 61jhl3,sarah.xavc@gmail.com,observer,+14145558512,America/New_York
usr_lpryt04t,o18p nyd4xc,bob.aygf@yahoo.com,admin,+14145555162,America/New_York
usr_pu9l78ps,9o3d 044gvt,mike.f90p@gmail.com,observer,+14145559443,America/New_York
usr_arektf4g,lena f4my77,tom.rrlm@yahoo.com,user,+14145555896,America/New_York
usr_7kl7dapt,nsyq jt4wuk,lisa.6k3z@chandlerelectric.com,user,+14145559464,America/New_York
usr_83o0opdc,s2yu wi2val,tom.y6f5@yahoo.com,observer,+14145556103,America/New_York
usr_3vehlplh,bhm2 shxjjy,jane.2apn@chandlerelectric.com,observer,+14145558268,America/New_York
usr_tklkfowx,4g8d kuz2qj,mike.qtt4@gmail.com,admin,+14145559758,America/New_York
usr_fxje7w3n,r4ae ozm6if,lisa.5a1q@chandlerelectric.com,admin,+14145554975,America/New_York
usr_z2w4d6zj,76kc oknyvn,tom.v5td@yahoo.com,user,+14145551560,America/New_York
