id,company_id,first_name,last_name,email,department,job_title,rate,payment_unit,flsa_status,start_date,terminated
emp-0007,gus-co-mesaverde,Jorge,Villareal,jorge.villareal@mesaverdepaving.com,Equipment Maintenance,Equipment Manager,82000.00,Year,Exempt,1998-02-10,False
emp-0014,gus-co-mesaverde,Daniel,Ruiz,daniel.ruiz@mesaverdepaving.com,Equipment Maintenance,Lead Mechanic,82000.00,Year,Exempt,2004-08-09,False
emp-0018,gus-co-mesaverde,Marcus,Chen,marcus.chen@mesaverdepaving.com,Compliance,Compliance Analyst,62000.00,Year,Non-Exempt,2019-01-14,False
emp-0022,gus-co-mesaverde,Karen,Thompson,karen.thompson@mesaverdepaving.com,IT,Records Migration Lead,82000.00,Year,Exempt,2021-05-03,False
emp-0025,gus-co-mesaverde,Luis,Nguyen,luis.nguyen@mesaverdepaving.com,Equipment Maintenance,Diesel Mechanic,62000.00,Year,Non-Exempt,2015-03-12,False
emp-0028,gus-co-mesaverde,Bethany,Patterson,bethany.patterson@mesaverdepaving.com,Fleet Operations,Fleet Coordinator,62000.00,Year,Non-Exempt,2017-09-25,False
emp-0031,gus-co-mesaverde,Miguel,Ortega,miguel.ortega@mesaverdepaving.com,Equipment Maintenance,Mechanic,62000.00,Year,Non-Exempt,2020-04-06,False
emp-0034,gus-co-mesaverde,Rosa,Delgado,rosa.delgado@mesaverdepaving.com,Human Resources,HR Business Partner,62000.00,Year,Exempt,2016-07-11,False
emp-0037,gus-co-mesaverde,Alan,Brooks,alan.brooks@mesaverdepaving.com,Finance,Controller,62000.00,Year,Exempt,2012-02-01,False
emp-0041,gus-co-mesaverde,Priya,Shah,priya.shah@mesaverdepaving.com,Deal Team,Deal Team Lead,82000.00,Year,Exempt,2022-11-15,False
emp-0043,gus-co-mesaverde,Danielle,Kwan,danielle.kwan@mesaverdepaving.com,Human Resources,Talent Acquisition,62000.00,Year,Non-Exempt,2023-03-06,False
emp-0046,gus-co-mesaverde,Frank,Coleman,frank.coleman@mesaverdepaving.com,Fleet Operations,Fleet Supervisor,82000.00,Year,Exempt,2010-06-14,False
emp-0053,gus-co-mesaverde,Yolanda,Aguilar,yolanda.aguilar@mesaverdepaving.com,Accounting,Accounts Payable,62000.00,Year,Non-Exempt,2014-01-20,False
emp-0057,gus-co-mesaverde,Bao,Nguyen,bao.nguyen@mesaverdepaving.com,IT,Systems Analyst,62000.00,Year,Non-Exempt,2019-09-02,False
emp-0059,gus-co-mesaverde,Chelsea,O'Neil,chelsea.oneil@mesaverdepaving.com,Fleet Operations,Dispatcher,62000.00,Year,Non-Exempt,2018-05-30,False
emp-0062,gus-co-mesaverde,Dominic,Reyes,dominic.reyes@mesaverdepaving.com,Equipment Maintenance,Apprentice Mechanic,62000.00,Year,Non-Exempt,2024-02-19,False
emp-0064,gus-co-mesaverde,Ellery,Vaughn,ellery.vaughn@mesaverdepaving.com,Human Resources,HR Coordinator,62000.00,Year,Non-Exempt,2022-07-08,False
emp-0100,gus-co-mesaverde,Miguel,Vega,gusto0@mesaverdepaving.com,Equipment Maintenance,Diesel Mechanic,24.0,Hour,Nonexempt,2010-01-01,2023-01-01
emp-0103,gus-co-mesaverde,Roberto,Solis,gusto1@mesaverdepaving.com,Fleet Operations,Journeyman Mechanic,24.75,Hour,Nonexempt,2011-02-02,
emp-0106,gus-co-mesaverde,Carlos,Cortez,gusto2@mesaverdepaving.com,Yard Operations,Apprentice Mechanic,25.5,Hour,Nonexempt,2012-03-03,
emp-0109,gus-co-mesaverde,Diego,Herrera,gusto3@mesaverdepaving.com,Dispatch,Field Technician,26.25,Hour,Nonexempt,2013-04-04,
emp-0112,gus-co-mesaverde,Rafael,Chavez,gusto4@mesaverdepaving.com,Safety,Yard Foreman,27.0,Hour,Nonexempt,2014-05-05,
emp-0115,gus-co-mesaverde,Luis,Ruiz,gusto5@mesaverdepaving.com,Records,Dispatcher,27.75,Hour,Nonexempt,2015-06-06,
emp-0118,gus-co-mesaverde,Jorge,Ortega,gusto6@mesaverdepaving.com,Shop Floor,Safety Coordinator,28.5,Hour,Nonexempt,2016-07-07,2023-07-07
emp-0121,gus-co-mesaverde,Manuel,Molina,gusto7@mesaverdepaving.com,Administration,Records Clerk,29.25,Hour,Nonexempt,2017-08-08,
emp-0124,gus-co-mesaverde,Anthony,Anderson,gusto8@mesaverdepaving.com,Human Resources,Shop Foreman,30.0,Hour,Nonexempt,2018-09-09,
emp-0127,gus-co-mesaverde,Bruce,Baker,gusto9@mesaverdepaving.com,Finance,Fleet Coordinator,30.75,Hour,Nonexempt,2019-10-10,
emp-0130,gus-co-mesaverde,Wayne,Hayes,gusto10@mesaverdepaving.com,Accounting,HR Coordinator,31.5,Hour,Nonexempt,2020-11-11,
emp-0133,gus-co-mesaverde,Curtis,Ford,gusto11@mesaverdepaving.com,Talent,Payroll Clerk,32.25,Hour,Nonexempt,2021-12-12,
emp-0136,gus-co-mesaverde,Duane,Rice,gusto12@mesaverdepaving.com,Compliance,Compliance Analyst,33.0,Hour,Nonexempt,2022-01-13,2023-01-13
emp-0139,gus-co-mesaverde,Randy,Cole,gusto13@mesaverdepaving.com,Equipment Maintenance,Administrative Assistant,33.75,Hour,Nonexempt,2023-02-14,
emp-0142,gus-co-mesaverde,Kenneth,Reed,gusto14@mesaverdepaving.com,Fleet Operations,Financial Controller,34.5,Hour,Nonexempt,2024-03-15,
emp-0145,gus-co-mesaverde,Larry,Wells,gusto15@mesaverdepaving.com,Yard Operations,Talent Acquisition Specialist,35.25,Hour,Nonexempt,2010-04-16,
emp-0148,gus-co-mesaverde,Terry,Stone,gusto16@mesaverdepaving.com,Dispatch,Records Manager,36.0,Hour,Nonexempt,2011-05-17,
emp-0151,gus-co-mesaverde,Gary,Owens,gusto17@mesaverdepaving.com,Safety,Diesel Mechanic,36.75,Hour,Nonexempt,2012-06-18,
