id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
gus-comp-9001,gus-ctr-0001,Retiree Consultant - Equipment Vetting,75.00,Hour,Non-Exempt,2025-12-18
gus-comp-8940,gus-ctr-0001,Retiree Consultant - Equipment Vetting (superseded),65.00,Hour,Non-Exempt,2024-03-08
gus-comp-7000,emp-0004,Diesel Mechanic,22.0,Hour,Nonexempt,2015-01-01
gus-comp-7001,emp-0007,Journeyman Mechanic,23.25,Hour,Nonexempt,2016-02-02
gus-comp-7002,emp-0010,Apprentice Mechanic,24.5,Hour,Nonexempt,2017-03-03
gus-comp-7003,emp-0013,Field Technician,25.75,Hour,Nonexempt,2018-04-04
gus-comp-7004,emp-0016,Yard Foreman,27.0,Hour,Nonexempt,2019-05-05
gus-comp-7005,emp-0019,Dispatcher,28.25,Hour,Nonexempt,2020-06-06
gus-comp-7006,emp-0022,Safety Coordinator,29.5,Hour,Nonexempt,2021-07-07
gus-comp-7007,emp-0025,Records Clerk,30.75,Hour,Nonexempt,2022-08-08
gus-comp-7008,emp-0028,Shop Foreman,32.0,Hour,Nonexempt,2023-09-09
gus-comp-7009,emp-0031,Fleet Coordinator,33.25,Hour,Nonexempt,2024-10-10
gus-comp-7010,emp-0034,HR Coordinator,27.0,Hour,Nonexempt,2015-11-11
gus-comp-7011,emp-0037,Payroll Clerk,28.25,Hour,Nonexempt,2016-12-12
gus-comp-7012,emp-0040,Compliance Analyst,29.5,Hour,Nonexempt,2017-01-13
gus-comp-7013,emp-0043,Administrative Assistant,30.75,Hour,Nonexempt,2018-02-14
gus-comp-7014,emp-0046,Financial Controller,32.0,Hour,Nonexempt,2019-03-15
gus-comp-7015,emp-0049,Talent Acquisition Specialist,33.25,Hour,Nonexempt,2020-04-16
gus-comp-7016,emp-0052,Records Manager,34.5,Hour,Nonexempt,2021-05-17
gus-comp-7017,emp-0055,Diesel Mechanic,35.75,Hour,Nonexempt,2022-06-18
gus-comp-7018,emp-0058,Journeyman Mechanic,37.0,Hour,Nonexempt,2023-07-19
gus-comp-7019,emp-0061,Apprentice Mechanic,38.25,Hour,Nonexempt,2024-08-20
gus-comp-7020,emp-0004,Field Technician,32.0,Hour,Nonexempt,2015-09-21
gus-comp-7021,emp-0007,Yard Foreman,33.25,Hour,Nonexempt,2016-10-22
gus-comp-7022,emp-0010,Dispatcher,34.5,Hour,Nonexempt,2017-11-23
gus-comp-7023,emp-0013,Safety Coordinator,35.75,Hour,Nonexempt,2018-12-24
gus-comp-7024,emp-0016,Records Clerk,37.0,Hour,Nonexempt,2019-01-25
gus-comp-7025,emp-0019,Shop Foreman,38.25,Hour,Nonexempt,2020-02-26
gus-comp-7026,emp-0022,Fleet Coordinator,39.5,Hour,Nonexempt,2021-03-27
gus-comp-7027,emp-0025,HR Coordinator,40.75,Hour,Nonexempt,2022-04-01
gus-comp-7028,emp-0028,Payroll Clerk,42.0,Hour,Nonexempt,2023-05-02
gus-comp-7029,emp-0031,Compliance Analyst,43.25,Hour,Nonexempt,2024-06-03
gus-comp-7030,emp-0034,Administrative Assistant,37.0,Hour,Nonexempt,2015-07-04
gus-comp-7031,emp-0037,Financial Controller,38.25,Hour,Nonexempt,2016-08-05
