Runner,Grade,Season PR 3K (min:sec),First Meet,Season Best,Improved,Parent Contact
Aiden R.,7,13:42,14:20,13:42,Yes,Maria Robles
Diego M.,7,12:58,13:30,12:58,Yes,
Owen K.,8,11:47,12:05,11:47,Yes,Karen Morrison
Tyler B.,6,14:55,15:40,14:55,Yes,
Marcus L.,8,11:20,11:35,11:20,Yes,
Sam P.,7,13:10,13:44,13:10,Yes,
Ethan W.,6,15:22,16:10,15:22,Yes,
Noah D.,8,12:03,12:18,12:03,Yes,
Liam C.,7,13:35,14:02,13:35,Yes,
Caleb H.,6,15:01,15:55,15:01,Yes,
Jonah T.,8,11:58,12:22,11:58,Yes,
Mason G.,7,13:48,14:30,13:48,Yes,
