Date,Description,Category,Amount,Balance
2026-11-02,"CEDAR RIDGE SCH DIST PAYROLL DIRECT DEP",Income,1447.65,4180.91
2026-11-02,"WINCO FOODS #12 EUGENE OR",Groceries,-86.55,4094.36
2026-11-03,"HULU LLC",Subscriptions,-9.99,4084.37
2026-11-03,"OCCU TRANSFER TO SAVINGS",Transfer,-250.00,3834.37
2026-11-04,"SPRINGFIELD UTILITY BOARD",Utilities,-78.20,3756.17
2026-11-05,"MARKET OF CHOICE EUGENE OR",Groceries,-42.18,3713.99
2026-11-05,"WANDERING GOAT COFFEE",Dining,-5.75,3708.24
2026-11-06,"CHEVRON 00 EUGENE OR",Gas,-38.90,3669.34
2026-11-07,"NELNET STUDENT LOAN PYMT",Loans,-295.00,3374.34
2026-11-08,"ROCKLER WOODWORKING PORTLAND",Hobby,-64.32,3310.02
2026-11-09,"AMAZON MKTPLACE",Shopping,-27.44,3282.58
2026-11-10,"WHITEAKER COMMUNITY RENT",Housing,-1100.00,2182.58
2026-11-11,"VANGUARD BUY ROTH IRA",Investing,-100.00,2082.58
2026-11-12,"CAFE YUMM EUGENE OR",Dining,-11.20,2071.38
2026-11-13,"WINCO FOODS #12 EUGENE OR",Groceries,-64.03,2007.35
2026-11-14,"DISCOVER E-PAYMENT",Credit Card,-180.00,1827.35
2026-11-15,"COSTCO WHOLESALE EUGENE OR",Groceries,-112.87,1714.48
2026-11-16,"OFFICE DEPOT #201 CLASSROOM",Classroom,-31.49,1682.99
2026-11-16,"CHEVRON 00 EUGENE OR",Gas,-36.14,1646.85
2026-11-17,"SPOTIFY USA",Subscriptions,-11.99,1634.86
2026-11-18,"CROSSCUT HARDWOODS PORTLAND",Hobby,-58.60,1576.26
2026-11-16,"CEDAR RIDGE SCH DIST PAYROLL DIRECT DEP",Income,1447.65,3023.91
2026-11-20,"MARKET OF CHOICE EUGENE OR",Groceries,-48.72,2975.19
2026-11-21,"NINKASI BREWING TAPROOM",Dining,-24.00,2951.19
2026-11-22,"REI EUGENE OR",Shopping,-89.95,2861.24
2026-11-23,"CHEVRON 00 EUGENE OR",Gas,-34.55,2826.69
2026-11-24,"WINCO FOODS #12 EUGENE OR",Groceries,-71.19,2755.50
2026-11-25,"DUTCH BROS EUGENE OR",Dining,-6.50,2749.00
2026-11-26,"USPS PO 0574 EUGENE OR",Postage,-9.40,2739.60
2026-11-27,"STAPLES CLASSROOM SUPPLIES",Classroom,-42.15,2697.45
2026-11-28,"COMCAST XFINITY INTERNET",Utilities,-79.99,2617.46
2026-11-29,"MARKET OF CHOICE EUGENE OR",Groceries,-39.62,2577.84
2026-11-30,"PAYPAL FANTASY FB PAYOUT",Income,120.00,2697.84
2026-12-01,"WHITEAKER COMMUNITY RENT",Housing,-1100.00,1597.84
2026-12-01,"OCCU TRANSFER TO SAVINGS",Transfer,-250.00,1347.84
2026-12-02,"VANGUARD BUY ROTH IRA",Investing,-100.00,1247.84
