Name	Relationship	Phone	Email	Notes
Beth Davis	Wife	(915) 555-0142	(phone only)	Owner of Beth's Bakery. Emergency contact.
Tyler Davis	Son	(915) 555-0167	(phone only)	Border Patrol agent. Text only.
Amy Davis	Daughter	(915) 555-0178	(phone only)	Engineering student, shop bookkeeper.
Dorothy Davis	Mother	(915) 555-0189	(home phone only)	Lives at home; diabetic.
Eddie Gardner	Lead mechanic	(915) 555-0195	(phone only)	Transmissions specialist.
Bobby Taylor	Mechanic	(915) 555-0201	(phone only)	Electrical and diagnostics.
Linda Monroe	Service writer	(915) 555-0213	linda.m@davisauto.com	Front desk and ticket board.
Karen	Dorothy's aide	(915) 555-0224	(phone only)	M/W/F 9 AM to 1 PM.
Southwest Equipment	Vendor	(915) 555-0268	sales@southwestequip.com	Alignment rack.
Desert Plains FCU	SBA loan contact	(915) 555-0284	sba.loans@desertplainsfcu.com	SBA microloan thread.
Pastor Tom Wilson	First Baptist Church	(915) 555-0295	pastortom@firstbaptistelpaso.org	Family pastor.
