id,number,customer_id,status,currency,total,subtotal,total_tax,payment_method,payment_method_title,billing_first_name,billing_last_name,billing_email,date_created
5001,5001,903,processing,USD,0.00,0.00,0.00,quote-request,Quote Request,Harry,Weatherton,harry.weatherton.bv@gmail.com,2026-09-22T14:00:00-05:00
5002,5002,904,processing,USD,0.00,0.00,0.00,quote-request,Quote Request,Sandy,Parker,sandy.parker.gf@gmail.com,2026-09-26T11:00:00-05:00
5003,5003,901,completed,USD,0.00,0.00,0.00,quote-request,Quote Request,Jia,Nguyen,jia.nguyen.bv@gmail.com,2026-08-29T10:00:00-05:00
5004,5004,902,completed,USD,0.00,0.00,0.00,quote-request,Quote Request,Janet,Kowalski,jkowalski.bayview@gmail.com,2026-09-07T16:40:00-05:00
104,42,processing,USD,990.98,11.85,0.00,2714.95,cod,2025-11-11T23:22:00,2025-10-27T11:30:00,,,
106,10,completed,USD,4657.53,2043.23,0.00,3736.84,paypal,2026-09-25T04:23:00,2025-01-24T22:29:00,,,
108,15,completed,USD,917.34,2195.98,0.00,2097.52,paypal,2025-05-28T04:51:00,2025-12-23T11:40:00,,,
110,50,on-hold,USD,3584.30,1628.77,0.00,1760.78,stripe,2026-03-04T11:10:00,2025-03-13T05:00:00,,,
112,19,completed,USD,4626.69,2328.25,0.00,4632.00,stripe,2026-06-26T19:14:00,2026-03-03T13:39:00,,,
114,41,on-hold,USD,3906.38,1092.75,0.00,561.78,stripe,2025-09-26T21:38:00,2025-03-03T10:04:00,,,
116,38,completed,USD,1341.60,3203.90,0.00,3335.08,stripe,2025-12-09T10:31:00,2025-03-19T15:28:00,,,
118,7,on-hold,USD,3277.43,16.98,0.00,4177.83,stripe,2026-07-21T22:35:00,2025-05-20T02:35:00,,,
120,10,on-hold,USD,143.37,4130.31,0.00,4245.82,cod,2025-09-08T02:53:00,2025-11-02T11:17:00,,,
122,16,processing,USD,3844.06,4377.04,0.00,2450.86,paypal,2025-03-24T23:45:00,2025-09-05T15:05:00,,,
124,24,completed,USD,275.41,737.88,0.00,4943.67,stripe,2025-07-29T13:40:00,2025-03-03T20:05:00,,,
126,45,processing,USD,4868.77,3962.91,0.00,4372.54,paypal,2025-09-27T16:11:00,2026-05-06T07:19:00,,,
128,47,processing,USD,2180.33,4505.88,0.00,2543.40,cod,2026-05-27T15:19:00,2025-03-20T13:19:00,,,
130,42,on-hold,USD,4696.76,235.81,0.00,3098.21,cod,2026-09-20T12:22:00,2026-05-07T12:09:00,,,
132,14,on-hold,USD,4213.38,634.94,0.00,2704.24,cod,2025-02-10T11:43:00,2025-04-12T12:11:00,,,
134,23,completed,USD,2447.24,2690.59,0.00,464.83,stripe,2025-03-03T11:43:00,2026-08-15T10:53:00,,,
136,5,on-hold,USD,2871.87,495.06,0.00,3713.48,stripe,2026-05-24T14:14:00,2025-01-29T09:44:00,,,
138,46,processing,USD,2560.11,901.43,0.00,1545.73,stripe,2026-05-25T23:37:00,2026-04-24T02:10:00,,,
140,35,completed,USD,4989.00,3572.62,0.00,740.93,stripe,2026-03-24T17:31:00,2026-09-05T08:43:00,,,
142,13,processing,USD,3773.34,4375.15,0.00,3535.13,paypal,2025-02-07T19:37:00,2026-02-20T05:41:00,,,
144,22,completed,USD,568.75,2409.98,0.00,2347.86,stripe,2026-03-14T11:48:00,2026-05-25T12:12:00,,,
146,9,processing,USD,2009.55,1775.91,0.00,987.52,cod,2026-06-16T14:47:00,2026-01-01T04:35:00,,,
148,19,processing,USD,1953.77,3490.96,0.00,3499.79,paypal,2025-05-15T07:58:00,2025-12-04T10:15:00,,,
150,24,processing,USD,4081.93,1163.51,0.00,2645.14,paypal,2026-06-13T17:50:00,2026-03-29T21:23:00,,,
152,1,completed,USD,1052.74,3708.11,0.00,4394.14,stripe,2025-01-23T13:18:00,2026-02-11T10:32:00,,,
154,35,on-hold,USD,3196.65,4420.44,0.00,1013.89,paypal,2025-10-22T00:32:00,2025-06-05T17:39:00,,,
156,18,processing,USD,1063.29,24.21,0.00,1431.51,paypal,2025-11-22T15:28:00,2025-09-26T09:20:00,,,
158,26,on-hold,USD,1555.29,4514.66,0.00,1636.90,stripe,2025-02-21T23:27:00,2025-11-07T10:33:00,,,
160,15,processing,USD,1786.31,3887.04,0.00,190.50,stripe,2025-08-29T23:30:00,2025-10-22T10:53:00,,,
162,50,on-hold,USD,3053.96,3719.93,0.00,1027.56,paypal,2026-05-28T18:16:00,2026-06-06T11:57:00,,,
164,47,processing,USD,4008.61,811.68,0.00,1792.84,cod,2025-02-06T19:17:00,2026-01-07T23:11:00,,,
166,28,completed,USD,886.03,832.88,0.00,2884.35,cod,2026-04-24T16:58:00,2026-01-01T08:00:00,,,
168,48,on-hold,USD,3430.73,3149.29,0.00,3382.46,paypal,2026-04-13T12:29:00,2025-05-04T18:11:00,,,
170,29,processing,USD,3965.47,3806.45,0.00,4975.05,paypal,2026-04-22T14:04:00,2026-07-31T10:57:00,,,
172,16,completed,USD,260.59,4666.83,0.00,4087.26,cod,2025-07-26T10:20:00,2025-01-26T13:56:00,,,
174,23,completed,USD,660.15,2692.20,0.00,2417.73,paypal,2025-09-28T22:49:00,2025-01-05T20:19:00,,,
176,27,processing,USD,3217.00,4617.42,0.00,4477.08,paypal,2026-08-31T02:49:00,2026-04-03T08:20:00,,,
178,19,processing,USD,2873.28,3853.62,0.00,4270.62,paypal,2025-03-19T00:17:00,2025-03-17T14:53:00,,,
180,3,processing,USD,2804.81,1855.89,0.00,1148.12,stripe,2026-05-31T09:20:00,2025-05-06T03:29:00,,,
182,45,processing,USD,1081.59,2217.10,0.00,2679.92,cod,2025-08-18T00:31:00,2025-03-05T01:38:00,,,
184,6,completed,USD,1463.79,2019.26,0.00,908.01,stripe,2025-08-15T08:47:00,2025-03-01T10:28:00,,,
186,13,on-hold,USD,317.31,4216.55,0.00,1599.95,paypal,2025-02-20T21:33:00,2026-07-20T06:54:00,,,
188,5,on-hold,USD,1527.16,3178.42,0.00,2193.25,paypal,2026-04-18T05:30:00,2026-04-22T08:41:00,,,
190,17,on-hold,USD,878.78,738.85,0.00,2246.12,paypal,2025-05-29T18:51:00,2026-04-13T12:10:00,,,
192,30,processing,USD,3041.53,3688.52,0.00,2933.88,stripe,2026-02-26T01:35:00,2025-05-30T19:32:00,,,
194,42,on-hold,USD,413.68,1445.06,0.00,395.26,cod,2025-09-12T22:33:00,2025-01-24T19:32:00,,,
