Service or Device	Type	Identifier	Plan	Monthly Cost USD
YouTube TV	Streaming	Account YTV-44821	Monthly	82.99
Netflix	Streaming	Account NFX-22910	Premium	22.99
Disney Plus	Streaming	Account DSP-77341	Bundle	15.99
Spotify	Streaming	Account SPT-10044	Premium	11.99
WHOOP	Wearable membership	Serial WX4-AAA-2231	Annual billed monthly	30.0
Google Workspace	Productivity	brian.hall@Greenridertech.com	Business Starter	7.2
iCloud Plus	Cloud storage	Apple ID brian.hall	200 GB	2.99
iPhone 15 Pro Max	Device	IMEI 356789104452231	Owned	0.0
MacBook Pro	Device	Serial C02XL0AABCDE	Owned	0.0
iPad	Device	Serial DMPXL1122ABC	Owned	0.0
Concept2 rower	Device	Serial 4321ROW889	Owned	0.0
Total	Active subscriptions	7 services	Monthly	174.15
