id,dealname,pipeline,dealstage,amount,closedate,dealtype,associated_company,associated_contact,createdate,lastmodifieddate
4000,Thompson Deal,default,qualifiedtobuy,5000,2025-11-12T12:00:00Z,newbusiness,2000,2000,2025-08-14T12:00:00Z,2025-10-13T12:00:00Z
4001,Delacroix Deal,default,closedwon,6000,2025-11-13T12:00:00Z,newbusiness,2001,2001,2025-08-15T12:00:00Z,2025-10-13T12:06:40Z
4002,Boudreaux Deal,default,closedlost,7000,2025-11-14T12:00:00Z,newbusiness,2002,2002,2025-08-16T12:00:00Z,2025-10-13T12:13:20Z
4003,Arceneaux Deal,default,qualifiedtobuy,8000,2025-11-15T12:00:00Z,newbusiness,2003,2003,2025-08-17T12:00:00Z,2025-10-13T12:20:00Z
4004,Fontaine Deal,default,closedwon,9000,2025-11-16T12:00:00Z,newbusiness,2004,2004,2025-08-18T12:00:00Z,2025-10-13T12:26:40Z
4005,Guidry Deal,default,closedlost,10000,2025-11-17T12:00:00Z,newbusiness,2005,2005,2025-08-19T12:00:00Z,2025-10-13T12:33:20Z
4006,Hebert Deal,default,qualifiedtobuy,11000,2025-11-18T12:00:00Z,newbusiness,2006,2006,2025-08-20T12:00:00Z,2025-10-13T12:40:00Z
4007,Landry Deal,default,closedwon,12000,2025-11-19T12:00:00Z,newbusiness,2007,2007,2025-08-21T12:00:00Z,2025-10-13T12:46:40Z
4008,Maddox Deal,default,closedlost,13000,2025-11-20T12:00:00Z,newbusiness,2008,2008,2025-08-22T12:00:00Z,2025-10-13T12:53:20Z
4009,Naquin Deal,default,qualifiedtobuy,14000,2025-11-21T12:00:00Z,newbusiness,2009,2009,2025-08-23T12:00:00Z,2025-10-13T13:00:00Z
4010,Ortega Deal,default,closedwon,15000,2025-11-22T12:00:00Z,newbusiness,2010,2010,2025-08-24T12:00:00Z,2025-10-13T13:06:40Z
4011,Prejean Deal,default,closedlost,16000,2025-11-23T12:00:00Z,newbusiness,2011,2011,2025-08-25T12:00:00Z,2025-10-13T13:13:20Z
4012,Robicheaux Deal,default,qualifiedtobuy,17000,2025-11-24T12:00:00Z,newbusiness,2012,2012,2025-08-26T12:00:00Z,2025-10-13T13:20:00Z
4013,Savoy Deal,default,closedwon,18000,2025-11-25T12:00:00Z,newbusiness,2013,2013,2025-08-27T12:00:00Z,2025-10-13T13:26:40Z
4014,Trahan Deal,default,closedlost,19000,2025-11-26T12:00:00Z,newbusiness,2014,2014,2025-08-28T12:00:00Z,2025-10-13T13:33:20Z
4015,Vidrine Deal,default,qualifiedtobuy,20000,2025-11-27T12:00:00Z,newbusiness,2015,2015,2025-08-29T12:00:00Z,2025-10-13T13:40:00Z
4016,Whitfield Deal,default,closedwon,21000,2025-11-28T12:00:00Z,newbusiness,2016,2016,2025-08-30T12:00:00Z,2025-10-13T13:46:40Z
4017,Aucoin Deal,default,closedlost,22000,2025-11-29T12:00:00Z,newbusiness,2017,2017,2025-08-31T12:00:00Z,2025-10-13T13:53:20Z
4018,Babineaux Deal,default,qualifiedtobuy,23000,2025-11-30T12:00:00Z,newbusiness,2018,2018,2025-09-01T12:00:00Z,2025-10-13T14:00:00Z
4019,Comeaux Deal,default,closedwon,24000,2025-12-01T12:00:00Z,newbusiness,2019,2019,2025-09-02T12:00:00Z,2025-10-13T14:06:40Z
