id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-001,amanda.martinez@Finthesiss.ai,Lift at Piedmont Iron Gym,Recurring: Monday lift,"Piedmont Iron Gym, Greensboro NC",2026-03-23T06:00:00-04:00,2026-03-23T07:30:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-002,amanda.martinez@Finthesiss.ai,Lift at Piedmont Iron Gym,Recurring: Tuesday lift,"Piedmont Iron Gym, Greensboro NC",2026-03-24T06:00:00-04:00,2026-03-24T07:30:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-003,amanda.martinez@Finthesiss.ai,Boxing,Recurring: Wednesday boxing,"Piedmont Iron Gym, Greensboro NC",2026-03-25T06:00:00-04:00,2026-03-25T07:00:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-004,amanda.martinez@Finthesiss.ai,Call Ada,Recurring: Wednesday catch-up call with Ada,Phone call,2026-03-25T19:00:00-04:00,2026-03-25T19:45:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-005,amanda.martinez@Finthesiss.ai,Lift at Piedmont Iron Gym,Recurring: Thursday lift,"Piedmont Iron Gym, Greensboro NC",2026-03-26T06:00:00-04:00,2026-03-26T07:30:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-006,amanda.martinez@Finthesiss.ai,Lift at Piedmont Iron Gym,Recurring: Friday lift,"Piedmont Iron Gym, Greensboro NC",2026-03-27T06:00:00-04:00,2026-03-27T07:30:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-007,amanda.martinez@Finthesiss.ai,Weekly review,"Client deliverable status, music progress, next-week planning",Home studio,2026-03-27T18:00:00-04:00,2026-03-27T19:00:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-008,amanda.martinez@Finthesiss.ai,Boxing,Recurring: Saturday boxing,"Piedmont Iron Gym, Greensboro NC",2026-03-28T06:00:00-04:00,2026-03-28T07:00:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-009,amanda.martinez@Finthesiss.ai,Sunday call with parents,Weekly call to Emeka and Ngozi in Houston,Phone call,2026-03-29T16:00:00-04:00,2026-03-29T16:45:00-04:00,false,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
evt-010,amanda.martinez@Finthesiss.ai,Q3 estimated tax payment due (IRS + NC),Confirm transfer the prior Friday,Online (EFTPS / NCDOR),2026-10-05,2026-10-05,true,confirmed,amanda.martinez@Finthesiss.ai,amanda.martinez@Finthesiss.ai,,default
