Category	Payee	Amount_USD	Cadence	Method	Account	Notes
Mortgage	Golden State Credit Union	2250	Monthly	AutoPay	GSCU ****4471	30 yr fixed 4.2 percent, Land Park
Studio lease	Broadway Arts Building LLC	1400	Monthly	Check	GSCU ****4471	1615 Broadway, term through Dec 2027
Studio insurance	Heritage Business Insurance	180	Monthly	AutoPay	GSCU ****4471	general liability, renews Dec 1
Auto loan	Honda Financial Services	380	Monthly	AutoPay	GSCU ****4471	2021 CR-V
Electric	SMUD	165	Monthly	AutoPay	SMUD ****5571	budget billing average
Prescriptions	Pucci's Pharmacy	180	Monthly	Card	GSCU ****4471	metformin and Jardiance
Medical copays	Valley Oak Medical Group	350	Monthly	Card	GSCU ****4471	internal medicine follow ups
Groceries	Taylor's Market and Instacart	800	Monthly	Card	GSCU ****4471	family of five
Dining out	Various	300	Monthly	Card	GSCU ****4471	Taqueria Sol, Riverside Kitchen
Cycling	City Bicycle Works	150	Monthly	Card	GSCU ****4471	gear and maintenance
Student loan	DPT Loan Servicing	290	Monthly	AutoPay	GSCU ****4471	18,500 remaining
Club soccer	Capital Futbol Club	200	Monthly	Card	GSCU ****4471	2,400 per year
Art classes	Land Park Art Studio	50	Monthly	Card	GSCU ****4471	600 per year
Accounting	Linda Vasquez CPA	650	Annual	Check	GSCU ****4471	household and studio taxes
