guest_id,full_name,relationship,prior_attendance_count,last_attended_year,wine_or_na,dietary_flag,email,phone
SG-01,James Whitfield,Bayside Colleague,8,2025,Red,None,jwhitfield@baysideuniversity.edu,(510) 555-0194
SG-02,Susan Bright,Bayside Colleague,7,2025,Both,Vegetarian,sbright@baysideuniversity.edu,(510) 555-0301
SG-03,Priya Mehta,Reading Group,6,2025,White,None,priya.mehta@baysideuniversity.edu,(510) 555-0312
SG-04,Thomas Ashworth,Nathan Colleague,5,2025,Red,Nut Allergy,t.ashworth@baysideuniversity.edu,(510) 555-0323
SG-05,Helena Vetter,Bayside Colleague,5,2024,Non-alcoholic,Gluten-Free,hvetter@baysideuniversity.edu,(510) 555-0334
SG-06,Marcus Ravenna,Chess Circle,4,2025,Red,None,mravenna@example.email,(510) 555-0345
SG-07,Ingrid Halvorsen,Nathan Colleague,4,2024,White,None,ihalvorsen@baysideuniversity.edu,(510) 555-0356
SG-08,Peter Yau,Reading Group,4,2025,Red,Dairy-Free,pyau@example.email,(510) 555-0367
SG-09,Lucia Fernandez,Neighbour,5,2025,White,Vegetarian,lucia.fernandez@example.email,(510) 555-0534
SG-10,Sarah Beaumont,Neighbour,3,2024,Both,None,sarah.beaumont@example.email,(510) 555-0378
SG-11,David Klein,Reading Group,3,2025,White,None,dklein@baysideuniversity.edu,(510) 555-0389
SG-12,Angela Curran,Bayside Colleague,3,2024,Non-alcoholic,None,acurran@baysideuniversity.edu,(510) 555-0390
SG-13,Ravi Krishnan,Chess Circle,3,2025,Red,Vegetarian,rkrishnan@example.email,(510) 555-0401
SG-14,Robert Mackenzie,Nathan Colleague,2,2024,Red,Nut Allergy,rmackenzie@baysideuniversity.edu,(510) 555-0412
SG-15,Emily Tanaka,Reading Group,2,2023,Both,None,etanaka@example.email,(510) 555-0423
SG-16,Chandra Sen,Bayside Colleague,2,2023,Red,None,csen@baysideuniversity.edu,(510) 555-0434
SG-17,Adele Marceau,Family Friend,2,2024,White,None,adele.marceau@example.email,(415) 555-0445
SG-18,Nikolai Petrov,Chess Circle,1,2024,Red,None,npetrov@example.email,(510) 555-0456
SG-19,Mary OSullivan,Neighbour,1,2023,White,Gluten-Free,mary.osullivan@example.email,(510) 555-0467
SG-20,Julian Wexler,Reading Group,1,2022,Red,None,jwexler@example.email,(510) 555-0478
SG-21,Vera Kowalski,Bayside Colleague,1,2022,Both,Dairy-Free,vkowalski@baysideuniversity.edu,(510) 555-0489
SG-22,Ben Northcutt,Family Friend,1,2024,Non-alcoholic,None,bnorthcutt@example.email,(415) 555-0490
SG-23,Anna Kaminska,Chess Circle,0,,Red,None,akaminska@example.email,(510) 555-0501
SG-24,Rebecca Fuentes,Nathan Colleague,0,,White,None,rfuentes@baysideuniversity.edu,(510) 555-0512
SG-25,Theodore Lynch,Reading Group,0,,Red,None,tlynch@example.email,(510) 555-0523
