txn_id,posted_date,account,merchant_or_source,category,memo,amount_usd,direction
HT-2026-0001,2026-01-02,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0002,2026-01-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0003,2026-01-06,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,45.00,OUT
HT-2026-0004,2026-01-08,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,437.20,OUT
HT-2026-0005,2026-01-11,Credit Union Checking,Chevron,Gas,fill Honda Accord,175.00,OUT
HT-2026-0006,2026-01-12,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0007,2026-01-15,Credit Union Checking,CVS Pharmacy,Health,lisinopril and vitamin D refill,380.00,OUT
HT-2026-0008,2026-01-15,Credit Union Checking,Old Elm Chess Books London,Chess Acquisition,Nunn Chess Openings hardback,140.00,OUT
HT-2026-0009,2026-01-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,260.00,OUT
HT-2026-0010,2026-01-16,Credit Union Checking,Chez Panisse,Dining,anniversary dinner reservation,168.50,OUT
HT-2026-0011,2026-01-18,Credit Union Checking,Berkeley Rep Theater,Entertainment,two seats winter production,220.00,OUT
HT-2026-0012,2026-01-20,Credit Union Checking,Berkeley Chess Foundation,Donations,quarterly donation Q1,200.00,OUT
HT-2026-0013,2026-01-21,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-01 storefront settlement,61.75,IN
HT-2026-0014,2026-01-22,Credit Union Checking,Monterey Market,Groceries,weekly grocery run,452.60,OUT
HT-2026-0015,2026-01-24,Credit Union Checking,Amazon,Gifts,Lily art supplies and Ethan grocery gift card,240.00,OUT
HT-2026-0016,2026-01-25,Credit Union Checking,Amazon Academic,Nathan Professional,Nathan academic reference volume,150.00,OUT
HT-2026-0017,2026-01-28,Credit Union Checking,Kavkasky Chess Antiquarian Tbilisi,Chess Acquisition,Botvinnik variation study booklet,200.00,OUT
HT-2026-0018,2026-01-29,Credit Union Checking,Comal,Dining,dinner Whitfield lunch,95.20,OUT
HT-2026-0019,2026-01-30,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-13 marketplace settlement,102.75,IN
HT-2026-0020,2026-01-30,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net January,5570.00,IN
HT-2026-0021,2026-01-31,Credit Union Checking,Internal Transfer,Transfer,to money market monthly sweep,5000.00,OUT
HT-2026-0022,2026-02-02,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0023,2026-02-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0024,2026-02-06,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,52.00,OUT
HT-2026-0025,2026-02-10,Credit Union Checking,Whole Foods,Groceries,weekly grocery run,428.15,OUT
HT-2026-0026,2026-02-11,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-02 storefront settlement,49.80,IN
HT-2026-0027,2026-02-11,Credit Union Checking,Amazon Marketplace,Chess Acquisition,Silman Complete Endgame Course,110.00,OUT
HT-2026-0028,2026-02-12,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0029,2026-02-13,Credit Union Checking,Chevron,Gas,fill Honda Accord,180.00,OUT
HT-2026-0030,2026-02-14,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 01 January piece,300.00,IN
HT-2026-0031,2026-02-14,Credit Union Checking,Rivoli,Dining,valentine dinner reservation,128.75,OUT
HT-2026-0032,2026-02-15,Credit Union Checking,Powells Books,Gifts,Ethan February 18 birthday hardcover,320.00,OUT
HT-2026-0033,2026-02-16,Credit Union Checking,KPFA Public Radio,Donations,sustainer monthly,150.00,OUT
HT-2026-0034,2026-02-16,Credit Union Checking,PG and E,Utilities,gas and electric monthly,280.00,OUT
HT-2026-0035,2026-02-18,Credit Union Checking,Vitamins dot com,Health,fish oil and glucosamine supplements,375.00,OUT
HT-2026-0036,2026-02-18,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-14 marketplace settlement,43.00,IN
HT-2026-0037,2026-02-20,Credit Union Checking,Ticketmaster,Entertainment,SF Symphony Rachmaninoff program,285.00,OUT
HT-2026-0038,2026-02-21,Credit Union Checking,Wood Tavern,Dining,saturday out with Nathan,142.30,OUT
HT-2026-0039,2026-02-24,Credit Union Checking,MLA Membership,Nathan Professional,Nathan MLA annual renewal,145.00,OUT
HT-2026-0040,2026-02-24,Credit Union Checking,Andronicos,Groceries,weekly grocery run,461.95,OUT
HT-2026-0041,2026-02-26,Credit Union Checking,Manhattan Chess Rare Books,Chess Acquisition,signed Karpov analytical booklet,200.00,OUT
HT-2026-0042,2026-02-27,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-03 storefront settlement,73.70,IN
HT-2026-0043,2026-02-27,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net February,4820.00,IN
HT-2026-0044,2026-03-02,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0045,2026-03-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0046,2026-03-08,Credit Union Checking,Old Elm Chess Books London,Chess Acquisition,Kotov Think Like a Grandmaster reprint,80.00,OUT
HT-2026-0047,2026-03-08,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-15 marketplace settlement,81.50,IN
HT-2026-0048,2026-03-08,Credit Union Checking,Great China,Dining,takeout order,88.60,OUT
HT-2026-0049,2026-03-11,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,443.80,OUT
HT-2026-0050,2026-03-12,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,142.00,OUT
HT-2026-0051,2026-03-13,Credit Union Checking,Chevron,Gas,fill Honda Accord,185.00,OUT
HT-2026-0052,2026-03-14,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-04 storefront settlement,81.00,IN
HT-2026-0053,2026-03-14,Credit Union Checking,Netflix,Entertainment,streaming quarter renewal,45.00,OUT
HT-2026-0054,2026-03-14,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 02 February piece,300.00,IN
HT-2026-0055,2026-03-15,Credit Union Checking,Berkeley Food Pantry,Donations,monthly recurring,250.00,OUT
HT-2026-0056,2026-03-16,Credit Union Checking,PG and E,Utilities,gas and electric monthly,320.00,OUT
HT-2026-0057,2026-03-16,Credit Union Checking,CVS Pharmacy,Health,monthly refill,385.00,OUT
HT-2026-0058,2026-03-18,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,48.25,OUT
HT-2026-0059,2026-03-19,Credit Union Checking,Amazon,Gifts,Lily spring basket and books,285.00,OUT
HT-2026-0060,2026-03-21,Credit Union Checking,Ticketmaster,Entertainment,Berkeley Rep spring program,195.00,OUT
HT-2026-0061,2026-03-22,Credit Union Checking,Kavkasky Chess Antiquarian Tbilisi,Chess Acquisition,Petrosian Russian first,340.00,OUT
HT-2026-0062,2026-03-24,Credit Union Checking,Powells Books,Nathan Professional,Nathan poetry critique volumes,160.00,OUT
HT-2026-0063,2026-03-25,Credit Union Checking,Monterey Market,Groceries,weekly grocery run,455.25,OUT
HT-2026-0064,2026-03-27,Credit Union Checking,Homestead,Dining,dinner Whitfield lunch,112.40,OUT
HT-2026-0065,2026-03-30,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net March,5290.00,IN
HT-2026-0066,2026-03-31,Credit Union Checking,Internal Transfer,Transfer,quarterly sweep to money market,5000.00,OUT
HT-2026-0067,2026-04-01,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0068,2026-04-02,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-16 marketplace settlement,138.00,IN
HT-2026-0069,2026-04-04,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,52.30,OUT
HT-2026-0070,2026-04-06,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0071,2026-04-09,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-05 storefront settlement,66.40,IN
HT-2026-0072,2026-04-09,Credit Union Checking,Wiener Schachhaus Vienna,Chess Acquisition,opening theory manual,120.00,OUT
HT-2026-0073,2026-04-11,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,438.65,OUT
HT-2026-0074,2026-04-13,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0075,2026-04-14,Credit Union Checking,Chevron,Gas,fill Honda Accord,178.00,OUT
HT-2026-0076,2026-04-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,340.00,OUT
HT-2026-0077,2026-04-15,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 03 March piece plus reprint,345.00,IN
HT-2026-0078,2026-04-16,Credit Union Checking,Tacubaya,Dining,tacos out,72.15,OUT
HT-2026-0079,2026-04-17,Credit Union Checking,SF Symphony Direct,Entertainment,Chopin recital pair,245.00,OUT
HT-2026-0080,2026-04-17,Credit Union Checking,Berkeley Internal Medicine,Health,specialist visit copay,378.00,OUT
HT-2026-0081,2026-04-20,Credit Union Checking,Berkeley Chess Foundation,Donations,quarterly donation Q2,200.00,OUT
HT-2026-0082,2026-04-22,Credit Union Checking,Melissa and Doug,Gifts,Lily monthly package,275.00,OUT
HT-2026-0083,2026-04-24,Credit Union Checking,Whole Foods,Groceries,weekly grocery run,459.10,OUT
HT-2026-0084,2026-04-25,Credit Union Checking,Manhattan Chess Rare Books,Chess Acquisition,Anand signed hardcover,230.00,OUT
HT-2026-0085,2026-04-25,Credit Union Checking,Amazon Academic,Nathan Professional,Nathan Cambridge companion,140.00,OUT
HT-2026-0086,2026-04-25,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-06 storefront settlement,35.85,IN
HT-2026-0087,2026-04-29,Credit Union Checking,Maison Terre,Dining,celebration dinner,215.80,OUT
HT-2026-0088,2026-04-30,Credit Union Checking,Stripe Payouts,Coaching Income,monthly aggregate net April,5720.00,IN
HT-2026-0089,2026-05-01,Credit Union Checking,Bay Coast Home Loans,Mortgage,monthly principal and interest,2800.00,OUT
HT-2026-0090,2026-05-05,Credit Union Checking,Alameda County Escrow,Property Tax,monthly escrow,850.00,OUT
HT-2026-0091,2026-05-05,Credit Union Checking,Amazon Seller Payouts,Book Sale Income,book sale BS-2026-17 marketplace settlement,57.30,IN
HT-2026-0092,2026-05-06,Credit Union Checking,Old Elm Chess Books London,Chess Acquisition,Dvoretsky Endgame Manual,180.00,OUT
HT-2026-0093,2026-05-08,Credit Union Checking,Comal,Dining,dinner out,98.60,OUT
HT-2026-0094,2026-05-09,Credit Union Checking,Berkeley Bowl,Groceries,weekly grocery run,449.85,OUT
HT-2026-0095,2026-05-12,Credit Union Checking,Sonic Communications,Phone Internet,monthly Sonic fiber and mobile bundle,140.00,OUT
HT-2026-0096,2026-05-14,Credit Union Checking,FTD Flowers,Gifts,flowers to Nathan mother in Seattle,340.00,OUT
HT-2026-0097,2026-05-14,Credit Union Checking,Chevron,Gas,fill Honda Accord,182.00,OUT
HT-2026-0098,2026-05-15,Credit Union Checking,PG and E,Utilities,gas and electric monthly,355.00,OUT
HT-2026-0099,2026-05-15,Credit Union Checking,KPFA Public Radio,Donations,sustainer monthly,150.00,OUT
HT-2026-0100,2026-05-15,Credit Union Checking,Grandmaster Review Publishing,Column Royalty,column royalty CR 2026 04 April piece,300.00,IN
HT-2026-0101,2026-05-16,Credit Union Checking,BigCommerce Payouts,Book Sale Income,book sale BS-2026-07 storefront settlement,47.94,IN
HT-2026-0102,2026-05-16,Credit Union Checking,Cheese Board Pizza,Dining,slice pickup,55.40,OUT
HT-2026-0103,2026-05-18,Credit Union Checking,CVS Pharmacy,Health,monthly refill,382.00,OUT
