contact_id,full_name,relationship,phone,email,mailing_address,last_verified_date,notes
FC-01,Nathan Lawson,Husband,(510) 555-0132,nathan.lawson@baysideuniversity.edu,Home shared with Dawn,2026-01-15,Bayside English dept campus mailing available if a parcel cannot come to the house
FC-02,Ethan Lawson,Son,(718) 555-0148,ethan.lawson.nyc@gmail.com,"142 Prospect Heights Ave, Apt 3B, Brooklyn NY 11238",2026-08-04,Same address for both Ethan and Lily. Data scientist in fintech.
FC-03,Lily Lawson,Granddaughter,,,c/o Ethan Lawson Brooklyn NY 11238,2026-08-04,Age 4. Birthday July 18 2021. Gentle and playful only.
FC-04,Daniel Lawson,Brother,(503) 555-0163,daniel.lawson.pdx@gmail.com,"P.O. Box 4472, Portland OR 97201",2023-06-12,Retired math teacher. Monthly letters and emails. Chess book gift traditional for December 12 birthday.
FC-05,Dr Robert Yamamoto,Primary Care Physician,(510) 555-0218,yamamoto@berkeleyinternalmed.example,"Berkeley Internal Medicine, 2140 Bancroft Way, Berkeley CA 94704",2026-01-15,Annual physical January. Named PCP and DPOA reference.
FC-06,Linda Nakamura,CPA,(510) 555-0207,linda@pacifictaxgroup.com,"Pacific Tax Group, 1955 Solano Ave, Berkeley CA 94707",2026-09-28,Joint household filing. Full financial visibility during tax cycles only.
FC-07,James Whitfield,Colleague and Friend,(510) 555-0194,jwhitfield@baysideuniversity.edu,"Bayside University Mathematics Dept, Bayside CA",2026-09-15,Weekly coffee. Salon Evening regular. Nathan is fond as well.
FC-08,Dr Samuel Chen,Bayside CS Dept Sponsor,(510) 555-0169,schen@baysideuniversity.edu,"Bayside University Computer Science Dept, Bayside CA",2026-09-12,Sponsors Morrison Hall Room 206 booking and CS-adjacent Festival funding conversations.
FC-09,Marcus Thompson,Bayside Chess Club President,(510) 555-0182,marcus.thompson@student.baysideuniversity.edu,"Bayside University Student Union, Bayside CA",2026-09-10,Undergraduate. Runs intercollegiate scheduling and the Festival volunteer intake.
FC-10,Carol Whitman,Grandmaster Review Editor,(212) 555-0258,cwhitman@grandmasterreview.org,"Grandmaster Review, 240 W 35th St Suite 705, New York NY 10001",2026-09-30,Monthly column deadline sits on the 16th. First-pass edits within 48 hours of receipt.
FC-11,Dr Patricia Leung,Dentist,(510) 555-0226,pleung@shattuckdental.example,"1988 Shattuck Ave, Berkeley CA 94704",2025-04-20,Cleaning overdue. Book both Dawn and Nathan in the same window.
FC-12,Luis Reyes,Handyman,(510) 555-0234,,Berkeley CA,2026-07-18,Driveway resurfacing quote outstanding at 3200 dollars. Cash payment preferred.
FC-13,Tony Morales,Eastshore Library Events,(510) 555-0243,tmorales@eastshorelibrary.org,"Eastshore Community Library, 5200 Berkeley Ave, Emeryville CA 94608",2026-09-02,November 7 simul lead contact. Confirms table setup and thirty-board configuration.
FC-14,Margaret Chen,Berkeley Community Center,(510) 555-0267,mchen@berkeleycc.org,"Berkeley Community Center, 1901 Hearst Ave, Berkeley CA 94709",2026-06-14,Chess Foundation quarterly meeting host and Salon Evening overflow venue backup.
FC-15,Ellen Lawson,Sister-in-Law Nathan Side,(206) 555-0289,ellen.lawson.seattle@gmail.com,"3455 Queen Anne Ave N, Seattle WA 98109",2025-12-22,Occasional card exchange. Not on the Salon Evening circuit.
