lesson_id,lesson_date,student_first_name,session_type,hours,rate_usd,subtotal_usd,payment_channel,status,notes
LES-0001,2026-01-05,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0002,2026-01-05,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0003,2026-01-07,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0004,2026-01-08,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting Morrison Hall
LES-0005,2026-01-09,Owen,Private,2.0,120.00,240.00,Stripe,Paid,standard afternoon block
LES-0006,2026-01-09,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard afternoon block
LES-0007,2026-01-10,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0008,2026-01-12,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0009,2026-01-12,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0010,2026-01-14,Miriam,Private,1.0,120.00,120.00,PayPal,Cancelled No Charge,family emergency morning of
LES-0011,2026-01-14,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0012,2026-01-14,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0013,2026-01-15,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0014,2026-01-16,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
LES-0015,2026-01-17,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0016,2026-01-19,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0017,2026-01-19,Aiden,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0018,2026-01-21,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,reduced week
LES-0019,2026-01-22,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0020,2026-01-23,Kavya,Private,2.0,120.00,240.00,Square,Paid,reduced week
LES-0021,2026-01-24,Elena,Elena Endgame,2.0,120.00,240.00,Stripe,Paid,weekly endgame block
LES-0022,2026-01-26,Ryan,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0023,2026-01-26,Miriam,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0024,2026-01-28,Jason,Private,1.0,120.00,120.00,PayPal,Paid,shorter slot
LES-0025,2026-01-28,Sofia,Private,2.0,120.00,240.00,Stripe,Paid,standard block
LES-0026,2026-01-29,Bayside,Bayside,2.0,80.00,160.00,Cash,Paid,club meeting
LES-0027,2026-01-30,Kavya,Private,2.0,120.00,240.00,Square,Paid,standard block
