id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
blk_r21_p1,pg_r21_planning,,paragraph,"Planning page for R21 co-investigator list. Draft from January 2026. Still needs Bagamoyo PI confirmation with Sarah before submission.",1,2026-01-08T10:05:00.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p2,pg_r21_planning,,heading_2,Draft co-I list (missing Bagamoyo pending confirm),2,2026-01-08T10:06:00.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p3,pg_r21_planning,,bulleted_list_item,"Sarah Kelley - UColorado - co-PI",3,2026-01-08T10:07:00.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p4,pg_r21_planning,,bulleted_list_item,"Kevin Osborne - Glenwood - co-PI",4,2026-01-08T10:07:30.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p5,pg_r21_planning,,bulleted_list_item,"Kintampo Site PI",5,2026-01-08T10:08:00.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p6,pg_r21_planning,,bulleted_list_item,"Kilifi Field Coordinator",6,2026-01-08T10:08:30.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p7,pg_r21_planning,,bulleted_list_item,"Manhica Site PI",7,2026-01-08T10:09:00.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p8,pg_r21_planning,,bulleted_list_item,"Nanoro Site PI",8,2026-01-08T10:09:30.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_p9,pg_r21_planning,,paragraph,"TODO - confirm Bagamoyo PI participation with Sarah before submission. Not currently on this list.",9,2026-01-08T10:10:00.000Z,2026-01-14T15:00:00.000Z,false,
blk_r21_s1,pg_r21_submitted,,paragraph,"R21 application submitted to NIAID February 15 2026. Full co-I list included Bagamoyo. This page reflects the submitted document of record.",1,2026-02-15T09:05:00.000Z,2026-02-15T09:05:00.000Z,false,
blk_r21_s2,pg_r21_submitted,,heading_2,Co-investigators (submitted cover letter),2,2026-02-15T09:06:00.000Z,2026-02-15T09:06:00.000Z,false,
