policy_type,provider,policy_number,monthly_premium,coverage_details,renewal_date,payer,notes
Health,Lakeview Medical Plan,LMC-88421,180.00,"PPO, $1500 deductible, $30 primary copay, $50 specialist copay",2027-01-01,Courtney (Employee),Employer contributes remainder; kids on plan
Dental,Delta Dental PPO,DD-30017,42.00,"$50 deductible, 2 cleanings/yr covered, 80/50 major",2027-01-01,Courtney (Employee),Whole family covered; ortho rider not elected
Vision,VSP Choice,VSP-77241,14.50,"Annual exam $10 copay, $150 frame allowance",2027-01-01,Courtney (Employee),Maisie needs new frames this cycle
Auto,State Farm,SF-77319,110.00,"Full coverage, $500 deductible, 100/300 liability",2027-03-15,Courtney,2018 Honda Odyssey - primary vehicle
Renters,Allstate,AS-55208,20.00,"$30K personal property, $100K liability",2027-06-01,Courtney,Apartment on Wilmington Pike
Life (Group),MetLife,MET-GL-4402,8.75,"$50K basic term, employer-paid up to 1x salary",2027-01-01,Employer,Beneficiary: kids in trust (updated 2026-03)
Life (Supplemental),MetLife,MET-SL-4402,22.40,"Additional $200K term, 20-year level",2027-01-01,Courtney,Post-divorce update - names sister Kelly as trustee
Long-Term Disability,Unum,UN-LTD-99181,0.00,"60% income after 90-day elimination, employer-paid",2027-01-01,Employer,No employee cost - core benefit
Short-Term Disability,Unum,UN-STD-99181,12.30,"60% income up to 12 wks, 7-day elimination",2027-01-01,Courtney,Elected during open enrollment
FSA (Healthcare),HealthEquity,HE-FSA-72930,0.00,"$2500 annual election, $200 debit card active",2026-12-31,Courtney,Use-it-or-lose-it deadline Dec 31
FSA (Dependent Care),HealthEquity,HE-DCFSA-72930,0.00,"$5000 annual election, childcare reimbursement",2026-12-31,Courtney,Linda payments qualify
Kids Dental Rider,Delta Dental,DD-30017-K,0.00,"Included in family dental - orthodontia not elected",2027-01-01,Courtney,Reassess ortho at 2027 open enrollment
Umbrella,State Farm,SF-UMB-30014,18.00,"$1M excess over auto + renters",2027-03-15,Courtney,Added after divorce settlement
Pet Insurance,Trupanion,TRU-88201,32.50,"90% reimbursement, $200 deductible - Milo (dog)",2027-05-20,Courtney,Kids' Labrador; hip screening covered
Roadside Assistance,AAA Plus,AAA-4472819,7.42,"3 free tows/yr up to 100 miles, family membership",2027-02-10,Courtney,Monthly billed at 89/yr annual
