Name	Relation	Phone	Email	City
Charles McKay	Self	(307) 555-1001	charles.mckay@Greenridertech.co	Cody
Robert McKay	Son	(307) 555-1012	robert.mckay.wy@gmail.com	Sheridan
Sarah McKay-Henderson	Daughter	(307) 555-1023	sarah.henderson.csp@gmail.com	Casper
James McKay	Son	(307) 555-1034	james.mckay.fire@gmail.com	Jackson
Katie McKay	Daughter in law	(307) 555-1101	katie.mckay.sh@gmail.com	Sheridan
David Henderson	Son in law	(307) 555-1112		Casper
Roy Patterson	Neighbor and lessee	(307) 555-1045		Cody
Gary Morrison	Superintendent	(307) 555-1056	gary.morrison.bighorn@gmail.com	Cody
Barbara Caldwell	Board chair	(307) 555-1067	barbara.caldwell.board@gmail.com	Cody
Maria Blackhorse	Board member	(307) 555-1078	maria.blackhorse@gmail.com	Fort Washakie
Walt Thorsen	Former ranch hand	(307) 555-1089		Cody
Thomas Crawford	Pastor	(307) 555-1090		Cody
Michael Ashford	Primary care	(307) 555-1123		Cody
Linda Prescott	Dentist	(307) 555-1134		Cody
