subscriber_id,email,name,member_id,tag_list,last_open_date,status
sub_5001,molly.lindgren@voissync.ai,Molly Lindgren,M-001,members;lifetime,2026-10-14,subscribed
sub_5002,gladys.monroe@bellsouth.net,Gladys Monroe,M-002,members;lifetime,2026-08-06,subscribed
sub_5003,ewynn46@yahoo.com,Etta Wynn,M-003,members,,subscribed
sub_5004,dmullis59@comcast.net,Dolores Mullis,M-005,members,2026-08-29,subscribed
sub_5005,jcadle11@yahoo.com,Jerry Cadle,M-006,members;behind_dues,2026-09-01,subscribed
sub_5006,gvann25@aol.com,Gordon Vann,M-007,members,2026-08-07,subscribed
sub_5007,spafford23@hotmail.com,Sallie Pafford,M-009,members,2026-09-21,subscribed
sub_5008,bpadgett56@comcast.net,Barbara Padgett,M-010,members,2026-10-17,subscribed
sub_5009,ewaldrop15@gmail.com,Emmet Waldrop,M-011,members,,subscribed
sub_5010,tbragg17@aol.com,Truman Bragg,M-012,members,2026-09-11,subscribed
sub_5011,rdeloach25@yahoo.com,Ronald Deloach,M-015,members,2026-10-27,subscribed
sub_5012,drushing4@gmail.com,Dolores Rushing,M-017,members,2026-09-22,subscribed
sub_5013,myarbrough4@bellsouth.net,Merle Yarbrough,M-018,members,2026-10-05,subscribed
sub_5014,fnewsome22@comcast.net,Frank Newsome,M-020,members,,subscribed
sub_5015,cmilledge72@gmail.com,Cynthia Milledge,M-021,members,2026-10-14,subscribed
sub_5016,dbeasley47@yahoo.com,Doris Beasley,M-024,members,,subscribed
sub_5017,bwaters74@comcast.net,Bernice Waters,M-025,members,2026-10-28,subscribed
sub_5018,wmeadows20@gmail.com,Winnie Meadows,M-026,members,2026-10-21,subscribed
sub_5019,emckinney68@yahoo.com,Ella McKinney,M-027,members,,subscribed
sub_5020,ehutchings12@gmail.com,Eddie Hutchings,M-028,members,2026-10-01,subscribed
sub_5021,hkirkland1@aol.com,Harley Kirkland,M-029,members,2026-08-12,subscribed
sub_5022,pfordham81@aol.com,Purvis Fordham,M-030,members,2026-10-02,subscribed
sub_5023,vreeves44@gmail.com,Verna Reeves,M-031,members,2026-10-21,subscribed
sub_5024,tpeebles61@att.net,Thomas Peebles,M-032,members,2026-09-02,subscribed
sub_5025,dtoole76@hotmail.com,Deborah Toole,M-033,members,2026-10-22,subscribed
sub_5026,tpurvis74@att.net,Tommy Purvis,M-034,members,2026-08-18,subscribed
sub_5027,ablevins28@gmail.com,Alma Blevins,M-035,members,2026-10-26,subscribed
sub_5028,wtrawick31@aol.com,William Trawick,M-036,members,2026-08-11,subscribed
sub_5029,jblevins57@bellsouth.net,James Blevins,M-037,members;behind_dues,,subscribed
sub_5030,pblackshear68@aol.com,Pearl Blackshear,M-038,members;new_2026,2026-08-23,subscribed
sub_5031,ewhitaker77@yahoo.com,Effie Whitaker,M-039,members,2026-10-05,subscribed
sub_5032,sscrews79@aol.com,Sallie Screws,M-040,members,2026-08-26,subscribed
sub_5033,rcline14@bellsouth.net,Roberta Cline,M-041,members,2026-10-08,subscribed
sub_5034,bcolquitt57@yahoo.com,Buford Colquitt,M-042,members,2026-10-11,subscribed
sub_5035,dmercer67@hotmail.com,Deborah Mercer,M-043,members,2026-09-20,subscribed
sub_5036,pnesmith46@hotmail.com,Pearl Nesmith,M-046,members,2026-10-25,subscribed
sub_5037,mrowland32@yahoo.com,Merle Rowland,M-047,members,2026-08-15,subscribed
sub_5038,efuqua27@aol.com,Emmet Fuqua,M-048,members,2026-08-04,subscribed
sub_5039,whiggs43@bellsouth.net,Winnie Higgs,M-051,members,2026-09-03,subscribed
sub_5040,tdeloach80@comcast.net,Truman Deloach,M-053,members,2026-08-24,subscribed
sub_5041,jwaldrop55@att.net,John Waldrop,M-054,members,2026-07-30,subscribed
sub_5042,gpafford88@bellsouth.net,Geraldine Pafford,M-056,members,2026-08-04,subscribed
sub_5043,wpritchett73@bellsouth.net,William Pritchett,M-057,members,2026-08-03,subscribed
sub_5044,wsirmans57@comcast.net,Wayne Sirmans,M-058,members,2026-10-21,subscribed
sub_5045,hhendrix20@att.net,Harlan Hendrix,M-059,members,2026-08-06,subscribed
