member_id,full_name,spouse_or_partner,street_address,city_state_zip,phone,email,dues_status_2026,date_joined,welcome_card_sent,notes
M-001,Molly Lindgren,Bobby Lindgren (dec. Feb 2022),417 Meadowbrook Lane,Vidalia GA 30474,(912) 537-4118,molly.lindgren@voissync.ai,lifetime,1998-03-15,yes,Fall tour lead; azalea-bed entry; food-pantry lead First Baptist Vidalia
M-002,Gladys Monroe,Earl Monroe,822 Camellia Ln,Vidalia GA 30474,(912) 537-2044,gladys.monroe@bellsouth.net,lifetime,1995-04-02,yes,Society president; runs planning board and seed shop
M-003,Etta Wynn,Mary Wynn,1698 South Front St,Vidalia GA 30474,(912) 536-6361,ewynn46@yahoo.com,paid,2013-02-20,yes,
M-004,Roy Odum,Kenneth Odum,811 Meadowbrook Ln,Vidalia GA 30474,(912) 540-8768,,new_member_dues_pending,2015-10-23,yes,
M-005,Dolores Mullis,Thomas Mullis,1353 Meadowbrook Ln,Uvalda GA 30473,(912) 672-4723,dmullis59@comcast.net,paid,2001-11-24,yes,
M-006,Jerry Cadle,,1844 North Lyons Ave,Vidalia GA 30474,(912) 596-8224,jcadle11@yahoo.com,behind,2017-11-23,yes,
M-007,Gordon Vann,,219 Georgia Ave,Vidalia GA 30474,(912) 410-2770,gvann25@aol.com,paid,2025-01-12,yes,
M-008,Wardell Landry,,1515 Rock Church Rd,Lyons GA 30436,(912) 656-3279,,paid,2020-05-21,yes,
M-009,Sallie Pafford,,397 Magnolia St,Vidalia GA 30474,(912) 439-8429,spafford23@hotmail.com,paid,2015-03-23,yes,
M-010,Barbara Padgett,,1571 North Lyons Ave,Lyons GA 30436,(912) 680-1363,bpadgett56@comcast.net,paid,2012-03-24,yes,
M-011,Emmet Waldrop,,832 South Church St,Vidalia GA 30474,(912) 868-1048,ewaldrop15@gmail.com,paid,2024-05-09,yes,
M-012,Truman Bragg,Alton Bragg,199 Rock Church Rd,Vidalia GA 30474,(912) 718-2786,tbragg17@aol.com,paid,2013-11-18,yes,
M-013,Elbert Ridgeway,,166 Church St,Vidalia GA 30474,(912) 855-5775,,paid,2018-12-02,yes,
M-014,Donald Musselwhite,,341 Sunnyside Ave,Lyons GA 30436,(912) 471-8350,,paid,2015-07-15,yes,
M-015,Ronald Deloach,,1658 Bear Branch Rd,Vidalia GA 30474,(912) 898-1777,rdeloach25@yahoo.com,paid,2015-11-14,yes,
M-016,William Nettles,Verna Nettles,402 Sunnyside Ave,Vidalia GA 30474,(912) 355-9234,,paid,2021-11-07,yes,
M-017,Dolores Rushing,,1535 Water Oak Ct,Vidalia GA 30474,(912) 354-5282,drushing4@gmail.com,paid,2009-10-16,yes,
M-018,Merle Yarbrough,Lulabelle Yarbrough,382 Peachtree Cir,Vidalia GA 30474,(912) 650-4450,myarbrough4@bellsouth.net,paid,2006-03-07,yes,
M-019,Gary Ridgeway,,323 Buckhorn Rd,Vidalia GA 30474,(912) 828-3801,,paid,2001-07-13,yes,
M-020,Frank Newsome,Tommy Newsome,1765 Toombs County Rd 148,Vidalia GA 30474,(912) 311-8676,fnewsome22@comcast.net,paid,2019-03-04,yes,
M-021,Cynthia Milledge,,617 Old Lyons Rd,Vidalia GA 30474,(912) 577-3889,cmilledge72@gmail.com,paid,2013-05-03,yes,
M-022,Lulabelle Whitaker,Lula Whitaker,2366 Old Lyons Rd,Vidalia GA 30474,(912) 281-7006,,paid,2025-12-06,yes,
M-023,Frank Weatherford,,276 Sweetgum Ln,Vidalia GA 30474,(912) 667-2618,,behind,2010-12-26,yes,
M-024,Doris Beasley,Karen Beasley,2153 Camellia Ln,Vidalia GA 30474,(912) 536-2182,dbeasley47@yahoo.com,paid,2023-06-25,yes,
M-025,Bernice Waters,Percy Waters,1666 North Lyons Ave,Vidalia GA 30474,(912) 439-7067,bwaters74@comcast.net,paid,2003-09-10,yes,
M-026,Winnie Meadows,Ray Meadows,243 Water Oak Ct,Vidalia GA 30474,(912) 653-6090,wmeadows20@gmail.com,paid,2021-09-26,yes,
M-027,Ella McKinney,,368 Water Oak Ct,Vidalia GA 30474,(912) 229-5954,emckinney68@yahoo.com,paid,2026-07-12,no,
M-028,Eddie Hutchings,Vernon Hutchings,1301 South Church St,Vidalia GA 30474,(912) 222-2916,ehutchings12@gmail.com,paid,2014-02-24,yes,
M-029,Harley Kirkland,Gary Kirkland,541 Pinehurst Dr,Vidalia GA 30474,(912) 557-9808,hkirkland1@aol.com,paid,2021-08-01,yes,
M-030,Purvis Fordham,,1131 South Church St,Vidalia GA 30474,(912) 789-6305,pfordham81@aol.com,paid,2003-08-17,yes,
M-031,Verna Reeves,Eddie Reeves,2292 Magnolia St,Vidalia GA 30474,(912) 314-1097,vreeves44@gmail.com,paid,2016-04-15,yes,
M-032,Thomas Peebles,,1181 Vidalia Rd,Vidalia GA 30474,(912) 316-4475,tpeebles61@att.net,paid,2002-11-25,yes,
M-033,Deborah Toole,Eddie Toole,773 Pinehurst Dr,Vidalia GA 30474,(912) 320-3566,dtoole76@hotmail.com,paid,2015-01-16,yes,
M-034,Tommy Purvis,Mary Purvis,425 Camellia Ln,Vidalia GA 30474,(912) 288-6101,tpurvis74@att.net,paid,2024-11-06,yes,
