slot_id,shift_date,shift_time,owner,backup,notes
HUB-001,2026-09-05,08:00-12:00,Lorraine Dixon,Molly Lindgren,-
HUB-002,2026-09-12,08:00-12:00,Odessa Thigpen,Beverly Byrd,-
HUB-003,2026-09-19,08:00-12:00,Molly Lindgren,Lorraine Dixon,-
HUB-004,2026-09-26,08:00-12:00,Beverly Byrd,Odessa Thigpen,-
HUB-005,2026-10-03,08:00-12:00,Lorraine Dixon,Molly Lindgren,-
HUB-006,2026-10-10,08:00-12:00,Odessa Thigpen,Beverly Byrd,-
HUB-007,2026-10-17,08:00-12:00,Molly Lindgren,Lorraine Dixon,-
HUB-008,2026-10-24,08:00-12:00,Beverly Byrd,Odessa Thigpen,-
HUB-009,2026-10-31,08:00-12:00,Lorraine Dixon,Molly Lindgren,-
HUB-010,2026-11-07,08:00-12:00,Molly Lindgren,Lorraine Dixon,"CONFLICT — Lorraine has offered to cover via Gmail (thread 34) but the roster has not been changed - C4"
HUB-011,2026-11-14,08:00-12:00,Beverly Byrd,Odessa Thigpen,Molly's 73rd birthday - covered
HUB-012,2026-11-21,08:00-12:00,Lorraine Dixon,Molly Lindgren,Lorraine already covering for a friend at church per her Gmail
HUB-013,2026-11-28,08:00-12:00,Odessa Thigpen,Beverly Byrd,Thanksgiving weekend
HUB-014,2026-12-05,08:00-12:00,Molly Lindgren,Lorraine Dixon,-
HUB-015,2026-12-12,08:00-12:00,Beverly Byrd,Odessa Thigpen,-
HUB-016,2026-12-19,08:00-12:00,Lorraine Dixon,Molly Lindgren,-
HUB-017,2026-12-26,08:00-12:00,Odessa Thigpen,Beverly Byrd,-
HUB-018,2027-01-02,08:00-12:00,Molly Lindgren,Lorraine Dixon,-
HUB-019,2027-01-09,08:00-12:00,Beverly Byrd,Odessa Thigpen,-
HUB-020,2027-01-16,08:00-12:00,Lorraine Dixon,Molly Lindgren,-
HUB-021,2027-01-23,08:00-12:00,Odessa Thigpen,Beverly Byrd,-
HUB-022,2027-01-30,08:00-12:00,Molly Lindgren,Lorraine Dixon,-
HUB-023,2027-02-06,08:00-12:00,Beverly Byrd,Odessa Thigpen,-
HUB-024,2027-02-13,08:00-12:00,Lorraine Dixon,Molly Lindgren,-
