charge_id,member_id,member_name,member_email,amount_usd,charge_date,status,description
ch_3P1001Aj0Kv92183,M-003,Etta Wynn,ewynn46@yahoo.com,35.00,2026-01-20,succeeded,VGS 2026 Annual Dues
ch_3P1002Aj0Kv29984,M-005,Dolores Mullis,dmullis59@comcast.net,35.00,2026-02-01,succeeded,VGS 2026 Annual Dues
ch_3P1003Aj0Kv93821,M-007,Gordon Vann,gvann25@aol.com,35.00,2026-02-26,succeeded,VGS 2026 Annual Dues
ch_3P1004Aj0Kv81407,M-008,Wardell Landry,no_email_on_file@vgs.internal,35.00,2026-01-27,succeeded,VGS 2026 Annual Dues
ch_3P1005Aj0Kv89829,M-009,Sallie Pafford,spafford23@hotmail.com,35.00,2026-01-13,succeeded,VGS 2026 Annual Dues
ch_3P1006Aj0Kv69513,M-010,Barbara Padgett,bpadgett56@comcast.net,35.00,2026-01-18,succeeded,VGS 2026 Annual Dues
ch_3P1007Aj0Kv57224,M-011,Emmet Waldrop,ewaldrop15@gmail.com,35.00,2026-02-14,succeeded,VGS 2026 Annual Dues
ch_3P1008Aj0Kv17904,M-012,Truman Bragg,tbragg17@aol.com,35.00,2026-04-18,succeeded,VGS 2026 Annual Dues
ch_3P1009Aj0Kv57355,M-013,Elbert Ridgeway,no_email_on_file@vgs.internal,35.00,2026-03-26,succeeded,VGS 2026 Annual Dues
ch_3P1010Aj0Kv25010,M-014,Donald Musselwhite,no_email_on_file@vgs.internal,35.00,2026-01-15,succeeded,VGS 2026 Annual Dues
ch_3P1011Aj0Kv64529,M-015,Ronald Deloach,rdeloach25@yahoo.com,35.00,2026-02-09,succeeded,VGS 2026 Annual Dues
ch_3P1012Aj0Kv28986,M-016,William Nettles,no_email_on_file@vgs.internal,35.00,2026-03-09,succeeded,VGS 2026 Annual Dues
ch_3P1013Aj0Kv16161,M-017,Dolores Rushing,drushing4@gmail.com,35.00,2026-04-23,succeeded,VGS 2026 Annual Dues
ch_3P1014Aj0Kv46671,M-018,Merle Yarbrough,myarbrough4@bellsouth.net,35.00,2026-02-11,succeeded,VGS 2026 Annual Dues
ch_3P1015Aj0Kv32032,M-019,Gary Ridgeway,no_email_on_file@vgs.internal,35.00,2026-02-05,succeeded,VGS 2026 Annual Dues
ch_3P1016Aj0Kv31676,M-020,Frank Newsome,fnewsome22@comcast.net,35.00,2026-03-24,succeeded,VGS 2026 Annual Dues
ch_3P1017Aj0Kv73008,M-021,Cynthia Milledge,cmilledge72@gmail.com,35.00,2026-01-10,succeeded,VGS 2026 Annual Dues
ch_3P1018Aj0Kv83850,M-022,Lulabelle Whitaker,no_email_on_file@vgs.internal,35.00,2026-02-15,succeeded,VGS 2026 Annual Dues
ch_3P1019Aj0Kv29553,M-024,Doris Beasley,dbeasley47@yahoo.com,35.00,2026-04-07,succeeded,VGS 2026 Annual Dues
ch_3P1020Aj0Kv17233,M-025,Bernice Waters,bwaters74@comcast.net,35.00,2026-03-21,succeeded,VGS 2026 Annual Dues
ch_3P1021Aj0Kv15440,M-026,Winnie Meadows,wmeadows20@gmail.com,35.00,2026-04-02,succeeded,VGS 2026 Annual Dues
ch_3P1022Aj0Kv44727,M-027,Ella McKinney,emckinney68@yahoo.com,35.00,2026-01-24,succeeded,VGS 2026 Annual Dues
ch_3P1023Aj0Kv69969,M-028,Eddie Hutchings,ehutchings12@gmail.com,35.00,2026-03-13,succeeded,VGS 2026 Annual Dues
ch_3P1024Aj0Kv26033,M-029,Harley Kirkland,hkirkland1@aol.com,35.00,2026-03-02,succeeded,VGS 2026 Annual Dues
ch_3P1025Aj0Kv84120,M-030,Purvis Fordham,pfordham81@aol.com,35.00,2026-01-02,succeeded,VGS 2026 Annual Dues
ch_3P1026Aj0Kv18145,M-031,Verna Reeves,vreeves44@gmail.com,35.00,2026-04-16,succeeded,VGS 2026 Annual Dues
ch_3P1027Aj0Kv53936,M-032,Thomas Peebles,tpeebles61@att.net,35.00,2026-02-24,succeeded,VGS 2026 Annual Dues
ch_3P1028Aj0Kv18537,M-033,Deborah Toole,dtoole76@hotmail.com,35.00,2026-02-04,succeeded,VGS 2026 Annual Dues
ch_3P1029Aj0Kv26577,M-034,Tommy Purvis,tpurvis74@att.net,35.00,2026-04-25,succeeded,VGS 2026 Annual Dues
ch_3P1030Aj0Kv80857,M-035,Alma Blevins,ablevins28@gmail.com,35.00,2026-04-22,succeeded,VGS 2026 Annual Dues
ch_3P1031Aj0Kv13652,M-036,William Trawick,wtrawick31@aol.com,35.00,2026-04-07,succeeded,VGS 2026 Annual Dues
ch_3P1032Aj0Kv16953,M-039,Effie Whitaker,ewhitaker77@yahoo.com,35.00,2026-02-18,succeeded,VGS 2026 Annual Dues
ch_3P1033Aj0Kv39174,M-040,Sallie Screws,sscrews79@aol.com,35.00,2026-04-02,succeeded,VGS 2026 Annual Dues
ch_3P1034Aj0Kv35715,M-042,Buford Colquitt,bcolquitt57@yahoo.com,35.00,2026-03-02,succeeded,VGS 2026 Annual Dues
ch_3P1035Aj0Kv46452,M-043,Deborah Mercer,dmercer67@hotmail.com,35.00,2026-03-14,succeeded,VGS 2026 Annual Dues
ch_3P1036Aj0Kv38011,M-045,Maude Boone,no_email_on_file@vgs.internal,35.00,2026-04-08,succeeded,VGS 2026 Annual Dues
ch_3P1037Aj0Kv51640,M-046,Pearl Nesmith,pnesmith46@hotmail.com,35.00,2026-01-27,succeeded,VGS 2026 Annual Dues
ch_3P1038Aj0Kv70988,M-047,Merle Rowland,mrowland32@yahoo.com,35.00,2026-03-12,succeeded,VGS 2026 Annual Dues
ch_3P1039Aj0Kv88990,M-048,Emmet Fuqua,efuqua27@aol.com,35.00,2026-04-09,succeeded,VGS 2026 Annual Dues
ch_3P1040Aj0Kv94395,M-049,Sandra Padgett,no_email_on_file@vgs.internal,35.00,2026-01-11,succeeded,VGS 2026 Annual Dues
ch_3P1041Aj0Kv98513,M-050,Harley Pritchett,no_email_on_file@vgs.internal,35.00,2026-04-19,succeeded,VGS 2026 Annual Dues
ch_3P1042Aj0Kv68106,M-051,Winnie Higgs,whiggs43@bellsouth.net,35.00,2026-01-17,succeeded,VGS 2026 Annual Dues
ch_3P1043Aj0Kv80798,M-052,Zelda Godbee,no_email_on_file@vgs.internal,35.00,2026-03-21,succeeded,VGS 2026 Annual Dues
ch_3P1044Aj0Kv47017,M-053,Truman Deloach,tdeloach80@comcast.net,35.00,2026-04-27,succeeded,VGS 2026 Annual Dues
ch_3P1045Aj0Kv55742,M-054,John Waldrop,jwaldrop55@att.net,35.00,2026-01-20,succeeded,VGS 2026 Annual Dues
ch_3P1046Aj0Kv85508,M-055,Pearl Waldrop,no_email_on_file@vgs.internal,35.00,2026-03-26,succeeded,VGS 2026 Annual Dues
ch_3P1047Aj0Kv66996,M-056,Geraldine Pafford,gpafford88@bellsouth.net,35.00,2026-04-22,succeeded,VGS 2026 Annual Dues
ch_3P1048Aj0Kv65338,M-057,William Pritchett,wpritchett73@bellsouth.net,35.00,2026-02-24,succeeded,VGS 2026 Annual Dues
ch_3P1049Aj0Kv83979,M-058,Wayne Sirmans,wsirmans57@comcast.net,35.00,2026-02-11,succeeded,VGS 2026 Annual Dues
ch_3P1050Aj0Kv86364,M-059,Harlan Hendrix,hhendrix20@att.net,35.00,2026-01-11,succeeded,VGS 2026 Annual Dues
ch_3P1051Aj0Kv41926,M-061,Corinne Sikes,csikes83@aol.com,35.00,2026-02-18,succeeded,VGS 2026 Annual Dues
ch_3P1052Aj0Kv70189,M-062,Roena Aldridge,raldridge79@bellsouth.net,35.00,2026-02-19,succeeded,VGS 2026 Annual Dues
ch_3P1053Aj0Kv42531,M-064,Wilhelm Whitaker,wwhitaker66@yahoo.com,35.00,2026-04-11,succeeded,VGS 2026 Annual Dues
ch_3P1054Aj0Kv90821,M-065,Winnie Higgs,whiggs38@yahoo.com,35.00,2026-03-07,succeeded,VGS 2026 Annual Dues
ch_3P1055Aj0Kv56312,M-066,Peggy Higgs,phiggs38@yahoo.com,35.00,2026-01-10,succeeded,VGS 2026 Annual Dues
ch_3P1056Aj0Kv99840,M-067,Sandra Jackson,sjackson70@hotmail.com,35.00,2026-01-11,succeeded,VGS 2026 Annual Dues
ch_3P1057Aj0Kv72977,M-068,Judson Purvis,jpurvis55@aol.com,35.00,2026-01-08,succeeded,VGS 2026 Annual Dues
ch_3P1058Aj0Kv41783,M-069,Judy Chesser,jchesser53@hotmail.com,35.00,2026-02-09,succeeded,VGS 2026 Annual Dues
ch_3P1059Aj0Kv65249,M-070,Frances Stapleton,fstapleton31@att.net,35.00,2026-02-15,succeeded,VGS 2026 Annual Dues
ch_3P1060Aj0Kv83384,M-071,Wilbur Hattaway,no_email_on_file@vgs.internal,35.00,2026-04-21,succeeded,VGS 2026 Annual Dues
ch_3P1061Aj0Kv28793,M-072,Merle Boatright,mboatright66@comcast.net,35.00,2026-04-15,succeeded,VGS 2026 Annual Dues
ch_3P1062Aj0Kv44995,M-073,Jerry Pafford,jpafford58@bellsouth.net,35.00,2026-01-11,succeeded,VGS 2026 Annual Dues
ch_3P1063Aj0Kv39411,M-074,Merle Bracewell,no_email_on_file@vgs.internal,35.00,2026-04-25,succeeded,VGS 2026 Annual Dues
ch_3P1064Aj0Kv11376,M-075,Wanda Vann,wvann38@comcast.net,35.00,2026-02-26,succeeded,VGS 2026 Annual Dues
ch_3P1065Aj0Kv60429,M-076,Sudie Vanlandingham,svanlandingham66@aol.com,35.00,2026-03-10,succeeded,VGS 2026 Annual Dues
ch_3P1066Aj0Kv58387,M-077,Rufus Hutcheson,rhutcheson53@bellsouth.net,35.00,2026-01-08,succeeded,VGS 2026 Annual Dues
ch_3P1067Aj0Kv55587,M-078,Roscoe Dupree,rdupree1@comcast.net,35.00,2026-04-06,succeeded,VGS 2026 Annual Dues
ch_3P1068Aj0Kv10554,M-079,Dolores Sikes,dsikes8@bellsouth.net,35.00,2026-01-05,succeeded,VGS 2026 Annual Dues
ch_3P1069Aj0Kv19509,M-080,Barbara McCall,bmccall22@hotmail.com,35.00,2026-01-03,succeeded,VGS 2026 Annual Dues
ch_3P1070Aj0Kv39570,M-081,Louise Stapleton,lstapleton85@hotmail.com,35.00,2026-01-26,succeeded,VGS 2026 Annual Dues
ch_3P1071Aj0Kv22699,M-082,Norvell Dupree,ndupree9@gmail.com,35.00,2026-03-26,succeeded,VGS 2026 Annual Dues
ch_3P1072Aj0Kv64877,M-083,Homer Culpepper,hculpepper78@gmail.com,35.00,2026-03-16,succeeded,VGS 2026 Annual Dues
ch_3P1073Aj0Kv73355,M-084,Jerry Ridgeway,jridgeway70@aol.com,35.00,2026-01-27,succeeded,VGS 2026 Annual Dues
ch_3P1074Aj0Kv98243,M-085,Rita Waldrop,rwaldrop86@att.net,35.00,2026-03-09,succeeded,VGS 2026 Annual Dues
ch_3P1075Aj0Kv54055,M-086,Merle Rewis,mrewis41@comcast.net,35.00,2026-03-16,succeeded,VGS 2026 Annual Dues
ch_3P1076Aj0Kv41079,M-088,Ella Hodges,ehodges35@aol.com,35.00,2026-04-16,succeeded,VGS 2026 Annual Dues
ch_3P1077Aj0Kv98230,M-089,Nancy McCall,nmccall69@bellsouth.net,35.00,2026-01-08,succeeded,VGS 2026 Annual Dues
ch_3P1078Aj0Kv35302,M-090,Suellen Blackburn,sblackburn13@yahoo.com,35.00,2026-02-27,succeeded,VGS 2026 Annual Dues
ch_3P1079Aj0Kv62300,M-091,Ruth Tanner,rtanner23@comcast.net,35.00,2026-01-22,succeeded,VGS 2026 Annual Dues
ch_3P1080Aj0Kv44724,M-092,Homer Meadows,hmeadows86@hotmail.com,35.00,2026-02-02,succeeded,VGS 2026 Annual Dues
ch_3P1081Aj0Kv36811,M-093,Grady Youmans,gyoumans46@bellsouth.net,35.00,2026-04-22,succeeded,VGS 2026 Annual Dues
ch_3P1082Aj0Kv96991,M-094,Dolores Overstreet,doverstreet13@gmail.com,35.00,2026-04-26,succeeded,VGS 2026 Annual Dues
ch_3P1083Aj0Kv99518,M-095,Hattie Boone,hboone61@yahoo.com,35.00,2026-04-02,succeeded,VGS 2026 Annual Dues
ch_3P1084Aj0Kv78574,M-096,Effie Blackshear,eblackshear15@hotmail.com,35.00,2026-04-27,succeeded,VGS 2026 Annual Dues
ch_3P1085Aj0Kv35060,M-098,Richard Fitzgerald,rfitzgerald3@comcast.net,35.00,2026-03-05,succeeded,VGS 2026 Annual Dues
ch_3P1086Aj0Kv87722,M-099,Vernon Beasley,vbeasley41@comcast.net,35.00,2026-03-13,succeeded,VGS 2026 Annual Dues
ch_3P1087Aj0Kv63975,M-100,Betty Thornton,no_email_on_file@vgs.internal,35.00,2026-04-06,succeeded,VGS 2026 Annual Dues
ch_3P1088Aj0Kv56155,M-101,Maude Yarbrough,no_email_on_file@vgs.internal,35.00,2026-02-27,succeeded,VGS 2026 Annual Dues
ch_3P1089Aj0Kv69877,M-103,Patricia Thornton,pthornton62@hotmail.com,35.00,2026-04-07,succeeded,VGS 2026 Annual Dues
ch_3P1090Aj0Kv94230,M-104,Tommy Youmans,tyoumans18@att.net,35.00,2026-01-14,succeeded,VGS 2026 Annual Dues
ch_3P1091Aj0Kv81729,M-106,Bess Chesser,no_email_on_file@vgs.internal,35.00,2026-02-23,succeeded,VGS 2026 Annual Dues
ch_3P1092Aj0Kv94583,M-107,Bess Beauchamp,no_email_on_file@vgs.internal,35.00,2026-03-19,succeeded,VGS 2026 Annual Dues
ch_3P1093Aj0Kv59080,M-109,Bonnie Blackburn,bblackburn3@gmail.com,35.00,2026-03-22,succeeded,VGS 2026 Annual Dues
ch_3P1094Aj0Kv66672,M-110,Frances Boone,fboone12@aol.com,35.00,2026-02-23,succeeded,VGS 2026 Annual Dues
ch_3P1095Aj0Kv57076,M-111,Ozzie Ussery,oussery65@att.net,35.00,2026-01-07,succeeded,VGS 2026 Annual Dues
ch_3P1096Aj0Kv36440,M-112,Dolores Odum,no_email_on_file@vgs.internal,35.00,2026-01-22,succeeded,VGS 2026 Annual Dues
ch_3P1097Aj0Kv86277,M-113,Ronald Thigpen,no_email_on_file@vgs.internal,35.00,2026-03-19,succeeded,VGS 2026 Annual Dues
ch_3P1098Aj0Kv39262,M-120,Jerry Aldridge,no_email_on_file@vgs.internal,35.00,2026-04-15,succeeded,VGS 2026 Annual Dues
ch_3P1099Aj0Kv96964,M-109,Bonnie Blackburn,bblackburn3@gmail.com,35.00,2026-02-23,failed,VGS 2026 Annual Dues (card_declined)
ch_3P1100Aj0Kv64159,M-089,Nancy McCall,nmccall69@bellsouth.net,35.00,2026-01-11,failed,VGS 2026 Annual Dues (card_declined)
ch_3P1101Aj0Kv72270,M-083,Homer Culpepper,hculpepper78@gmail.com,35.00,2026-03-02,failed,VGS 2026 Annual Dues (card_declined)
ch_3P1102Aj0Kv49823,M-003,Etta Wynn,ewynn46@yahoo.com,35.00,2026-03-08,refunded,VGS 2026 Annual Dues (duplicate charge, refunded 2026-03-11)
