card_id,member_id,member_name,date_signed,date_mailed,signed_by,scan_file,notes
WC-2026-001,M-096,Marlene Fussell,2026-01-18,2026-01-20,Molly and Gladys,WC-2026-001.jpg,mailed with a note about the March meeting
WC-2026-002,M-097,Vernon Rountree,2026-02-11,2026-02-13,Molly,WC-2026-002.jpg,hand-delivered by Molly on her Tuesday walk route
WC-2026-003,M-098,Beverly Pridgen,2026-02-24,2026-02-25,Gladys,WC-2026-003.jpg,
WC-2026-004,M-099,Kenneth Toole,2026-03-08,2026-03-10,Molly and Gladys,WC-2026-004.jpg,included a Park Seed catalog page Kenneth had asked about
WC-2026-005,M-100,Sharon Yawn,2026-03-19,2026-03-22,Molly,WC-2026-005.jpg,
WC-2026-006,M-101,Steven Hodges,2026-04-05,2026-04-07,Gladys,WC-2026-006.jpg,
WC-2026-007,M-102,Deborah Newsome,2026-04-14,2026-04-15,Molly and Gladys,WC-2026-007.jpg,
WC-2026-008,M-103,Paul Rountree,2026-04-27,2026-04-30,Molly,WC-2026-008.jpg,
WC-2026-009,M-104,Karen Wooten,2026-05-11,2026-05-12,Gladys,WC-2026-009.jpg,
WC-2026-010,M-105,Frank Thigpen,2026-05-24,2026-05-27,Molly and Gladys,WC-2026-010.jpg,mentioned Bobby by name — Frank had done insurance work with him in the 90s
WC-2026-011,M-106,Susan Godbee,2026-06-08,2026-06-10,Molly,WC-2026-011.jpg,
WC-2026-012,M-107,Larry Fussell,2026-06-22,2026-06-25,Gladys,WC-2026-012.jpg,
WC-2026-013,M-109,Cynthia Coker,2026-07-12,2026-07-14,Molly and Gladys,WC-2026-013.jpg,
WC-2026-014,M-110,Gary Harrell,2026-07-28,2026-07-30,Molly,WC-2026-014.jpg,
WC-2026-015,M-111,Kathleen Bragg,2026-08-09,2026-08-11,Gladys,WC-2026-015.jpg,
WC-2026-016,M-112,Ronald Mercer,2026-08-19,2026-08-22,Molly and Gladys,WC-2026-016.jpg,
WC-2026-017,M-113,Ella Padgett,2026-09-03,2026-09-05,Molly,WC-2026-017.jpg,
WC-2026-018,M-115,Roy Sumrall,2026-09-17,2026-09-19,Gladys,WC-2026-018.jpg,
WC-2026-019,M-116,Louise Hayslip,2026-09-24,2026-09-27,Molly and Gladys,WC-2026-019.jpg,
WC-2026-020,M-117,Wayne Corbett,2026-10-01,2026-10-03,Molly,WC-2026-020.jpg,
WC-2026-021,M-118,Beverly Sturkie,2026-10-11,2026-10-13,Gladys,WC-2026-021.jpg,
WC-2026-022,M-119,Hattie Youmans,2026-09-13,,Molly and Gladys,WC-2026-022.jpg,SIGNED but never mailed — Molly set it aside during the September meeting and forgot to drop it in the box
WC-2026-023,M-120,Eddie Nettles,2026-10-20,2026-10-22,Molly,WC-2026-023.jpg,
