sid,from_number,to_number,status,direction,duration,price,price_unit,answered_by,start_time,end_time,date_created
CA_001,+14065557420,+14065550100,completed,inbound,38,-0.0250,USD,voicemail,2026-07-10T19:42:00-06:00,2026-07-10T19:42:38-06:00,2026-07-10T19:42:00-06:00
CA_002,+14065550100,+4777555 7734,completed,outbound-api,1842,-1.4500,USD,human,2026-07-12T10:00:00-06:00,2026-07-12T10:30:42-06:00,2026-07-12T10:00:00-06:00
CA_003,+14065550100,+14065554291,no-answer,outbound-api,0,0.0000,USD,n_a_placeholder,2026-07-10T17:20:00-06:00,2026-07-10T17:20:20-06:00,2026-07-10T17:20:00-06:00
CA00010003,+15033583177,+15038331438,2025-03-08T11:44:00-07:00,221,canceled,0.856,424.79,detail_121,detail_210,detail_733,2026-07-20
CA00010004,+15035563049,+15038827680,2025-11-27T12:32:00-07:00,479,busy,0.699,232.48,detail_191,detail_931,detail_866,2026-09-06
CA00010005,+15033455962,+15037513001,2024-01-06T15:40:00-07:00,239,canceled,0.694,479.89,detail_226,detail_277,detail_177,2026-09-19
CA00010006,+15035894626,+15035052000,2025-06-20T14:55:00-07:00,310,failed,0.284,96.41,detail_363,detail_624,detail_113,2026-09-23
CA00010007,+15036943841,+15032993002,2025-11-05T14:54:00-07:00,75,completed,0.544,286.14,detail_138,detail_955,detail_558,2026-04-16
CA00010008,+15038788464,+15034542766,2024-01-07T13:28:00-07:00,40,failed,0.818,161.72,detail_388,detail_714,detail_677,2026-08-05
CA00010009,+15038502792,+15035664611,2024-05-18T16:44:00-07:00,176,busy,0.699,373.82,detail_348,detail_192,detail_660,2026-06-09
CA00010010,+15033621612,+15034108532,2024-09-21T09:14:00-07:00,251,busy,0.578,221.34,detail_859,detail_677,detail_117,2026-08-23
CA00010011,+15032421919,+15038625448,2025-05-22T11:06:00-07:00,315,canceled,0.494,55.46,detail_745,detail_394,detail_961,2026-01-27
CA00010012,+15038360092,+15034329186,2024-11-27T18:46:00-07:00,329,no-answer,0.566,168.57,detail_464,detail_224,detail_672,2026-05-19
CA00010013,+15034176685,+15039721719,2026-03-12T13:10:00-07:00,536,canceled,0.222,296.46,detail_451,detail_360,detail_103,2026-03-16
CA00010014,+15035088525,+15038691253,2025-07-01T15:44:00-07:00,443,busy,0.837,473.1,detail_198,detail_808,detail_182,2026-04-18
CA00010015,+15034340697,+15033032517,2026-04-06T08:49:00-07:00,378,completed,0.829,143.11,detail_914,detail_181,detail_217,2026-02-26
CA00010016,+15038067701,+15036974319,2024-02-24T14:30:00-07:00,111,busy,0.893,306.16,detail_451,detail_940,detail_622,2026-10-22
CA00010017,+15037003056,+15038379680,2025-08-03T18:16:00-07:00,276,no-answer,0.308,204.7,detail_464,detail_447,detail_737,2026-01-23
CA00010018,+15038305626,+15032841587,2025-05-27T15:50:00-07:00,522,failed,0.237,102.85,detail_670,detail_953,detail_647,2026-05-03
CA00010019,+15036459102,+15034871091,2024-02-10T13:01:00-07:00,65,failed,0.741,391.61,detail_289,detail_863,detail_561,2026-01-08
CA00010020,+15036405573,+15034882665,2024-07-26T13:06:00-07:00,340,busy,0.793,304.42,detail_105,detail_998,detail_328,2026-07-01
CA00010021,+15038768240,+15036733991,2026-09-02T19:44:00-07:00,490,no-answer,0.217,185.53,detail_834,detail_718,detail_315,2026-02-24
CA00010022,+15036292492,+15034801924,2025-11-20T14:10:00-07:00,228,canceled,0.473,460.28,detail_637,detail_421,detail_518,2026-03-16
CA00010023,+15033857049,+15038030925,2026-08-17T09:26:00-07:00,465,failed,0.637,242.82,detail_573,detail_252,detail_543,2026-10-18
CA00010024,+15035598058,+15037900343,2025-05-19T19:24:00-07:00,153,no-answer,0.461,85.53,detail_369,detail_327,detail_271,2026-03-04
CA00010025,+15039363086,+15034646649,2026-09-09T08:23:00-07:00,469,failed,0.491,65.94,detail_684,detail_622,detail_370,2026-02-10
CA00010026,+15039565914,+15039941151,2024-07-28T18:55:00-07:00,144,completed,0.146,338.51,detail_732,detail_754,detail_698,2026-01-19
CA00010027,+15036273949,+15035497162,2024-12-12T14:43:00-07:00,320,canceled,0.791,14.86,detail_497,detail_479,detail_106,2026-05-18
CA00010028,+15036100382,+15036304152,2025-06-15T14:26:00-07:00,297,no-answer,0.671,388.21,detail_302,detail_673,detail_913,2026-08-09
CA00010029,+15037115613,+15032124037,2024-02-28T08:45:00-07:00,396,canceled,0.144,207.84,detail_624,detail_442,detail_998,2026-10-02
CA00010030,+15038525367,+15036867923,2025-04-11T14:13:00-07:00,282,failed,0.767,382.76,detail_412,detail_622,detail_729,2026-03-24
CA00010031,+15034244410,+15039737542,2024-02-26T09:01:00-07:00,54,no-answer,0.566,471.17,detail_989,detail_823,detail_320,2026-08-02
CA00010032,+15039666301,+15036385303,2026-02-04T09:41:00-07:00,253,failed,0.124,227.56,detail_145,detail_386,detail_945,2026-10-15
CA00010033,+15032784348,+15036885671,2024-12-20T20:43:00-07:00,174,failed,0.329,242.95,detail_550,detail_386,detail_441,2026-09-22
CA00010034,+15039767547,+15037207663,2024-10-22T13:59:00-07:00,101,busy,0.307,488.5,detail_430,detail_495,detail_259,2026-05-27
CA00010035,+15032455277,+15032407361,2025-12-04T11:27:00-07:00,162,failed,0.729,108.76,detail_377,detail_235,detail_711,2026-03-06
CA00010036,+15033691773,+15032872295,2024-09-24T16:24:00-07:00,334,busy,0.504,221.92,detail_444,detail_506,detail_495,2026-09-01
CA00010037,+15032287750,+15032443506,2025-12-27T12:10:00-07:00,134,busy,0.751,197.21,detail_666,detail_529,detail_333,2026-10-03
CA00010038,+15039453107,+15036156513,2024-08-14T11:23:00-07:00,316,failed,0.536,311.72,detail_451,detail_289,detail_308,2026-07-09
CA00010039,+15038790075,+15032796788,2025-08-16T18:51:00-07:00,508,busy,0.74,120.96,detail_966,detail_290,detail_719,2026-01-18
CA00010040,+15034130976,+15037707758,2025-12-09T16:44:00-07:00,474,canceled,0.534,80.47,detail_322,detail_907,detail_932,2026-03-12
CA00010041,+15037681767,+15039676863,2025-02-19T11:34:00-07:00,125,completed,0.782,343.21,detail_190,detail_583,detail_635,2026-05-18
CA00010042,+15038756725,+15038670583,2026-02-14T13:06:00-07:00,318,canceled,0.527,440.84,detail_206,detail_696,detail_719,2026-10-08
CA00010043,+15032425787,+15037744775,2025-03-09T09:00:00-07:00,326,failed,0.754,381.7,detail_241,detail_772,detail_293,2026-10-12
CA00010044,+15032997038,+15036480374,2025-06-15T12:20:00-07:00,74,busy,0.869,384.48,detail_345,detail_714,detail_598,2026-01-09
CA00010045,+15035578998,+15037338281,2025-10-03T13:02:00-07:00,173,canceled,0.418,35.27,detail_667,detail_363,detail_889,2026-09-10
CA00010046,+15038701889,+15038248340,2024-12-19T18:41:00-07:00,217,completed,0.3,87.97,detail_488,detail_948,detail_995,2026-01-04
CA00010047,+15032669856,+15032722421,2025-01-28T14:12:00-07:00,521,failed,0.108,371.0,detail_335,detail_389,detail_615,2026-09-24
CA00010048,+15035443818,+15034123398,2025-05-31T19:12:00-07:00,49,completed,0.164,167.39,detail_977,detail_853,detail_957,2026-06-02
CA00010049,+15038607501,+15032691484,2026-02-06T10:04:00-07:00,524,completed,0.838,273.46,detail_618,detail_880,detail_220,2026-02-04
CA00010050,+15038525065,+15039184933,2025-10-10T18:23:00-07:00,147,no-answer,0.215,469.42,detail_441,detail_963,detail_460,2026-08-02
CA00010051,+15036569735,+15036832647,2026-06-29T10:23:00-07:00,80,no-answer,0.563,217.65,detail_808,detail_901,detail_983,2026-10-01
CA00010052,+15039923787,+15035191858,2025-11-19T13:47:00-07:00,143,failed,0.102,320.98,detail_828,detail_259,detail_731,2026-03-28
CA00010053,+15032440264,+15035507313,2026-06-05T18:26:00-07:00,469,failed,0.027,82.99,detail_977,detail_871,detail_750,2026-07-11
CA00010054,+15036031075,+15033765562,2025-11-16T15:46:00-07:00,499,canceled,0.339,257.22,detail_592,detail_850,detail_811,2026-03-27
CA00010055,+15033814858,+15034846676,2026-08-27T16:14:00-07:00,172,canceled,0.112,492.18,detail_281,detail_357,detail_221,2026-05-22
CA00010056,+15035192158,+15033250164,2025-05-06T12:59:00-07:00,230,completed,0.078,5.63,detail_247,detail_638,detail_207,2026-05-08
CA00010057,+15035690928,+15037957082,2026-03-02T19:32:00-07:00,64,canceled,0.811,92.86,detail_351,detail_291,detail_558,2026-04-14
CA00010058,+15037144218,+15038216642,2025-11-21T12:20:00-07:00,113,busy,0.586,427.4,detail_479,detail_372,detail_562,2026-07-16
CA00010059,+15037417676,+15033522980,2025-11-14T20:05:00-07:00,349,no-answer,0.714,473.42,detail_342,detail_925,detail_634,2026-04-21
CA00010060,+15033029113,+15034848517,2025-08-02T14:03:00-07:00,270,no-answer,0.808,436.62,detail_700,detail_476,detail_690,2026-06-03
CA00010061,+15035833688,+15033800505,2025-01-18T17:46:00-07:00,235,completed,0.491,114.91,detail_349,detail_115,detail_519,2026-05-27
CA00010062,+15038622718,+15035890153,2024-11-18T13:42:00-07:00,444,canceled,0.705,339.79,detail_256,detail_156,detail_566,2026-02-17
CA00010063,+15032494217,+15036057901,2026-07-25T14:17:00-07:00,87,canceled,0.854,343.64,detail_763,detail_247,detail_267,2026-01-21
CA00010064,+15038807283,+15034176242,2026-10-12T17:36:00-07:00,149,canceled,0.344,5.36,detail_113,detail_697,detail_359,2026-02-12
CA00010065,+15035598596,+15035792345,2025-05-12T09:06:00-07:00,32,no-answer,0.373,280.82,detail_722,detail_330,detail_265,2026-07-20
CA00010066,+15039581232,+15033873755,2025-06-22T13:36:00-07:00,282,busy,0.663,428.45,detail_540,detail_995,detail_478,2026-02-25
CA00010067,+15035925335,+15032984260,2026-05-06T15:54:00-07:00,439,canceled,0.316,139.04,detail_290,detail_124,detail_789,2026-09-12
CA00010068,+15039043144,+15036895192,2024-09-11T10:58:00-07:00,149,no-answer,0.291,295.3,detail_814,detail_721,detail_353,2026-07-09
CA00010069,+15032714053,+15033503577,2025-04-23T16:07:00-07:00,297,busy,0.474,328.02,detail_321,detail_716,detail_595,2026-05-19
CA00010070,+15039889928,+15033297641,2024-12-11T17:17:00-07:00,512,completed,0.495,284.16,detail_194,detail_427,detail_851,2026-09-03
CA00010071,+15034686218,+15035045791,2024-06-04T12:22:00-07:00,47,busy,0.119,398.03,detail_143,detail_736,detail_813,2026-07-13
CA00010072,+15039815560,+15035579957,2025-05-25T18:40:00-07:00,231,busy,0.184,470.41,detail_239,detail_414,detail_636,2026-10-05
CA00010073,+15037902251,+15033869579,2025-05-30T11:19:00-07:00,99,canceled,0.731,278.02,detail_948,detail_498,detail_748,2026-08-15
CA00010074,+15033094596,+15033643167,2025-05-28T17:37:00-07:00,95,failed,0.331,116.86,detail_563,detail_981,detail_803,2026-02-28
CA00010075,+15032561294,+15037957900,2024-12-09T16:44:00-07:00,114,failed,0.215,247.83,detail_748,detail_804,detail_501,2026-04-21
CA00010076,+15039551112,+15035370478,2025-09-26T10:54:00-07:00,142,canceled,0.325,405.12,detail_138,detail_260,detail_343,2026-09-06
CA00010077,+15037759472,+15033016034,2024-02-06T12:19:00-07:00,388,no-answer,0.695,222.78,detail_891,detail_500,detail_561,2026-10-06
CA00010078,+15039082345,+15039287964,2024-08-22T18:11:00-07:00,383,busy,0.338,166.44,detail_599,detail_941,detail_669,2026-09-22
CA00010079,+15039827762,+15034038229,2026-08-12T17:08:00-07:00,69,completed,0.541,373.34,detail_793,detail_963,detail_929,2026-03-08
CA00010080,+15033631326,+15039003003,2024-03-12T09:25:00-07:00,163,no-answer,0.196,356.12,detail_514,detail_840,detail_659,2026-02-02
CA00010081,+15038454547,+15038444780,2024-05-19T08:05:00-07:00,193,no-answer,0.662,391.5,detail_293,detail_612,detail_352,2026-02-02
CA00010082,+15035145644,+15035415613,2025-08-07T18:25:00-07:00,461,canceled,0.521,22.19,detail_930,detail_488,detail_842,2026-05-06
CA00010083,+15036689014,+15036363643,2024-10-17T20:16:00-07:00,335,canceled,0.182,499.11,detail_100,detail_625,detail_726,2026-06-11
CA00010084,+15036778245,+15034127664,2026-09-29T17:41:00-07:00,249,canceled,0.852,178.39,detail_142,detail_811,detail_862,2026-02-28
CA00010085,+15032017360,+15033798420,2025-06-07T17:10:00-07:00,367,no-answer,0.267,436.91,detail_610,detail_171,detail_651,2026-07-19
CA00010086,+15033043045,+15033653876,2025-01-08T20:46:00-07:00,37,no-answer,0.331,215.69,detail_212,detail_856,detail_812,2026-08-07
CA00010087,+15036830894,+15039123049,2025-07-01T20:24:00-07:00,73,no-answer,0.878,64.62,detail_535,detail_471,detail_203,2026-10-21
CA00010088,+15033711334,+15037742298,2024-07-04T08:44:00-07:00,382,no-answer,0.232,400.86,detail_158,detail_445,detail_566,2026-10-02
CA00010089,+15036677094,+15035004138,2024-01-10T11:45:00-07:00,475,failed,0.238,285.43,detail_218,detail_492,detail_840,2026-07-07
