order_id,customer_name,customer_email,item,pickup_date,pickup_window_start,pickup_window_end,price,status,tracker_last_updated,intake_source,dietary_flags,deposit_status,allergen_note,priority,source_thread_id
KIRUS-2026-1101,Sarah Mitchell,s.mitchell.brooklyn@gmail.com,Chocolate babka trio,2026-12-06,10:00,11:00,85.00,In progress,2026-11-22,Typeform,contains-gluten;contains-dairy,paid,wheat; eggs; dairy,standard,TFR-2026-1101
KIRUS-2026-1104,Priya Sharma,priya.sharma6@gmail.com,Pear frangipane tart,2026-12-04,17:00,18:00,55.00,In progress,2026-11-22,Typeform,contains-gluten;contains-nuts,paid,wheat; eggs; dairy; almond,standard,TFR-2026-1104
KIRUS-2026-1108,Jerome Baptiste,j.baptiste@yahoo.com,Sweet potato pie x2,2026-12-08,15:30,16:30,60.00,Open,2026-11-22,Typeform,contains-gluten;contains-dairy,partial,wheat; eggs; dairy,standard,TFR-2026-1108
KIRUS-2026-1110,Angela Rossi,angela.rossi.bk@gmail.com,Kouign-amann box of 24,2026-12-05,09:00,10:00,96.00,In progress,2026-11-22,Typeform,contains-gluten;contains-dairy,paid,wheat; dairy,high,TFR-2026-1110
KIRUS-2026-1112,Marcus Chen,marcus.chen88@gmail.com,Chocolate bourbon pecan pie,2026-12-11,16:00,17:00,52.00,Open,2026-11-23,Typeform,contains-gluten;contains-nuts;contains-alcohol,partial,wheat; eggs; dairy; pecan,standard,TFR-2026-1112
KIRUS-2026-1115,Nia Washington,nia.washington@outlook.com,Sweet potato pie plus rugelach box,2026-12-07,17:00,18:00,58.00,Open,2026-11-23,Typeform,contains-gluten;contains-nuts,partial,wheat; eggs; dairy; walnut,standard,TFR-2026-1115
KIRUS-2026-1116,Yasmin Cohen,y.cohen.kwanzaa@gmail.com,Kwanzaa cake custom design,2026-12-12,11:00,12:00,145.00,In progress,2026-11-23,Typeform,contains-gluten;contains-dairy,paid,wheat; eggs; dairy,high,TFR-2026-1116
KIRUS-2026-1118,Thomas O'Brien,tobrien.bk@gmail.com,Cranberry orange bundt,2026-12-09,16:30,17:30,48.00,Open,2026-11-23,Typeform,contains-gluten;contains-dairy,unpaid,wheat; eggs; dairy,standard,TFR-2026-1118
KIRUS-2026-1119,Rebecca Ng,rebecca.ng.11@gmail.com,Almond horn cookies box of 24,2026-12-08,15:00,16:00,54.00,Open,2026-11-24,Typeform,contains-nuts,partial,almond; eggs,standard,TFR-2026-1119
KIRUS-2026-1120,Rita Alvarez,rita.alvarez@gmail.com,Southern pound cake,2026-12-08,16:00,17:00,42.00,Open,2026-11-24,Typeform,contains-gluten;contains-dairy,unpaid,wheat; eggs; dairy,standard,TFR-2026-1120
KIRUS-2026-1122,Rachel Adams,rachel.adams.bk@gmail.com,Chocolate chestnut Yule log,2026-12-05,15:00,16:00,115.00,In progress,2026-11-24,Typeform,contains-gluten;contains-nuts,paid,wheat; eggs; dairy; chestnut,review-cancel,TFR-2026-1122
KIRUS-2026-1124,Grace Park,grace.park.bk@gmail.com,Almond pear tart,2026-12-06,10:00,11:00,50.00,Open,2026-11-24,Typeform,contains-gluten;contains-nuts,partial,wheat; eggs; dairy; almond,standard,TFR-2026-1124
KIRUS-2026-1125,Michael Torres,mtorres.brooklyn@gmail.com,Bourbon pecan pie x2,2026-12-12,10:00,11:00,104.00,In progress,2026-11-24,Typeform,contains-gluten;contains-nuts;contains-alcohol,paid,wheat; eggs; dairy; pecan,high,TFR-2026-1125
KIRUS-2026-1127,Anthony Russo,anthony.russo@gmail.com,Cannoli tray of 12,2026-12-10,17:00,18:00,54.00,Open,2026-11-24,Typeform,contains-gluten;contains-dairy,unpaid,wheat; dairy,standard,TFR-2026-1127
KIRUS-2026-1128,Emily Chen,emily.chen.42@gmail.com,Chocolate babka plus Kwanzaa cookies,2026-12-08,16:00,17:00,88.00,Open,2026-11-24,Typeform,contains-gluten;contains-dairy,partial,wheat; eggs; dairy,standard,TFR-2026-1128
KIRUS-2026-1131,Emily Chen,emily.chen.42@gmail.com,Chocolate babka plus Kwanzaa cookies,2026-12-08,16:00,17:00,88.00,Open,2026-11-24,Typeform,contains-gluten;contains-dairy,unpaid,wheat; eggs; dairy,duplicate-of-1128,TFR-2026-1128
KIRUS-2026-1132,Fatima Hassan,fatima.hassan.87@gmail.com,Sweet potato pie x3,2026-12-11,16:00,17:00,90.00,Open,2026-11-25,Typeform,contains-gluten;contains-dairy,partial,wheat; eggs; dairy,standard,TFR-2026-1132
KIRUS-2026-1135,Jasmine Lee,jasmine.lee.bk@gmail.com,Chocolate chestnut Yule log,2026-12-12,10:00,11:00,115.00,In progress,2026-11-25,Typeform,contains-gluten;contains-nuts,paid,wheat; eggs; dairy; chestnut,high,TFR-2026-1135
