date	merchant	category	amount_usd	account
2026-01-03	Hollywood farmers market	groceries	36.00	Chase Sapphire ****7032
2026-01-05	Taqueria, Echo Park	dining	18.75	Chase Sapphire ****7032
2026-01-07	Photo and studio supplier, online	supplies	129.99	Chase Sapphire ****7032
2026-01-09	Kindred Studio, Koreatown	fitness	50.00	Chase Sapphire ****7032
2026-01-11	Neighborhood brunch cafe	dining	24.50	Chase Sapphire ****7032
2026-01-14	LACMA membership store	entertainment	22.00	Chase Sapphire ****7032
2026-01-16	Natural wine shop, Virgil Village	dining	41.20	Chase Sapphire ****7032
2026-01-19	Metro TAP reload	transit	25.00	Chase Sapphire ****7032
2026-01-22	Hot chicken counter	dining	19.47	Chase Sapphire ****7032
2026-01-24	Bookshop, Los Feliz	books	28.00	Chase Sapphire ****7032
2026-01-30	Streaming services	subscriptions	16.99	Chase Sapphire ****7032
2026-02-01	Kingsley Court Property Management	rent	1650.00	Ally Checking ****4471
2026-02-06	Creative software subscription	software	54.99	Ally Checking ****4471
2026-02-09	Covered California silver	insurance	380.00	Ally Checking ****4471
2026-02-12	Mobile phone bill	phone	60.00	Ally Checking ****4471
2026-02-25	Federal student loan servicer	loan	280.00	Ally Checking ****4471
