email,full_name,consent_status,subscribed_at,last_open_at,tags
megan.delgado@gmail.com,Hannah Delgado,opted_in,2026-02-28,2026-09-09,parent|kendo
emery.wood4@gmail.com,Derek Mori,opted_in,2024-03-18,2026-07-10,member|both
oscar.nakamura20@outlook.com,Henry Lee,opted_in,2022-06-27,2026-09-04,member|kendo
suki.park11@icloud.com,Devon Rodriguez,opted_in,2026-02-03,2026-10-02,parent|kendo
jackson.green36@icloud.com,Lei Butler,opted_in,2023-11-16,2026-08-05,parent|judo
jade.shaw94@hotmail.com,Quinn Phillips,opted_in,2025-04-18,2026-08-05,parent|kendo
yuna.tran35@icloud.com,Patrick Morgan,pending,2024-08-17,2024-09-01,parent|kendo
ruby.cook96@yahoo.com,Henry Price,opted_in,2023-02-11,2026-07-10,parent|judo
rosa.barnes20@gmail.com,Anika Chavez,opted_in,2023-01-03,2026-07-04,member|kendo
kaia.tanaka44@protonmail.com,Clark Howard,opted_in,2024-02-17,2026-08-05,parent|kendo
mei.butler26@hotmail.com,Kai Morris,opted_in,2023-12-19,2026-10-04,parent|kendo
victor.adams11@hotmail.com,Graham Thomas,opted_in,2023-02-04,2026-10-06,parent|kendo
clark.clark84@protonmail.com,Wyatt Singh,opted_in,2022-11-21,2026-07-01,parent|kendo
jackson.ward81@protonmail.com,Riley Ross,opted_in,2022-04-07,2026-08-09,parent|kendo
olivia.wood61@yahoo.com,Jackson Singh,opted_in,2023-05-15,2026-08-02,parent|kendo
emma.lopez32@gmail.com,Emma Lopez,opted_in,2026-02-02,2026-07-02,member|judo
mason.coleman84@gmail.com,Mason Coleman,opted_in,2025-08-07,2026-10-01,member|judo
lei.tanaka34@icloud.com,Lei Tanaka,opted_in,2025-05-26,2026-10-05,parent|kendo
charlotte.sanchez62@hotmail.com,Charlotte Sanchez,opted_in,2026-11-23,2026-10-03,member|judo
wren.henderson77@hotmail.com,Wren Henderson,opted_in,2022-10-24,2026-07-06,member|kendo
carlos.stewart83@protonmail.com,Carlos Stewart,opted_in,2025-09-28,2026-08-01,parent|judo
dante.nelson9@outlook.com,Dante Nelson,opted_in,2023-02-20,2026-07-04,parent|kendo
graham.scott34@yahoo.com,Graham Scott,opted_in,2026-04-19,2026-07-10,member|kendo
michael.hayashi12@gmail.com,Michael Hayashi,opted_in,2026-10-17,2026-09-05,member|judo
lei.wright89@gmail.com,Lei Wright,opted_in,2024-04-09,2026-10-03,member|both
elliott.wong14@protonmail.com,Elliott Wong,opted_in,2022-01-15,2026-07-02,parent|judo
cole.long86@icloud.com,Cole Long,opted_in,2024-03-12,2026-07-04,member|both
felix.thomas85@gmail.com,Felix Thomas,opted_in,2025-09-23,2026-09-10,parent|judo
finn.campbell75@yahoo.com,Finn Campbell,opted_in,2026-05-22,2026-07-03,member|both
kenji.rodriguez6@outlook.com,Kenji Rodriguez,opted_in,2022-12-18,2026-08-05,member|both
megan.ross16@protonmail.com,Megan Ross,opted_in,2024-04-22,2026-09-09,parent|kendo
caleb.adams73@hotmail.com,Caleb Adams,opted_in,2022-02-21,2026-10-05,member|kendo
finn.bennett28@protonmail.com,Finn Bennett,opted_in,2023-11-09,2026-08-08,parent|judo
penelope.mori26@yahoo.com,Penelope Mori,opted_in,2026-01-04,2026-07-03,parent|judo
derek.park19@yahoo.com,Derek Park,opted_in,2024-10-18,2026-08-07,member|judo
michael.sanchez68@protonmail.com,Michael Sanchez,opted_in,2024-01-12,2026-08-04,member|kendo
ivy.nelson34@icloud.com,Ivy Nelson,opted_in,2026-07-20,2026-08-04,member|judo
oscar.ross20@yahoo.com,Oscar Ross,opted_out,2023-07-01,2023-08-23,member|judo
hugo.watanabe99@icloud.com,Hugo Watanabe,opted_in,2024-07-26,2026-08-05,member|judo
maya.kim29@icloud.com,Maya Kim,opted_in,2022-07-28,2026-07-08,member|judo
blake.bailey51@gmail.com,Blake Bailey,opted_in,2025-06-10,2026-08-04,member|kendo
aria.hoffman42@icloud.com,Aria Hoffman,opted_in,2025-06-09,2026-07-05,member|both
philip.wright6@protonmail.com,Philip Wright,opted_in,2025-11-27,2026-09-01,member|kendo
leo.thompson22@outlook.com,Leo Thompson,opted_in,2024-03-19,2026-09-01,member|kendo
ivy.hayashi76@gmail.com,Ivy Hayashi,opted_in,2024-12-26,2026-09-07,parent|judo
michael.sato65@gmail.com,Michael Sato,pending,2022-07-19,2022-09-10,member|judo
tom.stewart35@protonmail.com,Tom Stewart,opted_in,2025-01-17,2026-08-06,parent|kendo
suki.coleman73@icloud.com,Suki Coleman,opted_in,2024-10-11,2026-07-05,parent|judo
willow.turner2@hotmail.com,Willow Turner,opted_in,2025-06-13,2026-09-09,member|judo
emma.garcia29@outlook.com,Emma Garcia,opted_in,2025-11-24,2026-08-10,parent|judo
maya.hall40@outlook.com,Maya Hall,opted_in,2026-01-10,2026-09-04,parent|kendo
jackson.gonzalez93@outlook.com,Jackson Gonzalez,opted_in,2026-11-11,2026-10-08,parent|kendo
nadia.henderson7@gmail.com,Nadia Henderson,opted_in,2026-08-26,2026-08-02,member|both
charlotte.sato7@yahoo.com,Charlotte Sato,opted_in,2026-06-03,2026-08-05,member|judo
rowan.hernandez72@gmail.com,Rowan Hernandez,opted_in,2023-01-02,2026-08-08,parent|judo
ivy.howard95@hotmail.com,Ivy Howard,opted_in,2022-08-14,2026-08-07,parent|kendo
owen.butler77@protonmail.com,Owen Butler,opted_in,2023-11-23,2026-07-02,parent|kendo
charlotte.wong15@icloud.com,Charlotte Wong,opted_in,2026-08-02,2026-08-02,parent|kendo
ava.shaw39@protonmail.com,Ava Shaw,opted_in,2025-11-17,2026-09-08,parent|judo
