ticket_id,opened_at,requester_name,requester_email,subject,body_excerpt,priority,status
ZD-10001,2026-09-01T18:59:00-07:00,Sakura Nelson,sakura.nelson65@yahoo.com,Tournament registration payment failed,I tried to register for the Fall Tournament but my card was declined. Can you check?,high,pending
ZD-10002,2026-09-08T13:15:00-07:00,Riley Martinez,riley.martinez36@outlook.com,Can I switch divisions?,I registered for Adult Kendo Kyu but just passed my dan exam. Can I move to Dan division?,medium,open
ZD-10003,2026-10-04T09:29:00-07:00,Kai Lee,kai.lee74@icloud.com,Refund request for tournament,I can no longer attend Oct 17. Please process a refund for my Full Weekend ticket.,high,pending
ZD-10004,2026-10-02T15:47:00-07:00,Miles Young,miles.young14@gmail.com,Merch order not received,I ordered a shinai care kit two weeks ago and it has not arrived. Order #WC-4521.,medium,pending
ZD-10005,2026-09-02T17:39:00-07:00,Parent of minor student,sophie.nelson66@outlook.com,Kids class schedule question,Is there a kids judo class or only kendo for under 12?,low,on_hold
ZD-10006,2026-10-01T11:54:00-07:00,Leo Robinson,leo.robinson43@icloud.com,Spectator parking info,Where should spectators park for the tournament? Is there a fee?,low,on_hold
ZD-10007,2026-10-02T09:48:00-07:00,Emily Lewis,emily.lewis1@yahoo.com,Membership pause request,I need to pause my membership for November due to travel. How do I do that?,medium,pending
ZD-10008,2026-10-02T08:57:00-07:00,Zoe Harris,zoe.harris64@yahoo.com,Visiting club bulk registration,We are bringing 8 fighters from Willamette Kendo Club. Can we do a group registration?,high,open
ZD-10009,2026-09-04T09:59:00-07:00,Priya Jackson,priya.jackson28@icloud.com,Waiver link not working,The DocuSign waiver link in my email returns a 404 error. Can you resend?,high,pending
ZD-10010,2026-10-01T18:53:00-07:00,Ethan Nguyen,ethan.nguyen99@gmail.com,Tournament schedule request,Can you share the bracket schedule for Adult Kendo Dan? I need to plan my day.,medium,pending
ZD-10011,2026-09-08T08:33:00-07:00,Abigail Campbell,abigail.campbell71@gmail.com,Rank dispute,My registration shows 3-kyu but I was promoted to 2-kyu in September. Please update.,high,pending
ZD-10012,2026-09-03T09:24:00-07:00,Mia Wilson,mia.wilson65@outlook.com,Medical clearance question,I had a knee surgery in June. Do I need physician clearance to compete in contact divisions?,medium,pending
ZD-10013,2026-10-07T13:18:00-07:00,Harper Thomas,harper.thomas18@icloud.com,Sponsor logo placement,We submitted our Gold sponsorship logo last week. Can you confirm it will be on the banner?,medium,open
ZD-10014,2026-10-06T16:40:00-07:00,Harper Green,harper.green26@yahoo.com,Drop-in rate question,What is the drop-in rate for a single judo class?,low,open
ZD-10015,2026-09-03T16:34:00-07:00,Abigail Clark,abigail.clark91@outlook.com,Birthday party rental inquiry,Can we rent the dojo space for a birthday party in November?,low,open
ZD-10016,2026-10-05T14:51:00-07:00,Parent of minor student,charlotte.wright67@gmail.com,Lost and found,My son left his kendo bag at the dojo last Saturday. Is it in the lost and found?,low,open
ZD-10017,2026-09-01T11:17:00-07:00,Owen Garcia,owen.garcia37@yahoo.com,Tournament volunteer signup,I am a parent and would like to volunteer at the tournament. How can I sign up?,medium,on_hold
ZD-10018,2026-10-04T16:02:00-07:00,Sakura Chen,sakura.chen58@outlook.com,Equipment recommendation,My daughter is starting kendo. What size shinai do you recommend for a 10 year old?,low,open
ZD-10019,2026-09-05T18:03:00-07:00,Kai Lee,kai.lee50@icloud.com,Judo belt test schedule,When is the next judo promotion test? My son has been at 4-kyu for 8 months.,medium,pending
ZD-10020,2026-09-05T11:39:00-07:00,Charlotte Chen,charlotte.chen29@icloud.com,Payment receipt request,Can you send me a receipt for my October membership payment? I need it for my HSA.,low,on_hold
ZD-10021,2026-09-04T12:28:00-07:00,Grace Campbell,grace.campbell88@yahoo.com,Tournament rules question,Are electronic scoring devices allowed in the kendo divisions?,medium,open
ZD-10022,2026-09-07T08:27:00-07:00,Trevor Green,trevor.green72@outlook.com,Minor registration concern,I registered my 9 year old for Kids Kendo U12 but the confirmation does not show a guardian name. Is that correct?,high,pending
ZD-10023,2026-10-01T13:29:00-07:00,Carlos Campbell,carlos.campbell6@yahoo.com,Minor waiver issue,My daughter signed her own waiver by mistake. She is 14. Does a parent need to redo it?,high,open
ZD-10024,2026-10-08T17:35:00-07:00,Harper Chen,harper.chen10@outlook.com,Bulk merch order for club,Rose City Judo wants to order 10 tournament t-shirts for our team. Do you offer bulk pricing?,medium,on_hold
ZD-10025,2026-09-02T16:10:00-07:00,Mia Anderson,mia.anderson70@icloud.com,Class cancellation complaint,The Friday kendo class was cancelled again without notice. This is the third time.,high,on_hold
ZD-10026,2026-04-06T05:50:23-07:00,Nico Lopez,nico.lopez2@yahoo.com,Membership cancellation request,Customer opened a case regarding: Membership cancellation request. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10027,2025-12-10T07:13:47-07:00,August Gonzalez,august.gonzalez21@protonmail.com,Group workshop inquiry,Customer opened a case regarding: Group workshop inquiry. Follow-up handled by Cedar Ridge admin team.,urgent,resolved
ZD-10028,2026-09-08T03:34:08-07:00,Kai Wang,kai.wang2@hotmail.com,Merch order wrong size,Customer opened a case regarding: Merch order wrong size. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10029,2026-06-29T19:03:38-07:00,Kento Park,kento.park27@protonmail.com,Tournament refund request,Customer opened a case regarding: Tournament refund request. Follow-up handled by Cedar Ridge admin team.,high,resolved
ZD-10030,2026-06-22T06:50:37-07:00,Cruz Martin,cruz.martin81@icloud.com,Tournament withdrawal,Customer opened a case regarding: Tournament withdrawal. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10031,2025-12-30T22:49:58-07:00,Jin Shah,jin.shah80@protonmail.com,Can I switch divisions?,Customer opened a case regarding: Can I switch divisions?. Follow-up handled by Cedar Ridge admin team.,medium,open
ZD-10032,2026-08-24T18:54:33-07:00,Malik Sato,malik.sato82@outlook.com,Accessibility question,Customer opened a case regarding: Accessibility question. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10033,2026-04-03T15:08:40-07:00,Delia Kim,delia.kim93@icloud.com,Membership pause request,Customer opened a case regarding: Membership pause request. Follow-up handled by Cedar Ridge admin team.,urgent,open
ZD-10034,2026-08-09T01:54:43-07:00,Wei Jackson,wei.jackson30@aol.com,Membership auto-renewal question,Customer opened a case regarding: Membership auto-renewal question. Follow-up handled by Cedar Ridge admin team.,medium,waiting_on_customer
ZD-10035,2026-06-14T06:30:13-07:00,Reed Park,reed.park42@protonmail.com,Private lesson booking,Customer opened a case regarding: Private lesson booking. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10036,2026-06-28T17:19:47-07:00,Ava Wilson,ava.wilson47@gmail.com,Sponsor booth space question,Customer opened a case regarding: Sponsor booth space question. Follow-up handled by Cedar Ridge admin team.,medium,pending
ZD-10037,2025-12-28T16:51:19-07:00,Kento Zhang,kento.zhang48@aol.com,Merch return request,Customer opened a case regarding: Merch return request. Follow-up handled by Cedar Ridge admin team.,medium,closed
ZD-10038,2026-06-30T16:27:06-07:00,Emma Wright,emma.wright45@icloud.com,Accessibility question,Customer opened a case regarding: Accessibility question. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10039,2026-05-31T09:40:00-07:00,Shiori Torres,shiori.torres14@gmail.com,Kids' birthday party inquiry,Customer opened a case regarding: Kids' birthday party inquiry. Follow-up handled by Cedar Ridge admin team.,urgent,open
ZD-10040,2026-08-06T07:55:56-07:00,Rohan Sato,rohan.sato22@icloud.com,Sponsor inquiry - Community tier,Customer opened a case regarding: Sponsor inquiry - Community tier. Follow-up handled by Cedar Ridge admin team.,low,closed
ZD-10041,2026-07-12T13:06:58-07:00,Ansel White,ansel.white75@hotmail.com,Shinai length recommendation,Customer opened a case regarding: Shinai length recommendation. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10042,2026-03-03T17:47:33-07:00,Wren Flores,wren.flores1@protonmail.com,Membership auto-renewal question,Customer opened a case regarding: Membership auto-renewal question. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10043,2026-10-02T22:01:45-07:00,Sage Moore,sage.moore20@fastmail.com,Shinai length recommendation,Customer opened a case regarding: Shinai length recommendation. Follow-up handled by Cedar Ridge admin team.,medium,resolved
ZD-10044,2026-06-23T16:09:55-07:00,Rina Nelson,rina.nelson10@protonmail.com,Membership cancellation request,Customer opened a case regarding: Membership cancellation request. Follow-up handled by Cedar Ridge admin team.,low,resolved
ZD-10045,2026-04-01T16:00:34-07:00,Julian Perez,julian.perez68@protonmail.com,Waiver not received,Customer opened a case regarding: Waiver not received. Follow-up handled by Cedar Ridge admin team.,medium,closed
