club_name,head_instructor_name,primary_contact_name,primary_contact_email,primary_contact_phone,declared_fighter_count,prior_participations,in_aaron_stored_contacts
Willamette Kendo Club,Sensei Haruki Endo,Haruki Endo,h.endo@willkendo.org,+15039218844,10,3,True
Rose City Judo,Sensei Mariko Tanaka,Mariko Tanaka,m.tanaka@rosecityjudo.com,+15037654321,8,1,False
Chicago Kendokai,Sensei Clara Wang,Clara Wang,clara.wang@chicagokendokai.org,+17738843766,0,3,False
Fresno Bushido Kai,Sensei Rina Brown,Rina Brown,rina.brown@fresnobushidokai.org,+15592639803,0,3,True
Olympia Judo Club,Sensei Emma Ramirez,Emma Ramirez,emma.ramirez@olympiajudoclub.org,+15647108038,0,0,True
Missoula Kendo Dojo,Sensei Nao Carter,Nao Carter,nao.carter@missoulakendodojo.org,+14064349320,0,4,False
Sacramento Kendokai,Sensei Liam Reddy,Liam Reddy,liam.reddy@sacramentokendokai.org,+19166199732,0,2,False
Albuquerque Bushido Kai,Sensei Piper Ito,Piper Ito,piper.ito@albuquerquebushidokai.org,+15058891399,0,2,False
Seattle Kendokai,Sensei Maren Mitchell,Maren Mitchell,maren.mitchell@seattlekendokai.org,+12065981327,0,4,True
Olympia Martial Arts Academy,Sensei Sadie Green,Sadie Green,sadie.green@olympiamartialartsacademy.org,+13607301904,0,3,True
Providence Judo Dojo,Sensei Sage Jones,Sage Jones,sage.jones@providencejudodojo.org,+14019673086,0,3,False
Seattle Judokai,Sensei Cyrus Nelson,Cyrus Nelson,cyrus.nelson@seattlejudokai.org,+12066546651,0,3,True
Boulder Kendo Club,Sensei Kaito Johnson,Kaito Johnson,kaito.johnson@boulderkendoclub.org,+13033476903,0,4,False
Oakland Kendo Club,Sensei Noah Perez,Noah Perez,noah.perez@oaklandkendoclub.org,+15104647347,0,0,True
Austin Kendo Federation,Sensei Kaede Park,Kaede Park,kaede.park@austinkendofederation.org,+15125041543,0,2,True
Berkeley Kendo Club,Sensei Otto Jones,Otto Jones,otto.jones@berkeleykendoclub.org,+15109484744,0,2,True
San Jose Judo Club,Sensei Ezra Rivera,Ezra Rivera,ezra.rivera@sanjosejudoclub.org,+14082022319,0,3,False
Boston Kendo Club,Sensei Poppy Rodriguez,Poppy Rodriguez,poppy.rodriguez@bostonkendoclub.org,+17814832515,0,1,False
Honolulu Judokai,Sensei Vera Wilson,Vera Wilson,vera.wilson@honolulujudokai.org,+18088212592,0,1,False
Tucson Kendo Federation,Sensei Delia Shah,Delia Shah,delia.shah@tucsonkendofederation.org,+15203790635,0,2,True
Atlanta Judo Dojo,Sensei Yuma Chen,Yuma Chen,yuma.chen@atlantajudodojo.org,+14042406135,0,4,True
Eugene Judokai,Sensei Juno Brown,Juno Brown,juno.brown@eugenejudokai.org,+15412334952,0,2,False
Eugene Martial Arts Academy,Sensei Ren Perez,Ren Perez,ren.perez@eugenemartialartsacademy.org,+15412307693,0,4,True
Charlotte Judo Club,Sensei Yui Mitchell,Yui Mitchell,yui.mitchell@charlottejudoclub.org,+17045812731,0,0,False
Boulder Bushido Kai,Sensei Sana Martinez,Sana Martinez,sana.martinez@boulderbushidokai.org,+13037361679,0,1,True
Reno Kendokai,Sensei Ava Garcia,Ava Garcia,ava.garcia@renokendokai.org,+17752404283,0,3,False
Raleigh Kendo Dojo,Sensei Rina Lopez,Rina Lopez,rina.lopez@raleighkendodojo.org,+19847271312,0,1,True
Philadelphia Judo Dojo,Sensei Nora Flores,Nora Flores,nora.flores@philadelphiajudodojo.org,+12152423355,0,1,False
Atlanta Kendo Federation,Sensei Ruby Gupta,Ruby Gupta,ruby.gupta@atlantakendofederation.org,+17703614128,0,2,False
Minneapolis Judo Dojo,Sensei Juno Yoon,Juno Yoon,juno.yoon@minneapolisjudodojo.org,+17639785219,0,3,True
Milwaukee Judo Club,Sensei Grady Iyer,Grady Iyer,grady.iyer@milwaukeejudoclub.org,+12626221011,0,4,False
Detroit Kendo Federation,Sensei Sora Reddy,Sora Reddy,sora.reddy@detroitkendofederation.org,+17349662716,0,1,False
Boise Bushido Kai,Sensei Lark Garcia,Lark Garcia,lark.garcia@boisebushidokai.org,+19863103577,0,3,False
Las Vegas Bushido Kai,Sensei Wren Wright,Wren Wright,wren.wright@lasvegasbushidokai.org,+17026511919,0,1,True
Olympia Martial Arts Academy 2,Sensei Sloane Martinez,Sloane Martinez,sloane.martinez@olympiamartialartsacademy2.org,+15647275717,0,3,False
Eugene Kendokai,Sensei Takumi Yoshida,Takumi Yoshida,takumi.yoshida@eugenekendokai.org,+15412744328,0,4,True
Salem Kendo Federation,Sensei Ren Verma,Ren Verma,ren.verma@salemkendofederation.org,+19712266711,0,1,False
Detroit Judo Club,Sensei Silas Perez,Silas Perez,silas.perez@detroitjudoclub.org,+12484350124,0,0,True
Sacramento Judo Club,Sensei Nora Johnson,Nora Johnson,nora.johnson@sacramentojudoclub.org,+12795694188,0,4,False
Philadelphia Kendokai,Sensei Henry Nelson,Henry Nelson,henry.nelson@philadelphiakendokai.org,+14452509206,0,2,False
Anchorage Bushido Kai,Sensei Sloane Torres,Sloane Torres,sloane.torres@anchoragebushidokai.org,+19074893001,0,0,False
Minneapolis Kendo Federation,Sensei Hiro Moore,Hiro Moore,hiro.moore@minneapoliskendofederation.org,+16518163131,0,0,False
Detroit Judo Dojo,Sensei Haruki Jones,Haruki Jones,haruki.jones@detroitjudodojo.org,+13135914295,0,2,True
Medford Bushido Kai,Sensei Emma Rao,Emma Rao,emma.rao@medfordbushidokai.org,+14583641034,0,1,True
Phoenix Kendo Dojo,Sensei August Lewis,August Lewis,august.lewis@phoenixkendodojo.org,+14809473180,0,4,False
Philadelphia Kendo Club,Sensei Poppy Liu,Poppy Liu,poppy.liu@philadelphiakendoclub.org,+12675487924,0,0,False
Salt Lake City Judo Club,Sensei Clara Hernandez,Clara Hernandez,clara.hernandez@saltlakecityjudoclub.org,+18016660870,0,1,False
Atlanta Martial Arts Academy,Sensei Iris Zhou,Iris Zhou,iris.zhou@atlantamartialartsacademy.org,+17708802197,0,3,False
Missoula Bushido Kai,Sensei Silas Lewis,Silas Lewis,silas.lewis@missoulabushidokai.org,+14062014531,0,1,False
San Antonio Kendokai,Sensei Sloane Jackson,Sloane Jackson,sloane.jackson@sanantoniokendokai.org,+14084809438,0,0,True
Fresno Judo Club,Sensei Blythe Harris,Blythe Harris,blythe.harris@fresnojudoclub.org,+15596125736,0,0,False
Boise Martial Arts Academy,Sensei Noa Anderson,Noa Anderson,noa.anderson@boisemartialartsacademy.org,+12087175505,0,2,True
Providence Judo Dojo 2,Sensei Beckett Perez,Beckett Perez,beckett.perez@providencejudodojo2.org,+14013586240,0,3,True
Bellingham Kendo Dojo,Sensei Lark Ma,Lark Ma,lark.ma@bellinghamkendodojo.org,+13608812173,0,2,False
Sacramento Kendo Federation,Sensei Sora Huang,Sora Huang,sora.huang@sacramentokendofederation.org,+12792047743,0,0,True
Fort Collins Judo Club,Sensei Aoi Wright,Aoi Wright,aoi.wright@fortcollinsjudoclub.org,+19704484209,0,4,True
Phoenix Kendo Federation,Sensei Noah Gupta,Noah Gupta,noah.gupta@phoenixkendofederation.org,+16028984857,0,2,True
Norfolk Kendokai,Sensei Shiori Kumar,Shiori Kumar,shiori.kumar@norfolkkendokai.org,+17572986266,0,2,True
Washington DC Bushido Kai,Sensei Cora Flores,Cora Flores,cora.flores@washingtondcbushidokai.org,+12028124781,0,2,True
Corvallis Kendo Dojo,Sensei Aoi Mitchell,Aoi Mitchell,aoi.mitchell@corvalliskendodojo.org,+15418487633,0,1,False
Pittsburgh Judokai,Sensei Yuki Wright,Yuki Wright,yuki.wright@pittsburghjudokai.org,+14128744900,0,2,False
Sacramento Kendo Club,Sensei Piper Hill,Piper Hill,piper.hill@sacramentokendoclub.org,+12799149582,0,1,True
Salt Lake City Kendokai,Sensei Sloane Xu,Sloane Xu,sloane.xu@saltlakecitykendokai.org,+13855305803,0,1,False
Norfolk Kendokai 2,Sensei Blythe Clark,Blythe Clark,blythe.clark@norfolkkendokai2.org,+17576397767,0,0,False
New York Kendokai,Sensei Shiori Reddy,Shiori Reddy,shiori.reddy@newyorkkendokai.org,+15044426109,0,0,True
Missoula Judokai,Sensei Yumi Chen,Yumi Chen,yumi.chen@missoulajudokai.org,+14065412134,0,4,True
Fort Collins Judo Dojo,Sensei Clara Walker,Clara Walker,clara.walker@fortcollinsjudodojo.org,+19702262150,0,2,True
Albuquerque Kendo Federation,Sensei Noa Brown,Noa Brown,noa.brown@albuquerquekendofederation.org,+15058895731,0,0,True
Boston Kendo Federation,Sensei Kana Allen,Kana Allen,kana.allen@bostonkendofederation.org,+17814300280,0,3,True
Boston Kendo Club 2,Sensei Daichi Smith,Daichi Smith,daichi.smith@bostonkendoclub2.org,+16179032917,0,3,False
Nashville Kendo Club,Sensei Wren Kang,Wren Kang,wren.kang@nashvillekendoclub.org,+16152986488,0,0,False
New Orleans Judokai,Sensei Ren Yamamoto,Ren Yamamoto,ren.yamamoto@neworleansjudokai.org,+15043187536,0,3,False
Houston Kendokai,Sensei Sakura Liu,Sakura Liu,sakura.liu@houstonkendokai.org,+12819359272,0,1,True
New York Judo Dojo,Sensei Mei White,Mei White,mei.white@newyorkjudodojo.org,+15045303231,0,2,False
Salt Lake City Judo Dojo,Sensei Miku Huang,Miku Huang,miku.huang@saltlakecityjudodojo.org,+18017289607,0,0,False
Phoenix Kendo Club,Sensei Rowan Adams,Rowan Adams,rowan.adams@phoenixkendoclub.org,+16027213844,0,3,True
Boston Judokai,Sensei Yumi Nguyen,Yumi Nguyen,yumi.nguyen@bostonjudokai.org,+16172516602,0,3,True
Bellingham Judo Dojo,Sensei Ella Chen,Ella Chen,ella.chen@bellinghamjudodojo.org,+13602810170,0,1,False
Denver Kendo Federation,Sensei Rina Watanabe,Rina Watanabe,rina.watanabe@denverkendofederation.org,+17206972682,0,2,False
Seattle Judokai 2,Sensei Mei Verma,Mei Verma,mei.verma@seattlejudokai2.org,+15645851321,0,2,False
Las Vegas Bushido Kai 2,Sensei Miles Huang,Miles Huang,miles.huang@lasvegasbushidokai2.org,+17027370226,0,3,False
Salem Bushido Kai,Sensei Miles Jones,Miles Jones,miles.jones@salembushidokai.org,+15037701312,0,2,False
Medford Kendokai,Sensei Piper Wang,Piper Wang,piper.wang@medfordkendokai.org,+14588902640,0,2,True
Norfolk Judo Club,Sensei Aoi Garcia,Aoi Garcia,aoi.garcia@norfolkjudoclub.org,+17574021114,0,1,False
Cleveland Kendo Club,Sensei Poppy Yoshida,Poppy Yoshida,poppy.yoshida@clevelandkendoclub.org,+14402319679,0,0,True
Philadelphia Judo Dojo 2,Sensei Emi Suzuki,Emi Suzuki,emi.suzuki@philadelphiajudodojo2.org,+12672606188,0,2,False
Spokane Judokai,Sensei Hazel Lopez,Hazel Lopez,hazel.lopez@spokanejudokai.org,+15093730565,0,4,False
Chicago Kendokai 2,Sensei Mei King,Mei King,mei.king@chicagokendokai2.org,+17737830672,0,2,True
Salem Kendo Club,Sensei Kaito Jones,Kaito Jones,kaito.jones@salemkendoclub.org,+19717387009,0,1,False
Oakland Kendo Club 2,Sensei Souta Wu,Souta Wu,souta.wu@oaklandkendoclub2.org,+13415598543,0,2,True
Missoula Kendo Club,Sensei Rowan Campbell,Rowan Campbell,rowan.campbell@missoulakendoclub.org,+14064930050,0,0,False
Boise Bushido Kai 2,Sensei Rowan Zhou,Rowan Zhou,rowan.zhou@boisebushidokai2.org,+19865215075,0,3,True
Chicago Bushido Kai,Sensei Rhys Yoon,Rhys Yoon,rhys.yoon@chicagobushidokai.org,+18723169482,0,1,False
Atlanta Bushido Kai,Sensei Grady Davis,Grady Davis,grady.davis@atlantabushidokai.org,+16786811379,0,2,False
Bend Judo Dojo,Sensei Ruby Shah,Ruby Shah,ruby.shah@bendjudodojo.org,+14582534834,0,4,False
San Antonio Martial Arts Academy,Sensei Ruby Rodriguez,Ruby Rodriguez,ruby.rodriguez@sanantoniomartialartsacademy.org,+14087974010,0,4,True
Minneapolis Judokai,Sensei Kana Clark,Kana Clark,kana.clark@minneapolisjudokai.org,+16517563949,0,0,False
San Diego Kendo Federation,Sensei Callum Reddy,Callum Reddy,callum.reddy@sandiegokendofederation.org,+14083390478,0,4,False
Oakland Judokai,Sensei Sage Lewis,Sage Lewis,sage.lewis@oaklandjudokai.org,+13412486811,0,3,True
New Orleans Judo Dojo,Sensei Nao Scott,Nao Scott,nao.scott@neworleansjudodojo.org,+15042712058,0,3,False
Reno Martial Arts Academy,Sensei Ayano Perez,Ayano Perez,ayano.perez@renomartialartsacademy.org,+17752208064,0,2,True
Milwaukee Judo Dojo,Sensei Willa Reddy,Willa Reddy,willa.reddy@milwaukeejudodojo.org,+12629452966,0,2,False
Eugene Judokai 2,Sensei Souta Roberts,Souta Roberts,souta.roberts@eugenejudokai2.org,+14584432831,0,3,True
Fort Collins Judo Club 2,Sensei Willa Young,Willa Young,willa.young@fortcollinsjudoclub2.org,+19706290826,0,3,True
Denver Martial Arts Academy,Sensei Rhys Zhou,Rhys Zhou,rhys.zhou@denvermartialartsacademy.org,+13036046713,0,4,True
