txn_id,posted_date,account,memo,amount_usd,tag,sponsor_id_ref,vendor
QB-00001,2026-09-10,Sponsorship Revenue,Sponsor deposit - Beaverton Brewing Co,6139.25,fall_tournament_2026,SPON-001,Beaverton Brewing Co
QB-00002,2026-09-22,Sponsorship Revenue,Sponsor deposit - Pacific NW Credit Union,2661.03,fall_tournament_2026,SPON-002,Pacific NW Credit Union
QB-00003,2026-08-26,Sponsorship Revenue,Sponsor deposit - Cedar Creek Outfitters (partial),1783.6,fall_tournament_2026,SPON-003,Cedar Creek Outfitters
QB-00004,2026-09-11,Sponsorship Revenue,Sponsor deposit - Tanaka Martial Supply,1148.51,fall_tournament_2026,SPON-004,Tanaka Martial Supply
QB-00005,2026-09-02,Sponsorship Revenue,Sponsor deposit - Oregon Trail Insurance,912.13,fall_tournament_2026,SPON-008,Oregon Trail Insurance
QB-00006,2026-07-24,Sponsorship Revenue,Sponsor deposit - Green Leaf Organics,921.31,fall_tournament_2026,SPON-009,Green Leaf Organics
QB-00007,2026-08-07,Sponsorship Revenue,Sponsor deposit - Yamato Foods Portland,118.27,fall_tournament_2026,SPON-011,Yamato Foods Portland
QB-00008,2026-08-27,Sponsorship Revenue,Sponsor deposit - Cascade Equipment Rental,301.14,fall_tournament_2026,SPON-015,Cascade Equipment Rental
QB-00009,2026-07-21,Sponsorship Revenue,Sponsor deposit - Portland Kendo Supply,280.69,fall_tournament_2026,SPON-016,Portland Kendo Supply
QB-00010,2026-09-23,Sponsorship Revenue,Sponsor deposit - Metro Health Partners,491.55,fall_tournament_2026,SPON-018,Metro Health Partners
QB-00011,2026-09-18,Sponsorship Revenue,Sponsor deposit - Mt Hood Brewing Company,157.99,fall_tournament_2026,SPON-020,Mt Hood Brewing Company
QB-00012,2026-09-20,Sponsorship Revenue,Sponsor deposit - Pacific Coast Security,434.91,fall_tournament_2026,SPON-021,Pacific Coast Security
QB-00013,2026-07-15,Sponsorship Revenue,Sponsor deposit - Portland Cycle Works (partial before decline),322.44,fall_tournament_2026,SPON-005,Portland Cycle Works
QB-00014,2026-09-28,Registration Revenue,Tournament registration - Wyatt Singh,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00015,2026-09-20,Registration Revenue,Tournament registration - Maya Kim,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00016,2026-09-18,Registration Revenue,Tournament registration - Lei Tanaka,25.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00017,2026-07-24,Registration Revenue,Tournament registration - Owen Butler,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00018,2026-09-13,Registration Revenue,Tournament registration - Anika Chavez,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00019,2026-09-04,Registration Revenue,Tournament registration - Patrick Morgan,25.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00020,2026-08-10,Registration Revenue,Tournament registration - Michael Sato,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00021,2026-09-08,Registration Revenue,Tournament registration - Emma Lopez,25.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00022,2026-08-22,Registration Revenue,Tournament registration - Suki Coleman,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00023,2026-08-12,Registration Revenue,Tournament refund - Devon Rodriguez,-45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant refund)
QB-00024,2026-09-25,Registration Revenue,Tournament registration - Charlotte Wong,25.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00025,2026-08-03,Registration Revenue,Tournament registration - Charlotte Sato,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00026,2026-07-06,Registration Revenue,Tournament registration - Michael Sanchez,25.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
QB-00027,2026-07-23,Registration Revenue,Tournament refund - Riley Ross,-45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant refund)
QB-00028,2026-08-26,Registration Revenue,Tournament registration - Kai Morris,45.0,fall_tournament_2026,NON_SPONSOR,Stripe (participant)
