promotion_id,student_id,from_rank,to_rank,promotion_date,examining_instructor,certificate_number,discipline
PROMO-00001,CR-00001,6-kyu kendo,5-kyu kendo,2023-09-19,Tom Iverson,CERT-CR-00001,kendo
PROMO-00002,CR-00003,6-kyu kendo,5-kyu kendo,2024-06-16,Raj Patel,CERT-CR-00002,kendo
PROMO-00003,CR-00003,5-kyu kendo,4-kyu kendo,2024-12-09,Tom Iverson,CERT-CR-00003,kendo
PROMO-00004,CR-00003,4-kyu kendo,3-kyu kendo,2025-12-21,Aaron Delgado,CERT-CR-00004,kendo
PROMO-00005,CR-00004,6-kyu kendo,5-kyu kendo,2018-12-12,Aaron Delgado,CERT-CR-00005,kendo
PROMO-00006,CR-00004,5-kyu kendo,4-kyu kendo,2018-09-11,Raj Patel,CERT-CR-00006,kendo
PROMO-00007,CR-00006,6-kyu kendo,5-kyu kendo,2024-06-11,Aaron Delgado,CERT-CR-00007,kendo
PROMO-00008,CR-00006,5-kyu kendo,4-kyu kendo,2024-12-10,Raj Patel,CERT-CR-00008,kendo
PROMO-00009,CR-00007,6-kyu kendo,5-kyu kendo,2021-03-15,Tom Iverson,CERT-CR-00009,kendo
PROMO-00010,CR-00007,5-kyu kendo,4-kyu kendo,2021-09-09,Aaron Delgado,CERT-CR-00010,kendo
PROMO-00011,CR-00008,6-kyu judo,5-kyu judo,2018-12-28,Raj Patel,CERT-CR-00011,judo
PROMO-00012,CR-00008,5-kyu judo,4-kyu judo,2018-03-22,Raj Patel,CERT-CR-00012,judo
PROMO-00013,CR-00008,4-kyu judo,3-kyu judo,2019-12-14,Tom Iverson,CERT-CR-00013,judo
PROMO-00014,CR-00009,6-kyu kendo,5-kyu kendo,2019-09-20,Aaron Delgado,CERT-CR-00014,kendo
PROMO-00015,CR-00010,6-kyu judo,5-kyu judo,2023-12-25,Tom Iverson,CERT-CR-00015,judo
PROMO-00016,CR-00010,5-kyu judo,4-kyu judo,2023-06-09,Raj Patel,CERT-CR-00016,judo
PROMO-00017,CR-00011,6-kyu kendo,5-kyu kendo,2019-09-15,Raj Patel,CERT-CR-00017,kendo
PROMO-00018,CR-00012,6-kyu kendo,5-kyu kendo,2021-03-01,Raj Patel,CERT-CR-00018,kendo
PROMO-00019,CR-00012,5-kyu kendo,4-kyu kendo,2021-06-23,Tom Iverson,CERT-CR-00019,kendo
PROMO-00020,CR-00012,4-kyu kendo,3-kyu kendo,2022-09-18,Tom Iverson,CERT-CR-00020,kendo
PROMO-00021,CR-00013,6-kyu judo,5-kyu judo,2022-12-03,Tom Iverson,CERT-CR-00021,judo
PROMO-00022,CR-00015,6-kyu kendo,5-kyu kendo,2018-12-04,Raj Patel,CERT-CR-00022,kendo
PROMO-00023,CR-00015,5-kyu kendo,4-kyu kendo,2018-06-16,Raj Patel,CERT-CR-00023,kendo
PROMO-00024,CR-00016,6-kyu kendo,5-kyu kendo,2020-09-14,Aaron Delgado,CERT-CR-00024,kendo
PROMO-00025,CR-00016,5-kyu kendo,4-kyu kendo,2020-12-08,Aaron Delgado,CERT-CR-00025,kendo
PROMO-00026,CR-00017,6-kyu kendo,5-kyu kendo,2022-06-13,Tom Iverson,CERT-CR-00026,kendo
PROMO-00027,CR-00018,6-kyu judo,5-kyu judo,2022-06-28,Tom Iverson,CERT-CR-00027,judo
PROMO-00028,CR-00018,5-kyu judo,4-kyu judo,2022-09-25,Aaron Delgado,CERT-CR-00028,judo
PROMO-00029,CR-00020,6-kyu kendo,5-kyu kendo,2024-09-27,Tom Iverson,CERT-CR-00029,kendo
PROMO-00030,CR-00020,5-kyu kendo,4-kyu kendo,2024-09-24,Aaron Delgado,CERT-CR-00030,kendo
PROMO-00031,CR-00020,4-kyu kendo,3-kyu kendo,2025-12-28,Tom Iverson,CERT-CR-00031,kendo
PROMO-00032,CR-00020,3-kyu kendo,2-kyu kendo,2025-12-18,Aaron Delgado,CERT-CR-00032,kendo
PROMO-00033,CR-00020,2-kyu kendo,1-kyu kendo,2026-09-11,Raj Patel,CERT-CR-00033,kendo
PROMO-00034,CR-00021,6-kyu kendo,5-kyu kendo,2024-12-15,Aaron Delgado,CERT-CR-00034,kendo
PROMO-00035,CR-00021,5-kyu kendo,4-kyu kendo,2024-06-23,Tom Iverson,CERT-CR-00035,kendo
PROMO-00036,CR-00021,4-kyu kendo,3-kyu kendo,2025-12-08,Aaron Delgado,CERT-CR-00036,kendo
PROMO-00037,CR-00021,3-kyu kendo,2-kyu kendo,2025-03-11,Raj Patel,CERT-CR-00037,kendo
PROMO-00038,CR-00021,2-kyu kendo,1-kyu kendo,2026-06-07,Raj Patel,CERT-CR-00038,kendo
PROMO-00039,CR-00021,1-kyu kendo,1-dan kendo,2026-06-16,Tom Iverson,CERT-CR-00039,kendo
PROMO-00040,CR-00021,1-dan kendo,2-dan kendo,2026-09-06,Tom Iverson,CERT-CR-00040,kendo
PROMO-00041,CR-00022,6-kyu judo,5-kyu judo,2024-12-04,Raj Patel,CERT-CR-00041,judo
PROMO-00042,CR-00022,5-kyu judo,4-kyu judo,2024-12-01,Raj Patel,CERT-CR-00042,judo
PROMO-00043,CR-00022,4-kyu judo,3-kyu judo,2025-06-14,Raj Patel,CERT-CR-00043,judo
PROMO-00044,CR-00022,3-kyu judo,2-kyu judo,2025-06-03,Aaron Delgado,CERT-CR-00044,judo
PROMO-00045,CR-00022,2-kyu judo,1-kyu judo,2026-09-11,Raj Patel,CERT-CR-00045,judo
PROMO-00046,CR-00022,1-kyu judo,1-dan judo,2026-03-14,Aaron Delgado,CERT-CR-00046,judo
PROMO-00047,CR-00022,1-dan judo,2-dan judo,2026-09-12,Aaron Delgado,CERT-CR-00047,judo
PROMO-00048,CR-00022,2-dan judo,3-dan judo,2026-03-04,Raj Patel,CERT-CR-00048,judo
PROMO-00049,CR-00023,6-kyu judo,5-kyu judo,2023-09-08,Raj Patel,CERT-CR-00049,judo
PROMO-00050,CR-00023,5-kyu judo,4-kyu judo,2023-03-14,Tom Iverson,CERT-CR-00050,judo
PROMO-00051,CR-00023,4-kyu judo,3-kyu judo,2024-03-15,Tom Iverson,CERT-CR-00051,judo
PROMO-00052,CR-00024,6-kyu kendo,5-kyu kendo,2023-09-01,Tom Iverson,CERT-CR-00052,kendo
PROMO-00053,CR-00024,5-kyu kendo,4-kyu kendo,2023-09-26,Tom Iverson,CERT-CR-00053,kendo
PROMO-00054,CR-00024,4-kyu kendo,3-kyu kendo,2024-09-12,Aaron Delgado,CERT-CR-00054,kendo
PROMO-00055,CR-00025,6-kyu kendo,5-kyu kendo,2021-06-08,Raj Patel,CERT-CR-00055,kendo
PROMO-00056,CR-00025,5-kyu kendo,4-kyu kendo,2021-12-19,Raj Patel,CERT-CR-00056,kendo
PROMO-00057,CR-00025,4-kyu kendo,3-kyu kendo,2022-06-06,Tom Iverson,CERT-CR-00057,kendo
PROMO-00058,CR-00026,6-kyu kendo,5-kyu kendo,2018-12-20,Raj Patel,CERT-CR-00058,kendo
PROMO-00059,CR-00026,5-kyu kendo,4-kyu kendo,2018-06-16,Raj Patel,CERT-CR-00059,kendo
PROMO-00060,CR-00027,6-kyu kendo,5-kyu kendo,2019-06-15,Raj Patel,CERT-CR-00060,kendo
PROMO-00061,CR-00027,5-kyu kendo,4-kyu kendo,2019-09-15,Aaron Delgado,CERT-CR-00061,kendo
PROMO-00062,CR-00027,4-kyu kendo,3-kyu kendo,2020-03-26,Aaron Delgado,CERT-CR-00062,kendo
PROMO-00063,CR-00027,3-kyu kendo,2-kyu kendo,2020-09-22,Raj Patel,CERT-CR-00063,kendo
PROMO-00064,CR-00027,2-kyu kendo,1-kyu kendo,2021-06-03,Aaron Delgado,CERT-CR-00064,kendo
PROMO-00065,CR-00027,1-kyu kendo,1-dan kendo,2021-09-19,Aaron Delgado,CERT-CR-00065,kendo
PROMO-00066,CR-00027,1-dan kendo,2-dan kendo,2022-12-23,Aaron Delgado,CERT-CR-00066,kendo
PROMO-00067,CR-00027,2-dan kendo,3-dan kendo,2022-12-28,Aaron Delgado,CERT-CR-00067,kendo
PROMO-00068,CR-00028,6-kyu kendo,5-kyu kendo,2019-12-28,Aaron Delgado,CERT-CR-00068,kendo
PROMO-00069,CR-00028,5-kyu kendo,4-kyu kendo,2019-03-08,Aaron Delgado,CERT-CR-00069,kendo
PROMO-00070,CR-00028,4-kyu kendo,3-kyu kendo,2020-09-19,Aaron Delgado,CERT-CR-00070,kendo
PROMO-00071,CR-00028,3-kyu kendo,2-kyu kendo,2020-09-01,Raj Patel,CERT-CR-00071,kendo
PROMO-00072,CR-00028,2-kyu kendo,1-kyu kendo,2021-12-09,Tom Iverson,CERT-CR-00072,kendo
PROMO-00073,CR-00029,6-kyu kendo,5-kyu kendo,2022-03-20,Raj Patel,CERT-CR-00073,kendo
PROMO-00074,CR-00030,6-kyu kendo,6-kyu judo,2021-09-25,Tom Iverson,CERT-CR-00074,judo
PROMO-00075,CR-00030,6-kyu judo,5-kyu kendo,2021-09-08,Raj Patel,CERT-CR-00075,kendo
PROMO-00076,CR-00030,5-kyu kendo,5-kyu judo,2022-06-20,Aaron Delgado,CERT-CR-00076,judo
PROMO-00077,CR-00030,5-kyu judo,4-kyu kendo,2022-06-21,Tom Iverson,CERT-CR-00077,kendo
PROMO-00078,CR-00030,4-kyu kendo,4-kyu judo,2023-03-10,Aaron Delgado,CERT-CR-00078,judo
PROMO-00079,CR-00030,4-kyu judo,3-kyu kendo,2023-03-19,Aaron Delgado,CERT-CR-00079,kendo
PROMO-00080,CR-00030,3-kyu kendo,3-kyu judo,2024-06-03,Aaron Delgado,CERT-CR-00080,judo
PROMO-00081,CR-00030,3-kyu judo,2-kyu kendo,2024-09-24,Aaron Delgado,CERT-CR-00081,kendo
PROMO-00082,CR-00030,2-kyu kendo,2-kyu judo,2025-06-07,Tom Iverson,CERT-CR-00082,judo
PROMO-00083,CR-00031,6-kyu kendo,6-kyu judo,2024-09-17,Raj Patel,CERT-CR-00083,judo
PROMO-00084,CR-00031,6-kyu judo,5-kyu kendo,2024-09-27,Tom Iverson,CERT-CR-00084,kendo
PROMO-00085,CR-00031,5-kyu kendo,5-kyu judo,2025-09-27,Aaron Delgado,CERT-CR-00085,judo
PROMO-00086,CR-00031,5-kyu judo,4-kyu kendo,2025-09-24,Aaron Delgado,CERT-CR-00086,kendo
PROMO-00087,CR-00031,4-kyu kendo,4-kyu judo,2026-03-15,Tom Iverson,CERT-CR-00087,judo
PROMO-00088,CR-00031,4-kyu judo,3-kyu kendo,2026-06-25,Tom Iverson,CERT-CR-00088,kendo
PROMO-00089,CR-00031,3-kyu kendo,3-kyu judo,2026-09-06,Tom Iverson,CERT-CR-00089,judo
PROMO-00090,CR-00031,3-kyu judo,2-kyu kendo,2026-06-09,Tom Iverson,CERT-CR-00090,kendo
PROMO-00091,CR-00031,2-kyu kendo,2-kyu judo,2026-09-12,Raj Patel,CERT-CR-00091,judo
PROMO-00092,CR-00032,6-kyu kendo,6-kyu judo,2020-12-27,Raj Patel,CERT-CR-00092,judo
PROMO-00093,CR-00032,6-kyu judo,5-kyu kendo,2020-09-04,Raj Patel,CERT-CR-00093,kendo
PROMO-00094,CR-00032,5-kyu kendo,5-kyu judo,2021-06-16,Tom Iverson,CERT-CR-00094,judo
PROMO-00095,CR-00033,6-kyu kendo,5-kyu kendo,2022-09-20,Tom Iverson,CERT-CR-00095,kendo
PROMO-00096,CR-00033,5-kyu kendo,4-kyu kendo,2022-03-21,Aaron Delgado,CERT-CR-00096,kendo
PROMO-00097,CR-00034,6-kyu kendo,5-kyu kendo,2023-09-21,Aaron Delgado,CERT-CR-00097,kendo
PROMO-00098,CR-00034,5-kyu kendo,4-kyu kendo,2023-03-05,Tom Iverson,CERT-CR-00098,kendo
PROMO-00099,CR-00035,6-kyu kendo,5-kyu kendo,2018-09-16,Tom Iverson,CERT-CR-00099,kendo
PROMO-00100,CR-00035,5-kyu kendo,4-kyu kendo,2018-03-08,Raj Patel,CERT-CR-00100,kendo
PROMO-00101,CR-00036,6-kyu kendo,6-kyu judo,2019-12-15,Aaron Delgado,CERT-CR-00101,judo
PROMO-00102,CR-00036,6-kyu judo,5-kyu kendo,2019-12-19,Raj Patel,CERT-CR-00102,kendo
PROMO-00103,CR-00036,5-kyu kendo,5-kyu judo,2020-06-14,Raj Patel,CERT-CR-00103,judo
PROMO-00104,CR-00036,5-kyu judo,4-kyu kendo,2020-03-27,Aaron Delgado,CERT-CR-00104,kendo
PROMO-00105,CR-00036,4-kyu kendo,4-kyu judo,2021-12-09,Tom Iverson,CERT-CR-00105,judo
PROMO-00106,CR-00037,6-kyu kendo,6-kyu judo,2023-09-07,Aaron Delgado,CERT-CR-00106,judo
PROMO-00107,CR-00037,6-kyu judo,5-kyu kendo,2023-12-08,Aaron Delgado,CERT-CR-00107,kendo
PROMO-00108,CR-00037,5-kyu kendo,5-kyu judo,2024-03-22,Aaron Delgado,CERT-CR-00108,judo
PROMO-00109,CR-00037,5-kyu judo,4-kyu kendo,2024-09-02,Aaron Delgado,CERT-CR-00109,kendo
PROMO-00110,CR-00037,4-kyu kendo,4-kyu judo,2025-09-07,Tom Iverson,CERT-CR-00110,judo
PROMO-00111,CR-00037,4-kyu judo,3-kyu kendo,2025-12-03,Raj Patel,CERT-CR-00111,kendo
PROMO-00112,CR-00037,3-kyu kendo,3-kyu judo,2026-06-21,Raj Patel,CERT-CR-00112,judo
PROMO-00113,CR-00037,3-kyu judo,2-kyu kendo,2026-03-02,Aaron Delgado,CERT-CR-00113,kendo
PROMO-00114,CR-00037,2-kyu kendo,2-kyu judo,2026-09-04,Tom Iverson,CERT-CR-00114,judo
PROMO-00115,CR-00037,2-kyu judo,1-kyu kendo,2026-03-14,Tom Iverson,CERT-CR-00115,kendo
PROMO-00116,CR-00037,1-kyu kendo,1-kyu judo,2026-03-13,Raj Patel,CERT-CR-00116,judo
