registration_id,full_name,email,phone,declared_rank,declared_division,is_minor,guardian_name,guardian_phone,home_dojo,student_id,ticket_tier,payment_status,registered_at
REG-2026FALL-0001,Wyatt Singh,clark.clark84@protonmail.com,+15034374754,5-kyu judo,Youth Judo U18,True,Clark Clark,+15034374754,Cedar Ridge,CR-00013,Full Weekend,paid,2026-09-28T12:56:00-07:00
REG-2026FALL-0002,Maya Kim,maya.kim29@icloud.com,+15036621073,2-dan kendo,Adult Kendo Dan,False,Self,+15036621073,Cedar Ridge,CR-00040,Full Weekend,paid,2026-09-20T09:59:00-07:00
REG-2026FALL-0003,Lei Tanaka,lei.tanaka34@icloud.com,+15033251501,4-kyu judo,Adult Judo Kyu,False,Self,+15033251501,Cedar Ridge,CR-00018,Day Of,paid,2026-09-18T16:31:00-07:00
REG-2026FALL-0004,Blake Bailey,blake.bailey51@gmail.com,+15038699307,3-kyu kendo,Adult Kendo Kyu,False,Self,+15038699307,Cedar Ridge,CR-00041,Full Weekend,pending,2026-07-11T10:46:00-07:00
REG-2026FALL-0005,Owen Butler,owen.butler77@protonmail.com,+15035949685,6-kyu kendo,Adult Kendo Kyu,False,Self,+15035949685,Cedar Ridge,CR-00057,Full Weekend,paid,2026-07-24T13:50:00-07:00
REG-2026FALL-0006,Anika Chavez,rosa.barnes20@gmail.com,+15039279821,5-kyu kendo,Youth Kendo U18,True,Rosa Barnes,+15039279821,Cedar Ridge,CR-00009,Full Weekend,paid,2026-09-13T14:32:00-07:00
REG-2026FALL-0007,Patrick Morgan,yuna.tran35@icloud.com,+15034842788,4-kyu kendo,Youth Kendo U18,True,Yuna Tran,+15034842788,Cedar Ridge,CR-00007,Day Of,paid,2026-09-04T10:08:00-07:00
REG-2026FALL-0008,Willow Turner,willow.turner2@hotmail.com,+15034951390,6-kyu kendo,Adult Kendo Kyu,False,Self,+15034951390,Cedar Ridge,CR-00049,Day Of,pending,2026-07-01T12:24:00-07:00
REG-2026FALL-0009,Michael Sato,michael.sato65@gmail.com,+15031191859,2-kyu kendo,Adult Kendo Kyu,False,Self,+15031191859,Cedar Ridge,CR-00046,Full Weekend,paid,2026-08-10T17:46:00-07:00
REG-2026FALL-0010,Emma Lopez,emma.lopez32@gmail.com,+15032983483,4-kyu kendo,Adult Kendo Kyu,False,Self,+15032983483,Cedar Ridge,CR-00016,Day Of,paid,2026-09-08T08:42:00-07:00
REG-2026FALL-0011,Suki Coleman,suki.coleman73@icloud.com,+15036217344,3-kyu kendo,Adult Kendo Kyu,False,Self,+15036217344,Cedar Ridge,CR-00048,Full Weekend,paid,2026-08-22T16:59:00-07:00
REG-2026FALL-0012,Devon Rodriguez,suki.park11@icloud.com,+15038707870,4-kyu kendo,Kids Kendo U12,True,Suki Park,+15038707870,Cedar Ridge,CR-00004,Full Weekend,refunded,2026-08-12T17:14:00-07:00
